! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may09/b252.ew.m2.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/09/2018 09:25:57 PM	05/09/2018 09:20:00 PM
! INTERNAL TEMP:    	50.5 C	51.0 C
! # POINTS:         	494	494
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	118.797 594 MHz	118.797 594 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-125.58°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(17.519 ohm, -1.171 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.160000E-01	  0.020000000	-1.255820E+02	  0.020000000	2.242000E+00	  0.020000000	-2.566500E+01
2	  0.020200402	-6.180000E-01	  0.020200402	-1.270300E+02	  0.020200402	2.221000E+00	  0.020200402	-2.487300E+01
3	  0.020400802	-6.210000E-01	  0.020400802	-1.285070E+02	  0.020400802	2.203000E+00	  0.020400802	-2.407500E+01
4	  0.020601204	-6.230000E-01	  0.020601204	-1.299910E+02	  0.020601204	2.184000E+00	  0.020601204	-2.328300E+01
5	  0.020801604	-6.270000E-01	  0.020801604	-1.315000E+02	  0.020801604	2.170000E+00	  0.020801604	-2.248700E+01
6	  0.021002004	-6.290000E-01	  0.021002004	-1.330270E+02	  0.021002004	2.152000E+00	  0.021002004	-2.169200E+01
7	  0.021202406	-6.330000E-01	  0.021202406	-1.345510E+02	  0.021202406	2.141000E+00	  0.021202406	-2.090700E+01
8	  0.021402806	-6.350000E-01	  0.021402806	-1.360770E+02	  0.021402806	2.126000E+00	  0.021402806	-2.013000E+01
9	  0.021603208	-6.360000E-01	  0.021603208	-1.375950E+02	  0.021603208	2.105000E+00	  0.021603208	-1.936600E+01
10	  0.021803608	-6.400000E-01	  0.021803608	-1.391170E+02	  0.021803608	2.097000E+00	  0.021803608	-1.860600E+01
11	  0.022004008	-6.450000E-01	  0.022004008	-1.406520E+02	  0.022004008	2.094000E+00	  0.022004008	-1.784800E+01
12	  0.022204408	-6.500000E-01	  0.022204408	-1.422110E+02	  0.022204408	2.090000E+00	  0.022204408	-1.708600E+01
13	  0.022404809	-6.570000E-01	  0.022404809	-1.437740E+02	  0.022404809	2.092000E+00	  0.022404809	-1.632900E+01
14	  0.022605211	-6.590000E-01	  0.022605211	-1.453620E+02	  0.022605211	2.082000E+00	  0.022605211	-1.556600E+01
15	  0.022805611	-6.610000E-01	  0.022805611	-1.469690E+02	  0.022805611	2.071000E+00	  0.022805611	-1.480100E+01
16	  0.023006011	-6.640000E-01	  0.023006011	-1.485460E+02	  0.023006011	2.063000E+00	  0.023006011	-1.405700E+01
17	  0.023206413	-6.700000E-01	  0.023206413	-1.501350E+02	  0.023206413	2.064000E+00	  0.023206413	-1.331200E+01
18	  0.023406813	-6.750000E-01	  0.023406813	-1.517210E+02	  0.023406813	2.067000E+00	  0.023406813	-1.257500E+01
19	  0.023607215	-6.830000E-01	  0.023607215	-1.533220E+02	  0.023607215	2.077000E+00	  0.023607215	-1.183600E+01
20	  0.023807615	-6.930000E-01	  0.023807615	-1.549350E+02	  0.023807615	2.092000E+00	  0.023807615	-1.109500E+01
21	  0.024008015	-7.020000E-01	  0.024008015	-1.565880E+02	  0.024008015	2.106000E+00	  0.024008015	-1.034200E+01
22	  0.024208417	-7.080000E-01	  0.024208417	-1.582390E+02	  0.024208417	2.112000E+00	  0.024208417	-9.594000E+00
23	  0.024408817	-7.150000E-01	  0.024408817	-1.599080E+02	  0.024408817	2.122000E+00	  0.024408817	-8.841000E+00
24	  0.024609219	-7.230000E-01	  0.024609219	-1.615600E+02	  0.024609219	2.134000E+00	  0.024609219	-8.101000E+00
25	  0.024809619	-7.330000E-01	  0.024809619	-1.632210E+02	  0.024809619	2.156000E+00	  0.024809619	-7.360000E+00
26	  0.025010020	-7.420000E-01	  0.025010020	-1.648920E+02	  0.025010020	2.173000E+00	  0.025010020	-6.617000E+00
27	  0.025210422	-7.540000E-01	  0.025210422	-1.665790E+02	  0.025210422	2.201000E+00	  0.025210422	-5.871000E+00
28	  0.025410822	-7.670000E-01	  0.025410822	-1.682600E+02	  0.025410822	2.231000E+00	  0.025410822	-5.130000E+00
29	  0.025611224	-7.790000E-01	  0.025611224	-1.699710E+02	  0.025611224	2.259000E+00	  0.025611224	-4.377000E+00
30	  0.025811624	-7.900000E-01	  0.025811624	-1.717010E+02	  0.025811624	2.286000E+00	  0.025811624	-3.619000E+00
31	  0.026012026	-8.020000E-01	  0.026012026	-1.734190E+02	  0.026012026	2.315000E+00	  0.026012026	-2.868000E+00
32	  0.026212426	-8.130000E-01	  0.026212426	-1.751580E+02	  0.026212426	2.344000E+00	  0.026212426	-2.109000E+00
33	  0.026412826	-8.280000E-01	  0.026412826	-1.769060E+02	  0.026412826	2.385000E+00	  0.026412826	-1.347000E+00
34	  0.026613226	-8.430000E-01	  0.026613226	-1.786500E+02	  0.026613226	2.425000E+00	  0.026613226	-5.870000E-01
35	  0.026813626	-8.600000E-01	  0.026813626	1.795860E+02	  0.026813626	2.475000E+00	  0.026813626	1.800000E-01
36	  0.027014028	-8.750000E-01	  0.027014028	1.778210E+02	  0.027014028	2.517000E+00	  0.027014028	9.480000E-01
37	  0.027214428	-8.920000E-01	  0.027214428	1.760470E+02	  0.027214428	2.568000E+00	  0.027214428	1.720000E+00
38	  0.027414829	-9.100000E-01	  0.027414829	1.742640E+02	  0.027414829	2.623000E+00	  0.027414829	2.497000E+00
39	  0.027615231	-9.270000E-01	  0.027615231	1.724560E+02	  0.027615231	2.677000E+00	  0.027615231	3.286000E+00
40	  0.027815631	-9.440000E-01	  0.027815631	1.706530E+02	  0.027815631	2.733000E+00	  0.027815631	4.074000E+00
41	  0.028016033	-9.640000E-01	  0.028016033	1.688360E+02	  0.028016033	2.799000E+00	  0.028016033	4.871000E+00
42	  0.028216433	-9.850000E-01	  0.028216433	1.669960E+02	  0.028216433	2.871000E+00	  0.028216433	5.679000E+00
43	  0.028416833	-1.005000E+00	  0.028416833	1.651630E+02	  0.028416833	2.940000E+00	  0.028416833	6.487000E+00
44	  0.028617235	-1.026000E+00	  0.028617235	1.633180E+02	  0.028617235	3.015000E+00	  0.028617235	7.304000E+00
45	  0.028817635	-1.049000E+00	  0.028817635	1.614760E+02	  0.028817635	3.095000E+00	  0.028817635	8.123000E+00
46	  0.029018037	-1.072000E+00	  0.029018037	1.596220E+02	  0.029018037	3.183000E+00	  0.029018037	8.951000E+00
47	  0.029218437	-1.097000E+00	  0.029218437	1.577530E+02	  0.029218437	3.274000E+00	  0.029218437	9.790000E+00
48	  0.029418837	-1.122000E+00	  0.029418837	1.558630E+02	  0.029418837	3.373000E+00	  0.029418837	1.064300E+01
49	  0.029619239	-1.149000E+00	  0.029619239	1.539640E+02	  0.029619239	3.478000E+00	  0.029619239	1.150600E+01
50	  0.029819639	-1.176000E+00	  0.029819639	1.520600E+02	  0.029819639	3.589000E+00	  0.029819639	1.237700E+01
51	  0.030020041	-1.203000E+00	  0.030020041	1.501510E+02	  0.030020041	3.702000E+00	  0.030020041	1.325800E+01
52	  0.030220442	-1.230000E+00	  0.030220442	1.482300E+02	  0.030220442	3.821000E+00	  0.030220442	1.415100E+01
53	  0.030420844	-1.260000E+00	  0.030420844	1.463080E+02	  0.030420844	3.952000E+00	  0.030420844	1.505200E+01
54	  0.030621244	-1.292000E+00	  0.030621244	1.443940E+02	  0.030621244	4.093000E+00	  0.030621244	1.595800E+01
55	  0.030821642	-1.325000E+00	  0.030821642	1.424600E+02	  0.030821642	4.243000E+00	  0.030821642	1.688200E+01
56	  0.031022044	-1.358000E+00	  0.031022044	1.405010E+02	  0.031022044	4.402000E+00	  0.031022044	1.782700E+01
57	  0.031222444	-1.383000E+00	  0.031222444	1.385700E+02	  0.031222444	4.537000E+00	  0.031222444	1.877100E+01
58	  0.031422846	-1.419000E+00	  0.031422846	1.366040E+02	  0.031422846	4.717000E+00	  0.031422846	1.974200E+01
59	  0.031623244	-1.456000E+00	  0.031623244	1.345970E+02	  0.031623244	4.907000E+00	  0.031623244	2.074400E+01
60	  0.031823646	-1.494000E+00	  0.031823646	1.326130E+02	  0.031823646	5.109000E+00	  0.031823646	2.174800E+01
61	  0.032024048	-1.532000E+00	  0.032024048	1.306210E+02	  0.032024048	5.319000E+00	  0.032024048	2.277000E+01
62	  0.032224450	-1.570000E+00	  0.032224450	1.286200E+02	  0.032224450	5.541000E+00	  0.032224450	2.381100E+01
63	  0.032424849	-1.611000E+00	  0.032424849	1.266240E+02	  0.032424849	5.780000E+00	  0.032424849	2.486500E+01
64	  0.032625251	-1.650000E+00	  0.032625251	1.246050E+02	  0.032625251	6.026000E+00	  0.032625251	2.594700E+01
65	  0.032825653	-1.693000E+00	  0.032825653	1.225740E+02	  0.032825653	6.299000E+00	  0.032825653	2.705300E+01
66	  0.033026051	-1.733000E+00	  0.033026051	1.205200E+02	  0.033026051	6.573000E+00	  0.033026051	2.819100E+01
67	  0.033226453	-1.776000E+00	  0.033226453	1.184900E+02	  0.033226453	6.873000E+00	  0.033226453	2.933600E+01
68	  0.033426855	-1.818000E+00	  0.033426855	1.164400E+02	  0.033426855	7.188000E+00	  0.033426855	3.051200E+01
69	  0.033627257	-1.864000E+00	  0.033627257	1.144240E+02	  0.033627257	7.527000E+00	  0.033627257	3.168900E+01
70	  0.033827655	-1.910000E+00	  0.033827655	1.123840E+02	  0.033827655	7.888000E+00	  0.033827655	3.290300E+01
71	  0.034028057	-1.957000E+00	  0.034028057	1.103340E+02	  0.034028057	8.276000E+00	  0.034028057	3.414600E+01
72	  0.034228459	-2.003000E+00	  0.034228459	1.082720E+02	  0.034228459	8.680000E+00	  0.034228459	3.542500E+01
73	  0.034428857	-2.051000E+00	  0.034428857	1.061990E+02	  0.034428857	9.120000E+00	  0.034428857	3.673600E+01
74	  0.034629259	-2.100000E+00	  0.034629259	1.041340E+02	  0.034629259	9.587000E+00	  0.034629259	3.807000E+01
75	  0.034829661	-2.151000E+00	  0.034829661	1.020570E+02	  0.034829661	1.009300E+01	  0.034829661	3.944100E+01
76	  0.035030060	-2.202000E+00	  0.035030060	9.996900E+01	  0.035030060	1.063100E+01	  0.035030060	4.085200E+01
77	  0.035230462	-2.254000E+00	  0.035230462	9.789400E+01	  0.035230462	1.120600E+01	  0.035230462	4.228500E+01
78	  0.035430863	-2.307000E+00	  0.035430863	9.583300E+01	  0.035430863	1.181900E+01	  0.035430863	4.374200E+01
79	  0.035631265	-2.361000E+00	  0.035631265	9.374400E+01	  0.035631265	1.248200E+01	  0.035631265	4.525400E+01
80	  0.035831664	-2.417000E+00	  0.035831664	9.167300E+01	  0.035831664	1.319600E+01	  0.035831664	4.678800E+01
81	  0.036032066	-2.471000E+00	  0.036032066	8.957000E+01	  0.036032066	1.395400E+01	  0.036032066	4.838900E+01
82	  0.036232468	-2.528000E+00	  0.036232468	8.749900E+01	  0.036232468	1.477300E+01	  0.036232468	5.000100E+01
83	  0.036432866	-2.581000E+00	  0.036432866	8.539400E+01	  0.036432866	1.563700E+01	  0.036432866	5.168900E+01
84	  0.036633268	-2.639000E+00	  0.036633268	8.329600E+01	  0.036633268	1.659200E+01	  0.036633268	5.340800E+01
