! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may09/254.ew.m14.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/09/2018 12:15:44 PM	05/09/2018 12:08:51 PM
! INTERNAL TEMP:    	55.3 C	54.8 C
! # POINTS:         	494	494
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	118.797 594 MHz	118.797 594 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-126.76°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(16.148 ohm, -0.790 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.370000E-01	  0.020000000	-1.267620E+02	  0.020000000	2.293000E+00	  0.020000000	-2.501600E+01
2	  0.020200402	-6.390000E-01	  0.020200402	-1.282290E+02	  0.020200402	2.272000E+00	  0.020200402	-2.422200E+01
3	  0.020400802	-6.400000E-01	  0.020400802	-1.297110E+02	  0.020400802	2.248000E+00	  0.020400802	-2.343000E+01
4	  0.020601204	-6.430000E-01	  0.020601204	-1.312070E+02	  0.020601204	2.232000E+00	  0.020601204	-2.263900E+01
5	  0.020801604	-6.450000E-01	  0.020801604	-1.327340E+02	  0.020801604	2.212000E+00	  0.020801604	-2.184200E+01
6	  0.021002004	-6.480000E-01	  0.021002004	-1.342740E+02	  0.021002004	2.196000E+00	  0.021002004	-2.104800E+01
7	  0.021202406	-6.520000E-01	  0.021202406	-1.358140E+02	  0.021202406	2.184000E+00	  0.021202406	-2.026200E+01
8	  0.021402806	-6.520000E-01	  0.021402806	-1.373460E+02	  0.021402806	2.163000E+00	  0.021402806	-1.948900E+01
9	  0.021603208	-6.560000E-01	  0.021603208	-1.388800E+02	  0.021603208	2.152000E+00	  0.021603208	-1.872300E+01
10	  0.021803608	-6.600000E-01	  0.021803608	-1.404100E+02	  0.021803608	2.145000E+00	  0.021803608	-1.796600E+01
11	  0.022004008	-6.660000E-01	  0.022004008	-1.419460E+02	  0.022004008	2.144000E+00	  0.022004008	-1.721400E+01
12	  0.022204408	-6.720000E-01	  0.022204408	-1.435160E+02	  0.022204408	2.144000E+00	  0.022204408	-1.645200E+01
13	  0.022404809	-6.750000E-01	  0.022404809	-1.451020E+02	  0.022404809	2.134000E+00	  0.022404809	-1.568900E+01
14	  0.022605211	-6.780000E-01	  0.022605211	-1.466980E+02	  0.022605211	2.125000E+00	  0.022605211	-1.492800E+01
15	  0.022805611	-6.840000E-01	  0.022805611	-1.482840E+02	  0.022805611	2.127000E+00	  0.022805611	-1.417900E+01
16	  0.023006011	-6.910000E-01	  0.023006011	-1.498730E+02	  0.023006011	2.131000E+00	  0.023006011	-1.343300E+01
17	  0.023206413	-6.950000E-01	  0.023206413	-1.514620E+02	  0.023206413	2.130000E+00	  0.023206413	-1.269400E+01
18	  0.023406813	-6.980000E-01	  0.023406813	-1.530480E+02	  0.023406813	2.125000E+00	  0.023406813	-1.196100E+01
19	  0.023607215	-7.040000E-01	  0.023607215	-1.546530E+02	  0.023607215	2.130000E+00	  0.023607215	-1.122400E+01
20	  0.023807615	-7.150000E-01	  0.023807615	-1.562700E+02	  0.023807615	2.147000E+00	  0.023807615	-1.048500E+01
21	  0.024008015	-7.210000E-01	  0.024008015	-1.579100E+02	  0.024008015	2.154000E+00	  0.024008015	-9.742000E+00
22	  0.024208417	-7.280000E-01	  0.024208417	-1.595620E+02	  0.024208417	2.162000E+00	  0.024208417	-8.997000E+00
23	  0.024408817	-7.350000E-01	  0.024408817	-1.612260E+02	  0.024408817	2.171000E+00	  0.024408817	-8.250000E+00
24	  0.024609219	-7.400000E-01	  0.024609219	-1.628850E+02	  0.024609219	2.176000E+00	  0.024609219	-7.509000E+00
25	  0.024809619	-7.480000E-01	  0.024809619	-1.645580E+02	  0.024809619	2.192000E+00	  0.024809619	-6.765000E+00
26	  0.025010020	-7.580000E-01	  0.025010020	-1.662180E+02	  0.025010020	2.212000E+00	  0.025010020	-6.030000E+00
27	  0.025210422	-7.670000E-01	  0.025210422	-1.679070E+02	  0.025210422	2.231000E+00	  0.025210422	-5.285000E+00
28	  0.025410822	-7.770000E-01	  0.025410822	-1.695990E+02	  0.025410822	2.253000E+00	  0.025410822	-4.541000E+00
29	  0.025611224	-7.880000E-01	  0.025611224	-1.713030E+02	  0.025611224	2.281000E+00	  0.025611224	-3.793000E+00
30	  0.025811624	-7.980000E-01	  0.025811624	-1.730160E+02	  0.025811624	2.304000E+00	  0.025811624	-3.044000E+00
31	  0.026012026	-8.080000E-01	  0.026012026	-1.747530E+02	  0.026012026	2.330000E+00	  0.026012026	-2.286000E+00
32	  0.026212426	-8.190000E-01	  0.026212426	-1.764790E+02	  0.026212426	2.359000E+00	  0.026212426	-1.533000E+00
33	  0.026412826	-8.330000E-01	  0.026412826	-1.782290E+02	  0.026412826	2.396000E+00	  0.026412826	-7.700000E-01
34	  0.026613226	-8.460000E-01	  0.026613226	-1.799850E+02	  0.026613226	2.434000E+00	  0.026613226	-6.000000E-03
35	  0.026813626	-8.600000E-01	  0.026813626	1.782540E+02	  0.026813626	2.475000E+00	  0.026813626	7.590000E-01
36	  0.027014028	-8.760000E-01	  0.027014028	1.764800E+02	  0.027014028	2.521000E+00	  0.027014028	1.532000E+00
37	  0.027214428	-8.910000E-01	  0.027214428	1.747060E+02	  0.027214428	2.569000E+00	  0.027214428	2.305000E+00
38	  0.027414829	-9.060000E-01	  0.027414829	1.729260E+02	  0.027414829	2.617000E+00	  0.027414829	3.081000E+00
39	  0.027615231	-9.230000E-01	  0.027615231	1.711310E+02	  0.027615231	2.671000E+00	  0.027615231	3.866000E+00
40	  0.027815631	-9.400000E-01	  0.027815631	1.693250E+02	  0.027815631	2.729000E+00	  0.027815631	4.657000E+00
41	  0.028016033	-9.590000E-01	  0.028016033	1.675060E+02	  0.028016033	2.791000E+00	  0.028016033	5.456000E+00
42	  0.028216433	-9.770000E-01	  0.028216433	1.656720E+02	  0.028216433	2.854000E+00	  0.028216433	6.264000E+00
43	  0.028416833	-9.960000E-01	  0.028416833	1.638330E+02	  0.028416833	2.923000E+00	  0.028416833	7.077000E+00
44	  0.028617235	-1.015000E+00	  0.028617235	1.619820E+02	  0.028617235	2.993000E+00	  0.028617235	7.899000E+00
45	  0.028817635	-1.036000E+00	  0.028817635	1.601380E+02	  0.028817635	3.070000E+00	  0.028817635	8.721000E+00
46	  0.029018037	-1.058000E+00	  0.029018037	1.582880E+02	  0.029018037	3.153000E+00	  0.029018037	9.551000E+00
47	  0.029218437	-1.081000E+00	  0.029218437	1.564280E+02	  0.029218437	3.244000E+00	  0.029218437	1.039000E+01
48	  0.029418837	-1.104000E+00	  0.029418837	1.545360E+02	  0.029418837	3.336000E+00	  0.029418837	1.124900E+01
49	  0.029619239	-1.130000E+00	  0.029619239	1.526480E+02	  0.029619239	3.439000E+00	  0.029619239	1.211100E+01
