! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may09/254.ew.m2.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/09/2018 10:13:03 AM	05/09/2018 10:08:40 AM
! INTERNAL TEMP:    	48.5 C	48.0 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-125.08°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(15.975 ohm, -3.346 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.120000E-01	  0.020000000	-1.250820E+02	  0.020000000	2.237000E+00	  0.020000000	-2.594100E+01
2	  0.020200402	-6.090000E-01	  0.020200402	-1.265240E+02	  0.020200402	2.198000E+00	  0.020200402	-2.515000E+01
3	  0.020400802	-6.100000E-01	  0.020400802	-1.279750E+02	  0.020400802	2.174000E+00	  0.020400802	-2.436200E+01
4	  0.020601204	-6.090000E-01	  0.020601204	-1.294400E+02	  0.020601204	2.144000E+00	  0.020601204	-2.357700E+01
5	  0.020801604	-6.130000E-01	  0.020801604	-1.309250E+02	  0.020801604	2.130000E+00	  0.020801604	-2.279100E+01
6	  0.021002004	-6.180000E-01	  0.021002004	-1.324330E+02	  0.021002004	2.124000E+00	  0.021002004	-2.200200E+01
7	  0.021202406	-6.230000E-01	  0.021202406	-1.339700E+02	  0.021202406	2.118000E+00	  0.021202406	-2.120600E+01
8	  0.021402806	-6.290000E-01	  0.021402806	-1.354980E+02	  0.021402806	2.114000E+00	  0.021402806	-2.042400E+01
9	  0.021603208	-6.300000E-01	  0.021603208	-1.370270E+02	  0.021603208	2.093000E+00	  0.021603208	-1.965100E+01
10	  0.021803608	-6.370000E-01	  0.021803608	-1.385600E+02	  0.021803608	2.096000E+00	  0.021803608	-1.888300E+01
11	  0.022004008	-6.410000E-01	  0.022004008	-1.400970E+02	  0.022004008	2.089000E+00	  0.022004008	-1.812200E+01
12	  0.022204408	-6.500000E-01	  0.022204408	-1.416450E+02	  0.022204408	2.098000E+00	  0.022204408	-1.736200E+01
13	  0.022404809	-6.530000E-01	  0.022404809	-1.432160E+02	  0.022404809	2.088000E+00	  0.022404809	-1.659800E+01
14	  0.022605211	-6.550000E-01	  0.022605211	-1.448240E+02	  0.022605211	2.073000E+00	  0.022605211	-1.582400E+01
15	  0.022805611	-6.580000E-01	  0.022805611	-1.464160E+02	  0.022805611	2.065000E+00	  0.022805611	-1.506400E+01
16	  0.023006011	-6.620000E-01	  0.023006011	-1.479980E+02	  0.023006011	2.061000E+00	  0.023006011	-1.431500E+01
17	  0.023206413	-6.630000E-01	  0.023206413	-1.495780E+02	  0.023206413	2.050000E+00	  0.023206413	-1.357300E+01
18	  0.023406813	-6.660000E-01	  0.023406813	-1.511630E+02	  0.023406813	2.044000E+00	  0.023406813	-1.283400E+01
19	  0.023607215	-6.700000E-01	  0.023607215	-1.527620E+02	  0.023607215	2.041000E+00	  0.023607215	-1.209400E+01
20	  0.023807615	-6.760000E-01	  0.023807615	-1.543700E+02	  0.023807615	2.045000E+00	  0.023807615	-1.135500E+01
21	  0.024008015	-6.820000E-01	  0.024008015	-1.559860E+02	  0.024008015	2.052000E+00	  0.024008015	-1.061600E+01
22	  0.024208417	-6.910000E-01	  0.024208417	-1.576300E+02	  0.024208417	2.067000E+00	  0.024208417	-9.870000E+00
23	  0.024408817	-7.000000E-01	  0.024408817	-1.592710E+02	  0.024408817	2.082000E+00	  0.024408817	-9.129000E+00
24	  0.024609219	-7.050000E-01	  0.024609219	-1.609080E+02	  0.024609219	2.087000E+00	  0.024609219	-8.394000E+00
25	  0.024809619	-7.150000E-01	  0.024809619	-1.625690E+02	  0.024809619	2.106000E+00	  0.024809619	-7.651000E+00
26	  0.025010020	-7.210000E-01	  0.025010020	-1.642230E+02	  0.025010020	2.116000E+00	  0.025010020	-6.915000E+00
27	  0.025210422	-7.320000E-01	  0.025210422	-1.658800E+02	  0.025210422	2.140000E+00	  0.025210422	-6.180000E+00
28	  0.025410822	-7.430000E-01	  0.025410822	-1.675500E+02	  0.025410822	2.163000E+00	  0.025410822	-5.443000E+00
29	  0.025611224	-7.560000E-01	  0.025611224	-1.692470E+02	  0.025611224	2.194000E+00	  0.025611224	-4.696000E+00
30	  0.025811624	-7.660000E-01	  0.025811624	-1.709530E+02	  0.025811624	2.218000E+00	  0.025811624	-3.947000E+00
31	  0.026012026	-7.750000E-01	  0.026012026	-1.726860E+02	  0.026012026	2.238000E+00	  0.026012026	-3.189000E+00
32	  0.026212426	-7.830000E-01	  0.026212426	-1.743940E+02	  0.026212426	2.260000E+00	  0.026212426	-2.442000E+00
33	  0.026412826	-7.960000E-01	  0.026412826	-1.761160E+02	  0.026412826	2.292000E+00	  0.026412826	-1.691000E+00
34	  0.026613226	-8.100000E-01	  0.026613226	-1.778520E+02	  0.026613226	2.331000E+00	  0.026613226	-9.340000E-01
35	  0.026813626	-8.220000E-01	  0.026813626	-1.796080E+02	  0.026813626	2.365000E+00	  0.026813626	-1.700000E-01
36	  0.027014028	-8.370000E-01	  0.027014028	1.786370E+02	  0.027014028	2.408000E+00	  0.027014028	5.930000E-01
37	  0.027214428	-8.530000E-01	  0.027214428	1.768690E+02	  0.027214428	2.455000E+00	  0.027214428	1.363000E+00
38	  0.027414829	-8.670000E-01	  0.027414829	1.750790E+02	  0.027414829	2.498000E+00	  0.027414829	2.142000E+00
39	  0.027615231	-8.820000E-01	  0.027615231	1.732830E+02	  0.027615231	2.545000E+00	  0.027615231	2.926000E+00
40	  0.027815631	-8.990000E-01	  0.027815631	1.714930E+02	  0.027815631	2.602000E+00	  0.027815631	3.708000E+00
41	  0.028016033	-9.190000E-01	  0.028016033	1.696650E+02	  0.028016033	2.664000E+00	  0.028016033	4.508000E+00
42	  0.028216433	-9.400000E-01	  0.028216433	1.678410E+02	  0.028216433	2.733000E+00	  0.028216433	5.309000E+00
