! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may09/254.ns.m1.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/09/2018 12:40:41 PM	05/09/2018 12:35:56 PM
! INTERNAL TEMP:    	57.5 C	56.8 C
! # POINTS:         	494	494
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	118.797 594 MHz	118.797 594 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-126.65°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(16.517 ohm, -1.579 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.310000E-01	  0.020000000	-1.266450E+02	  0.020000000	2.274000E+00	  0.020000000	-2.508000E+01
2	  0.020200402	-6.360000E-01	  0.020200402	-1.281100E+02	  0.020200402	2.263000E+00	  0.020200402	-2.428600E+01
3	  0.020400802	-6.380000E-01	  0.020400802	-1.295780E+02	  0.020400802	2.244000E+00	  0.020400802	-2.350000E+01
4	  0.020601204	-6.430000E-01	  0.020601204	-1.310960E+02	  0.020601204	2.233000E+00	  0.020601204	-2.269700E+01
5	  0.020801604	-6.460000E-01	  0.020801604	-1.326010E+02	  0.020801604	2.215000E+00	  0.020801604	-2.191100E+01
6	  0.021002004	-6.470000E-01	  0.021002004	-1.341540E+02	  0.021002004	2.195000E+00	  0.021002004	-2.110900E+01
7	  0.021202406	-6.500000E-01	  0.021202406	-1.356930E+02	  0.021202406	2.180000E+00	  0.021202406	-2.032300E+01
8	  0.021402806	-6.530000E-01	  0.021402806	-1.372350E+02	  0.021402806	2.167000E+00	  0.021402806	-1.954400E+01
9	  0.021603208	-6.550000E-01	  0.021603208	-1.387800E+02	  0.021603208	2.151000E+00	  0.021603208	-1.877200E+01
10	  0.021803608	-6.600000E-01	  0.021803608	-1.403290E+02	  0.021803608	2.146000E+00	  0.021803608	-1.800600E+01
11	  0.022004008	-6.660000E-01	  0.022004008	-1.418730E+02	  0.022004008	2.145000E+00	  0.022004008	-1.724900E+01
12	  0.022204408	-6.710000E-01	  0.022204408	-1.434600E+02	  0.022204408	2.140000E+00	  0.022204408	-1.647900E+01
13	  0.022404809	-6.770000E-01	  0.022404809	-1.450610E+02	  0.022404809	2.142000E+00	  0.022404809	-1.570900E+01
14	  0.022605211	-6.790000E-01	  0.022605211	-1.466850E+02	  0.022605211	2.129000E+00	  0.022605211	-1.493500E+01
15	  0.022805611	-6.830000E-01	  0.022805611	-1.483080E+02	  0.022805611	2.123000E+00	  0.022805611	-1.416800E+01
16	  0.023006011	-6.900000E-01	  0.023006011	-1.499160E+02	  0.023006011	2.128000E+00	  0.023006011	-1.341300E+01
17	  0.023206413	-6.980000E-01	  0.023206413	-1.515090E+02	  0.023206413	2.138000E+00	  0.023206413	-1.267200E+01
18	  0.023406813	-7.020000E-01	  0.023406813	-1.531250E+02	  0.023406813	2.137000E+00	  0.023406813	-1.192500E+01
19	  0.023607215	-7.100000E-01	  0.023607215	-1.547430E+02	  0.023607215	2.145000E+00	  0.023607215	-1.118200E+01
20	  0.023807615	-7.190000E-01	  0.023807615	-1.563740E+02	  0.023807615	2.160000E+00	  0.023807615	-1.043800E+01
21	  0.024008015	-7.300000E-01	  0.024008015	-1.580310E+02	  0.024008015	2.179000E+00	  0.024008015	-9.687000E+00
22	  0.024208417	-7.380000E-01	  0.024208417	-1.596950E+02	  0.024208417	2.192000E+00	  0.024208417	-8.936000E+00
23	  0.024408817	-7.440000E-01	  0.024408817	-1.613610E+02	  0.024408817	2.200000E+00	  0.024408817	-8.189000E+00
24	  0.024609219	-7.520000E-01	  0.024609219	-1.630330E+02	  0.024609219	2.213000E+00	  0.024609219	-7.443000E+00
25	  0.024809619	-7.610000E-01	  0.024809619	-1.647040E+02	  0.024809619	2.229000E+00	  0.024809619	-6.700000E+00
26	  0.025010020	-7.710000E-01	  0.025010020	-1.663880E+02	  0.025010020	2.250000E+00	  0.025010020	-5.955000E+00
27	  0.025210422	-7.810000E-01	  0.025210422	-1.680820E+02	  0.025210422	2.273000E+00	  0.025210422	-5.208000E+00
28	  0.025410822	-7.910000E-01	  0.025410822	-1.697750E+02	  0.025410822	2.295000E+00	  0.025410822	-4.463000E+00
29	  0.025611224	-8.020000E-01	  0.025611224	-1.714840E+02	  0.025611224	2.322000E+00	  0.025611224	-3.714000E+00
30	  0.025811624	-8.140000E-01	  0.025811624	-1.732060E+02	  0.025811624	2.349000E+00	  0.025811624	-2.961000E+00
31	  0.026012026	-8.240000E-01	  0.026012026	-1.749510E+02	  0.026012026	2.376000E+00	  0.026012026	-2.199000E+00
32	  0.026212426	-8.350000E-01	  0.026212426	-1.766950E+02	  0.026212426	2.405000E+00	  0.026212426	-1.438000E+00
33	  0.026412826	-8.480000E-01	  0.026412826	-1.784540E+02	  0.026412826	2.439000E+00	  0.026412826	-6.720000E-01
34	  0.026613226	-8.620000E-01	  0.026613226	1.797860E+02	  0.026613226	2.479000E+00	  0.026613226	9.200000E-02
35	  0.026813626	-8.770000E-01	  0.026813626	1.780070E+02	  0.026813626	2.523000E+00	  0.026813626	8.670000E-01
36	  0.027014028	-8.920000E-01	  0.027014028	1.762270E+02	  0.027014028	2.568000E+00	  0.027014028	1.642000E+00
37	  0.027214428	-9.070000E-01	  0.027214428	1.744410E+02	  0.027214428	2.615000E+00	  0.027214428	2.420000E+00
38	  0.027414829	-9.230000E-01	  0.027414829	1.726460E+02	  0.027414829	2.667000E+00	  0.027414829	3.204000E+00
39	  0.027615231	-9.400000E-01	  0.027615231	1.708250E+02	  0.027615231	2.723000E+00	  0.027615231	3.999000E+00
40	  0.027815631	-9.580000E-01	  0.027815631	1.690160E+02	  0.027815631	2.781000E+00	  0.027815631	4.792000E+00
41	  0.028016033	-9.770000E-01	  0.028016033	1.671810E+02	  0.028016033	2.844000E+00	  0.028016033	5.598000E+00
42	  0.028216433	-9.960000E-01	  0.028216433	1.653340E+02	  0.028216433	2.912000E+00	  0.028216433	6.412000E+00
43	  0.028416833	-1.016000E+00	  0.028416833	1.634790E+02	  0.028416833	2.984000E+00	  0.028416833	7.233000E+00
44	  0.028617235	-1.038000E+00	  0.028617235	1.616230E+02	  0.028617235	3.063000E+00	  0.028617235	8.057000E+00
45	  0.028817635	-1.059000E+00	  0.028817635	1.597550E+02	  0.028817635	3.141000E+00	  0.028817635	8.892000E+00
46	  0.029018037	-1.082000E+00	  0.029018037	1.579000E+02	  0.029018037	3.229000E+00	  0.029018037	9.725000E+00
47	  0.029218437	-1.107000E+00	  0.029218437	1.560200E+02	  0.029218437	3.325000E+00	  0.029218437	1.057300E+01
48	  0.029418837	-1.131000E+00	  0.029418837	1.541180E+02	  0.029418837	3.423000E+00	  0.029418837	1.143700E+01
49	  0.029619239	-1.158000E+00	  0.029619239	1.522100E+02	  0.029619239	3.531000E+00	  0.029619239	1.231000E+01
50	  0.029819639	-1.183000E+00	  0.029819639	1.503090E+02	  0.029819639	3.640000E+00	  0.029819639	1.318700E+01
51	  0.030020041	-1.211000E+00	  0.030020041	1.483860E+02	  0.030020041	3.758000E+00	  0.030020041	1.408000E+01
52	  0.030220442	-1.237000E+00	  0.030220442	1.464610E+02	  0.030220442	3.878000E+00	  0.030220442	1.498300E+01
53	  0.030420844	-1.265000E+00	  0.030420844	1.445450E+02	  0.030420844	4.006000E+00	  0.030420844	1.588900E+01
54	  0.030621244	-1.295000E+00	  0.030621244	1.426340E+02	  0.030621244	4.144000E+00	  0.030621244	1.680200E+01
55	  0.030821642	-1.325000E+00	  0.030821642	1.407150E+02	  0.030821642	4.290000E+00	  0.030821642	1.772900E+01
56	  0.031022044	-1.356000E+00	  0.031022044	1.387660E+02	  0.031022044	4.443000E+00	  0.031022044	1.868000E+01
57	  0.031222444	-1.382000E+00	  0.031222444	1.368370E+02	  0.031222444	4.587000E+00	  0.031222444	1.963300E+01
58	  0.031422846	-1.415000E+00	  0.031422846	1.348610E+02	  0.031422846	4.760000E+00	  0.031422846	2.062000E+01
59	  0.031623244	-1.449000E+00	  0.031623244	1.328700E+02	  0.031623244	4.946000E+00	  0.031623244	2.162800E+01
60	  0.031823646	-1.482000E+00	  0.031823646	1.308880E+02	  0.031823646	5.136000E+00	  0.031823646	2.264500E+01
61	  0.032024048	-1.516000E+00	  0.032024048	1.289030E+02	  0.032024048	5.339000E+00	  0.032024048	2.367800E+01
62	  0.032224450	-1.552000E+00	  0.032224450	1.269150E+02	  0.032224450	5.556000E+00	  0.032224450	2.472700E+01
63	  0.032424849	-1.588000E+00	  0.032424849	1.249170E+02	  0.032424849	5.785000E+00	  0.032424849	2.579800E+01
64	  0.032625251	-1.624000E+00	  0.032625251	1.229060E+02	  0.032625251	6.025000E+00	  0.032625251	2.689400E+01
65	  0.032825653	-1.660000E+00	  0.032825653	1.208740E+02	  0.032825653	6.280000E+00	  0.032825653	2.802100E+01
66	  0.033026051	-1.696000E+00	  0.033026051	1.188360E+02	  0.033026051	6.545000E+00	  0.033026051	2.917100E+01
67	  0.033226453	-1.732000E+00	  0.033226453	1.167760E+02	  0.033226453	6.825000E+00	  0.033226453	3.035700E+01
68	  0.033426855	-1.766000E+00	  0.033426855	1.147500E+02	  0.033426855	7.111000E+00	  0.033426855	3.154500E+01
69	  0.033627257	-1.809000E+00	  0.033627257	1.127100E+02	  0.033627257	7.450000E+00	  0.033627257	3.276100E+01
70	  0.033827655	-1.845000E+00	  0.033827655	1.106740E+02	  0.033827655	7.780000E+00	  0.033827655	3.400400E+01
71	  0.034028057	-1.885000E+00	  0.034028057	1.086160E+02	  0.034028057	8.145000E+00	  0.034028057	3.528500E+01
72	  0.034228459	-1.926000E+00	  0.034228459	1.065510E+02	  0.034228459	8.539000E+00	  0.034228459	3.659700E+01
73	  0.034428857	-1.967000E+00	  0.034428857	1.044920E+02	  0.034428857	8.954000E+00	  0.034428857	3.793700E+01
74	  0.034629259	-2.008000E+00	  0.034629259	1.023860E+02	  0.034629259	9.396000E+00	  0.034629259	3.934100E+01
75	  0.034829661	-2.052000E+00	  0.034829661	1.003170E+02	  0.034829661	9.876000E+00	  0.034829661	4.075000E+01
76	  0.035030060	-2.098000E+00	  0.035030060	9.823600E+01	  0.035030060	1.040000E+01	  0.035030060	4.220100E+01
77	  0.035230462	-2.143000E+00	  0.035230462	9.616100E+01	  0.035230462	1.095200E+01	  0.035230462	4.368500E+01
78	  0.035430863	-2.190000E+00	  0.035430863	9.406900E+01	  0.035430863	1.155400E+01	  0.035430863	4.521900E+01
