! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may10/256.ew.m9.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/10/2018 10:31:14 AM	05/10/2018 10:22:12 AM
! INTERNAL TEMP:    	47.3 C	47.0 C
! # POINTS:         	494	494
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	118.797 594 MHz	118.797 594 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-127.01°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(16.377 ohm, -1.268 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.100000E-01	  0.020000000	-1.270080E+02	  0.020000000	2.193000E+00	  0.020000000	-2.488500E+01
2	  0.020200402	-6.140000E-01	  0.020200402	-1.284790E+02	  0.020200402	2.179000E+00	  0.020200402	-2.409100E+01
3	  0.020400802	-6.170000E-01	  0.020400802	-1.299610E+02	  0.020400802	2.162000E+00	  0.020400802	-2.330000E+01
4	  0.020601204	-6.210000E-01	  0.020601204	-1.314500E+02	  0.020601204	2.151000E+00	  0.020601204	-2.251400E+01
5	  0.020801604	-6.260000E-01	  0.020801604	-1.329850E+02	  0.020801604	2.143000E+00	  0.020801604	-2.171400E+01
6	  0.021002004	-6.300000E-01	  0.021002004	-1.345270E+02	  0.021002004	2.131000E+00	  0.021002004	-2.092000E+01
7	  0.021202406	-6.360000E-01	  0.021202406	-1.360640E+02	  0.021202406	2.127000E+00	  0.021202406	-2.013700E+01
8	  0.021402806	-6.380000E-01	  0.021402806	-1.376010E+02	  0.021402806	2.112000E+00	  0.021402806	-1.936200E+01
9	  0.021603208	-6.420000E-01	  0.021603208	-1.391340E+02	  0.021603208	2.105000E+00	  0.021603208	-1.859800E+01
10	  0.021803608	-6.470000E-01	  0.021803608	-1.406710E+02	  0.021803608	2.100000E+00	  0.021803608	-1.783900E+01
11	  0.022004008	-6.530000E-01	  0.022004008	-1.422230E+02	  0.022004008	2.099000E+00	  0.022004008	-1.708000E+01
12	  0.022204408	-6.590000E-01	  0.022204408	-1.437890E+02	  0.022204408	2.098000E+00	  0.022204408	-1.632100E+01
13	  0.022404809	-6.650000E-01	  0.022404809	-1.453940E+02	  0.022404809	2.099000E+00	  0.022404809	-1.555100E+01
14	  0.022605211	-6.690000E-01	  0.022605211	-1.469790E+02	  0.022605211	2.094000E+00	  0.022605211	-1.479600E+01
15	  0.022805611	-6.790000E-01	  0.022805611	-1.485690E+02	  0.022805611	2.108000E+00	  0.022805611	-1.404500E+01
16	  0.023006011	-6.850000E-01	  0.023006011	-1.501590E+02	  0.023006011	2.110000E+00	  0.023006011	-1.330000E+01
17	  0.023206413	-6.890000E-01	  0.023206413	-1.517530E+02	  0.023206413	2.108000E+00	  0.023206413	-1.255900E+01
