! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may10/256.ns.m2.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/10/2018 10:56:35 AM	05/10/2018 10:50:07 AM
! INTERNAL TEMP:    	50.0 C	49.0 C
! # POINTS:         	494	494
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	118.797 594 MHz	118.797 594 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-126.76°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(16.704 ohm, -1.430 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.030000E-01	  0.020000000	-1.267610E+02	  0.020000000	2.170000E+00	  0.020000000	-2.502100E+01
2	  0.020200402	-6.070000E-01	  0.020200402	-1.282080E+02	  0.020200402	2.158000E+00	  0.020200402	-2.423700E+01
3	  0.020400802	-6.100000E-01	  0.020400802	-1.296870E+02	  0.020400802	2.143000E+00	  0.020400802	-2.344600E+01
4	  0.020601204	-6.160000E-01	  0.020601204	-1.311980E+02	  0.020601204	2.138000E+00	  0.020601204	-2.264700E+01
5	  0.020801604	-6.200000E-01	  0.020801604	-1.327330E+02	  0.020801604	2.126000E+00	  0.020801604	-2.184500E+01
6	  0.021002004	-6.250000E-01	  0.021002004	-1.342790E+02	  0.021002004	2.117000E+00	  0.021002004	-2.104700E+01
7	  0.021202406	-6.270000E-01	  0.021202406	-1.358280E+02	  0.021202406	2.103000E+00	  0.021202406	-2.025700E+01
8	  0.021402806	-6.310000E-01	  0.021402806	-1.373720E+02	  0.021402806	2.093000E+00	  0.021402806	-1.947800E+01
9	  0.021603208	-6.370000E-01	  0.021603208	-1.389380E+02	  0.021603208	2.090000E+00	  0.021603208	-1.869600E+01
10	  0.021803608	-6.410000E-01	  0.021803608	-1.404920E+02	  0.021803608	2.084000E+00	  0.021803608	-1.792700E+01
11	  0.022004008	-6.470000E-01	  0.022004008	-1.420790E+02	  0.022004008	2.080000E+00	  0.022004008	-1.715100E+01
12	  0.022204408	-6.560000E-01	  0.022204408	-1.436780E+02	  0.022204408	2.092000E+00	  0.022204408	-1.637500E+01
13	  0.022404809	-6.600000E-01	  0.022404809	-1.453020E+02	  0.022404809	2.084000E+00	  0.022404809	-1.559500E+01
14	  0.022605211	-6.680000E-01	  0.022605211	-1.469210E+02	  0.022605211	2.092000E+00	  0.022605211	-1.482300E+01
15	  0.022805611	-6.770000E-01	  0.022805611	-1.485470E+02	  0.022805611	2.102000E+00	  0.022805611	-1.405600E+01
16	  0.023006011	-6.800000E-01	  0.023006011	-1.501790E+02	  0.023006011	2.097000E+00	  0.023006011	-1.329100E+01
17	  0.023206413	-6.850000E-01	  0.023206413	-1.518080E+02	  0.023206413	2.097000E+00	  0.023206413	-1.253400E+01
18	  0.023406813	-6.920000E-01	  0.023406813	-1.534350E+02	  0.023406813	2.102000E+00	  0.023406813	-1.178300E+01
19	  0.023607215	-7.000000E-01	  0.023607215	-1.550650E+02	  0.023607215	2.112000E+00	  0.023607215	-1.103500E+01
20	  0.023807615	-7.120000E-01	  0.023807615	-1.567010E+02	  0.023807615	2.138000E+00	  0.023807615	-1.029000E+01
21	  0.024008015	-7.220000E-01	  0.024008015	-1.583630E+02	  0.024008015	2.152000E+00	  0.024008015	-9.537000E+00
22	  0.024208417	-7.300000E-01	  0.024208417	-1.600330E+02	  0.024208417	2.165000E+00	  0.024208417	-8.785000E+00
23	  0.024408817	-7.370000E-01	  0.024408817	-1.617010E+02	  0.024408817	2.175000E+00	  0.024408817	-8.038000E+00
24	  0.024609219	-7.450000E-01	  0.024609219	-1.633750E+02	  0.024609219	2.191000E+00	  0.024609219	-7.291000E+00
25	  0.024809619	-7.560000E-01	  0.024809619	-1.650340E+02	  0.024809619	2.213000E+00	  0.024809619	-6.554000E+00
26	  0.025010020	-7.680000E-01	  0.025010020	-1.667010E+02	  0.025010020	2.239000E+00	  0.025010020	-5.817000E+00
27	  0.025210422	-7.800000E-01	  0.025210422	-1.683600E+02	  0.025210422	2.267000E+00	  0.025210422	-5.085000E+00
28	  0.025410822	-7.920000E-01	  0.025410822	-1.700390E+02	  0.025410822	2.298000E+00	  0.025410822	-4.347000E+00
29	  0.025611224	-8.060000E-01	  0.025611224	-1.717240E+02	  0.025611224	2.330000E+00	  0.025611224	-3.609000E+00
30	  0.025811624	-8.200000E-01	  0.025811624	-1.734230E+02	  0.025811624	2.368000E+00	  0.025811624	-2.866000E+00
31	  0.026012026	-8.330000E-01	  0.026012026	-1.751290E+02	  0.026012026	2.402000E+00	  0.026012026	-2.121000E+00
32	  0.026212426	-8.470000E-01	  0.026212426	-1.768490E+02	  0.026212426	2.440000E+00	  0.026212426	-1.371000E+00
33	  0.026412826	-8.640000E-01	  0.026412826	-1.785770E+02	  0.026412826	2.486000E+00	  0.026412826	-6.190000E-01
34	  0.026613226	-8.800000E-01	  0.026613226	1.796850E+02	  0.026613226	2.531000E+00	  0.026613226	1.360000E-01
35	  0.026813626	-8.980000E-01	  0.026813626	1.779320E+02	  0.026813626	2.585000E+00	  0.026813626	8.990000E-01
36	  0.027014028	-9.170000E-01	  0.027014028	1.761640E+02	  0.027014028	2.639000E+00	  0.027014028	1.669000E+00
37	  0.027214428	-9.360000E-01	  0.027214428	1.743940E+02	  0.027214428	2.699000E+00	  0.027214428	2.440000E+00
38	  0.027414829	-9.560000E-01	  0.027414829	1.726040E+02	  0.027414829	2.762000E+00	  0.027414829	3.221000E+00
39	  0.027615231	-9.770000E-01	  0.027615231	1.707830E+02	  0.027615231	2.829000E+00	  0.027615231	4.017000E+00
40	  0.027815631	-9.990000E-01	  0.027815631	1.689740E+02	  0.027815631	2.900000E+00	  0.027815631	4.809000E+00
41	  0.028016033	-1.023000E+00	  0.028016033	1.671210E+02	  0.028016033	2.979000E+00	  0.028016033	5.623000E+00
