! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may09/b256.ns.m1.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/09/2018 07:38:17 PM	05/09/2018 07:34:34 PM
! INTERNAL TEMP:    	52.8 C	52.0 C
! # POINTS:         	494	494
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	118.797 594 MHz	118.797 594 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-126.94°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(16.898 ohm, -1.397 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.220000E-01	  0.020000000	-1.269430E+02	  0.020000000	2.236000E+00	  0.020000000	-2.491900E+01
2	  0.020200402	-6.240000E-01	  0.020200402	-1.284140E+02	  0.020200402	2.216000E+00	  0.020200402	-2.412400E+01
3	  0.020400802	-6.280000E-01	  0.020400802	-1.299130E+02	  0.020400802	2.202000E+00	  0.020400802	-2.332400E+01
4	  0.020601204	-6.340000E-01	  0.020601204	-1.314060E+02	  0.020601204	2.195000E+00	  0.020601204	-2.253600E+01
5	  0.020801604	-6.360000E-01	  0.020801604	-1.329550E+02	  0.020801604	2.178000E+00	  0.020801604	-2.172900E+01
6	  0.021002004	-6.390000E-01	  0.021002004	-1.345000E+02	  0.021002004	2.163000E+00	  0.021002004	-2.093300E+01
7	  0.021202406	-6.450000E-01	  0.021202406	-1.360570E+02	  0.021202406	2.158000E+00	  0.021202406	-2.013900E+01
8	  0.021402806	-6.460000E-01	  0.021402806	-1.375920E+02	  0.021402806	2.140000E+00	  0.021402806	-1.936600E+01
9	  0.021603208	-6.520000E-01	  0.021603208	-1.391260E+02	  0.021603208	2.138000E+00	  0.021603208	-1.860100E+01
10	  0.021803608	-6.560000E-01	  0.021803608	-1.406710E+02	  0.021803608	2.130000E+00	  0.021803608	-1.783800E+01
11	  0.022004008	-6.610000E-01	  0.022004008	-1.422190E+02	  0.022004008	2.126000E+00	  0.022004008	-1.708100E+01
12	  0.022204408	-6.680000E-01	  0.022204408	-1.438110E+02	  0.022204408	2.128000E+00	  0.022204408	-1.631000E+01
13	  0.022404809	-6.760000E-01	  0.022404809	-1.453950E+02	  0.022404809	2.133000E+00	  0.022404809	-1.554900E+01
14	  0.022605211	-6.830000E-01	  0.022605211	-1.469870E+02	  0.022605211	2.138000E+00	  0.022605211	-1.479100E+01
15	  0.022805611	-6.840000E-01	  0.022805611	-1.486150E+02	  0.022805611	2.125000E+00	  0.022805611	-1.402300E+01
16	  0.023006011	-6.910000E-01	  0.023006011	-1.502060E+02	  0.023006011	2.129000E+00	  0.023006011	-1.327800E+01
17	  0.023206413	-6.950000E-01	  0.023206413	-1.518140E+02	  0.023206413	2.125000E+00	  0.023206413	-1.253100E+01
