! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may10/bot50.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/10/2018 01:21:29 PM	05/10/2018 01:17:32 PM
! INTERNAL TEMP:    	52.5 C	52.0 C
! # POINTS:         	492	492
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	118.396 793 MHz	118.396 793 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:50.82°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(52.534 ohm, 1.222 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-3.873600E+01	  0.020000000	5.082000E+01	  0.020000000	5.072700E+01	  0.020000000	9.090000E-01
2	  0.020200402	-3.866900E+01	  0.020200402	5.023700E+01	  0.020200402	5.074200E+01	  0.020200402	9.090000E-01
3	  0.020400802	-3.856000E+01	  0.020400802	4.994200E+01	  0.020400802	5.075700E+01	  0.020400802	9.170000E-01
4	  0.020601204	-3.854700E+01	  0.020601204	5.048100E+01	  0.020601204	5.074900E+01	  0.020601204	9.250000E-01
5	  0.020801604	-3.847100E+01	  0.020801604	5.007900E+01	  0.020801604	5.076200E+01	  0.020801604	9.280000E-01
6	  0.021002004	-3.834500E+01	  0.021002004	5.032200E+01	  0.021002004	5.076900E+01	  0.021002004	9.450000E-01
7	  0.021202406	-3.832100E+01	  0.021202406	5.018000E+01	  0.021202406	5.077400E+01	  0.021202406	9.460000E-01
8	  0.021402806	-3.826500E+01	  0.021402806	4.994300E+01	  0.021402806	5.078300E+01	  0.021402806	9.490000E-01
9	  0.021603208	-3.825100E+01	  0.021603208	5.006900E+01	  0.021603208	5.078200E+01	  0.021603208	9.520000E-01
10	  0.021803608	-3.810700E+01	  0.021803608	4.974400E+01	  0.021803608	5.080000E+01	  0.021803608	9.640000E-01
11	  0.022004008	-3.813700E+01	  0.022004008	4.951000E+01	  0.022004008	5.080200E+01	  0.022004008	9.570000E-01
12	  0.022204408	-3.805200E+01	  0.022204408	5.008900E+01	  0.022204408	5.079900E+01	  0.022204408	9.750000E-01
13	  0.022404809	-3.800900E+01	  0.022404809	4.962300E+01	  0.022404809	5.081100E+01	  0.022404809	9.730000E-01
14	  0.022605211	-3.794800E+01	  0.022605211	4.917000E+01	  0.022605211	5.082500E+01	  0.022605211	9.740000E-01
15	  0.022805611	-3.788200E+01	  0.022805611	4.979400E+01	  0.022805611	5.082000E+01	  0.022805611	9.900000E-01
16	  0.023006011	-3.783800E+01	  0.023006011	4.957900E+01	  0.023006011	5.082800E+01	  0.023006011	9.920000E-01
17	  0.023206413	-3.776100E+01	  0.023206413	4.949100E+01	  0.023206413	5.083700E+01	  0.023206413	1.000000E+00
