! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may26.balun/2a.m3.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/26/2018 08:04:06 PM	05/26/2018 07:26:54 PM
! INTERNAL TEMP:    	45.8 C	45.5 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.220000E-01	  0.020000000	-1.258250E+02	  0.020000000	2.258000E+00	  0.020000000	-2.553100E+01
2	  0.020200402	-6.180000E-01	  0.020200402	-1.273160E+02	  0.020200402	2.215000E+00	  0.020200402	-2.471700E+01
3	  0.020400802	-6.170000E-01	  0.020400802	-1.287770E+02	  0.020400802	2.183000E+00	  0.020400802	-2.393100E+01
4	  0.020601204	-6.160000E-01	  0.020601204	-1.302330E+02	  0.020601204	2.156000E+00	  0.020601204	-2.315500E+01
5	  0.020801604	-6.190000E-01	  0.020801604	-1.317150E+02	  0.020801604	2.138000E+00	  0.020801604	-2.237600E+01
6	  0.021002004	-6.230000E-01	  0.021002004	-1.332430E+02	  0.021002004	2.128000E+00	  0.021002004	-2.158100E+01
7	  0.021202406	-6.310000E-01	  0.021202406	-1.347580E+02	  0.021202406	2.132000E+00	  0.021202406	-2.080200E+01
8	  0.021402806	-6.340000E-01	  0.021402806	-1.362740E+02	  0.021402806	2.118000E+00	  0.021402806	-2.003000E+01
9	  0.021603208	-6.390000E-01	  0.021603208	-1.378000E+02	  0.021603208	2.113000E+00	  0.021603208	-1.926300E+01
10	  0.021803608	-6.430000E-01	  0.021803608	-1.393200E+02	  0.021803608	2.105000E+00	  0.021803608	-1.850500E+01
11	  0.022004008	-6.480000E-01	  0.022004008	-1.408630E+02	  0.022004008	2.102000E+00	  0.022004008	-1.774400E+01
12	  0.022204408	-6.520000E-01	  0.022204408	-1.424260E+02	  0.022204408	2.095000E+00	  0.022204408	-1.698100E+01
13	  0.022404809	-6.550000E-01	  0.022404809	-1.439930E+02	  0.022404809	2.086000E+00	  0.022404809	-1.622300E+01
14	  0.022605211	-6.540000E-01	  0.022605211	-1.455620E+02	  0.022605211	2.064000E+00	  0.022605211	-1.547100E+01
15	  0.022805611	-6.560000E-01	  0.022805611	-1.471210E+02	  0.022805611	2.053000E+00	  0.022805611	-1.473000E+01
16	  0.023006011	-6.610000E-01	  0.023006011	-1.486880E+02	  0.023006011	2.052000E+00	  0.023006011	-1.399000E+01
17	  0.023206413	-6.720000E-01	  0.023206413	-1.502610E+02	  0.023206413	2.069000E+00	  0.023206413	-1.325300E+01
