! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may26.balun/2a.r50.2.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/26/2018 07:59:17 PM	05/26/2018 07:26:54 PM
! INTERNAL TEMP:    	45.5 C	45.5 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-3.943700E+01	  0.020000000	5.548100E+01	  0.020000000	5.060000E+01	  0.020000000	8.890000E-01
2	  0.020200402	-3.959100E+01	  0.020200402	5.566300E+01	  0.020200402	5.058700E+01	  0.020200402	8.750000E-01
3	  0.020400802	-3.949300E+01	  0.020400802	5.622000E+01	  0.020400802	5.058500E+01	  0.020400802	8.910000E-01
4	  0.020601204	-3.960800E+01	  0.020601204	5.579200E+01	  0.020601204	5.058300E+01	  0.020601204	8.750000E-01
5	  0.020801604	-3.955300E+01	  0.020801604	5.508800E+01	  0.020801604	5.059800E+01	  0.020801604	8.730000E-01
6	  0.021002004	-3.968800E+01	  0.021002004	5.451300E+01	  0.021002004	5.059800E+01	  0.021002004	8.540000E-01
7	  0.021202406	-3.966500E+01	  0.021202406	5.466900E+01	  0.021202406	5.059700E+01	  0.021202406	8.580000E-01
8	  0.021402806	-3.971400E+01	  0.021402806	5.410100E+01	  0.021402806	5.060200E+01	  0.021402806	8.470000E-01
9	  0.021603208	-3.967100E+01	  0.021603208	5.387200E+01	  0.021603208	5.060800E+01	  0.021603208	8.490000E-01
10	  0.021803608	-3.964700E+01	  0.021803608	5.278600E+01	  0.021803608	5.062600E+01	  0.021803608	8.390000E-01
11	  0.022004008	-3.952200E+01	  0.022004008	5.169800E+01	  0.022004008	5.065200E+01	  0.022004008	8.400000E-01
12	  0.022204408	-3.958800E+01	  0.022204408	5.141500E+01	  0.022204408	5.065100E+01	  0.022204408	8.300000E-01
13	  0.022404809	-3.939100E+01	  0.022404809	5.070200E+01	  0.022404809	5.067600E+01	  0.022404809	8.410000E-01
14	  0.022605211	-3.922300E+01	  0.022605211	4.988700E+01	  0.022605211	5.070200E+01	  0.022605211	8.480000E-01
15	  0.022805611	-3.917200E+01	  0.022805611	4.947200E+01	  0.022805611	5.071200E+01	  0.022805611	8.480000E-01
16	  0.023006011	-3.906800E+01	  0.023006011	4.946400E+01	  0.023006011	5.072100E+01	  0.023006011	8.580000E-01
17	  0.023206413	-3.890300E+01	  0.023206413	4.939200E+01	  0.023206413	5.073600E+01	  0.023206413	8.740000E-01
