! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may26.balun/4b.r200.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/26/2018 04:44:45 PM	05/26/2018 04:28:16 PM
! INTERNAL TEMP:    	55.0 C	56.3 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-4.519000E+00	  0.020000000	-2.278100E+01	  0.020000000	1.256890E+02	  0.020000000	-8.945100E+01
2	  0.020200402	-4.518000E+00	  0.020200402	-2.299800E+01	  0.020200402	1.248420E+02	  0.020200402	-8.966700E+01
3	  0.020400802	-4.520000E+00	  0.020400802	-2.324200E+01	  0.020400802	1.238790E+02	  0.020400802	-8.982200E+01
4	  0.020601204	-4.523000E+00	  0.020601204	-2.348700E+01	  0.020601204	1.229130E+02	  0.020601204	-8.993500E+01
5	  0.020801604	-4.521000E+00	  0.020801604	-2.372800E+01	  0.020801604	1.219960E+02	  0.020801604	-9.017500E+01
6	  0.021002004	-4.521000E+00	  0.021002004	-2.398500E+01	  0.021002004	1.210100E+02	  0.021002004	-9.035700E+01
7	  0.021202406	-4.523000E+00	  0.021202406	-2.426000E+01	  0.021202406	1.199580E+02	  0.021202406	-9.050100E+01
8	  0.021402806	-4.524000E+00	  0.021402806	-2.450600E+01	  0.021402806	1.190260E+02	  0.021402806	-9.062400E+01
9	  0.021603208	-4.526000E+00	  0.021603208	-2.473700E+01	  0.021603208	1.181520E+02	  0.021603208	-9.071500E+01
10	  0.021803608	-4.530000E+00	  0.021803608	-2.496700E+01	  0.021803608	1.172790E+02	  0.021803608	-9.074000E+01
11	  0.022004008	-4.533000E+00	  0.022004008	-2.520100E+01	  0.022004008	1.164010E+02	  0.022004008	-9.077900E+01
12	  0.022204408	-4.532000E+00	  0.022204408	-2.541300E+01	  0.022204408	1.156250E+02	  0.022204408	-9.091200E+01
13	  0.022404809	-4.529000E+00	  0.022404809	-2.564800E+01	  0.022404809	1.147730E+02	  0.022404809	-9.108600E+01
14	  0.022605211	-4.527000E+00	  0.022605211	-2.589700E+01	  0.022605211	1.138720E+02	  0.022605211	-9.121800E+01
15	  0.022805611	-4.532000E+00	  0.022805611	-2.614700E+01	  0.022805611	1.129570E+02	  0.022805611	-9.119700E+01
