! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/18may27.balun/5a.r50.2.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/27/2018 05:21:24 PM	05/27/2018 05:09:13 PM
! INTERNAL TEMP:    	53.3 C	53.3 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	"MK1 TR4:  70.100 200 MHz,Z:(52.411 ohm, 1.207 ohm)"
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-3.916800E+01	  0.020000000	5.143100E+01	  0.020000000	5.068300E+01	  0.020000000	8.720000E-01
2	  0.020200402	-3.905200E+01	  0.020200402	5.089200E+01	  0.020200402	5.070000E+01	  0.020200402	8.770000E-01
3	  0.020400802	-3.908800E+01	  0.020400802	5.077100E+01	  0.020400802	5.069900E+01	  0.020400802	8.720000E-01
4	  0.020601204	-3.903000E+01	  0.020601204	5.105500E+01	  0.020601204	5.070000E+01	  0.020601204	8.810000E-01
5	  0.020801604	-3.903800E+01	  0.020801604	5.126800E+01	  0.020801604	5.069600E+01	  0.020801604	8.830000E-01
6	  0.021002004	-3.901700E+01	  0.021002004	5.115300E+01	  0.021002004	5.069900E+01	  0.021002004	8.840000E-01
7	  0.021202406	-3.889300E+01	  0.021202406	5.046900E+01	  0.021202406	5.072000E+01	  0.021202406	8.880000E-01
8	  0.021402806	-3.888700E+01	  0.021402806	5.008500E+01	  0.021402806	5.072600E+01	  0.021402806	8.840000E-01
9	  0.021603208	-3.873700E+01	  0.021603208	5.015900E+01	  0.021603208	5.073800E+01	  0.021603208	9.010000E-01
10	  0.021803608	-3.869100E+01	  0.021803608	5.012500E+01	  0.021803608	5.074200E+01	  0.021803608	9.050000E-01
11	  0.022004008	-3.863100E+01	  0.022004008	4.990900E+01	  0.022004008	5.075100E+01	  0.022004008	9.090000E-01
12	  0.022204408	-3.854400E+01	  0.022204408	4.936500E+01	  0.022204408	5.076700E+01	  0.022204408	9.110000E-01
13	  0.022404809	-3.841700E+01	  0.022404809	4.942100E+01	  0.022404809	5.077800E+01	  0.022404809	9.250000E-01
14	  0.022605211	-3.831200E+01	  0.022605211	4.837000E+01	  0.022605211	5.080400E+01	  0.022605211	9.220000E-01
15	  0.022805611	-3.822200E+01	  0.022805611	4.887100E+01	  0.022805611	5.080400E+01	  0.022805611	9.390000E-01
16	  0.023006011	-3.816700E+01	  0.023006011	4.846700E+01	  0.023006011	5.081600E+01	  0.023006011	9.390000E-01
17	  0.023206413	-3.802100E+01	  0.023206413	4.954000E+01	  0.023206413	5.081200E+01	  0.023206413	9.710000E-01
18	  0.023406813	-3.796900E+01	  0.023406813	4.923700E+01	  0.023406813	5.082200E+01	  0.023406813	9.720000E-01
19	  0.023607215	-3.793200E+01	  0.023607215	4.920300E+01	  0.023607215	5.082600E+01	  0.023607215	9.760000E-01
20	  0.023807615	-3.786300E+01	  0.023807615	4.981500E+01	  0.023807615	5.082200E+01	  0.023807615	9.930000E-01
21	  0.024008015	-3.776400E+01	  0.024008015	4.962600E+01	  0.024008015	5.083500E+01	  0.024008015	1.002000E+00
22	  0.024208417	-3.781100E+01	  0.024208417	5.006500E+01	  0.024208417	5.082200E+01	  0.024208417	1.002000E+00
23	  0.024408817	-3.776100E+01	  0.024408817	5.007400E+01	  0.024408817	5.082700E+01	  0.024408817	1.008000E+00
24	  0.024609219	-3.778000E+01	  0.024609219	5.027000E+01	  0.024609219	5.082100E+01	  0.024609219	1.009000E+00
25	  0.024809619	-3.779000E+01	  0.024809619	4.971600E+01	  0.024809619	5.083000E+01	  0.024809619	1.000000E+00
26	  0.025010020	-3.773800E+01	  0.025010020	5.005100E+01	  0.025010020	5.082900E+01	  0.025010020	1.011000E+00
27	  0.025210422	-3.768600E+01	  0.025210422	5.000200E+01	  0.025210422	5.083500E+01	  0.025210422	1.016000E+00
28	  0.025410822	-3.770900E+01	  0.025410822	5.018300E+01	  0.025410822	5.083000E+01	  0.025410822	1.016000E+00
29	  0.025611224	-3.772500E+01	  0.025611224	4.977700E+01	  0.025611224	5.083600E+01	  0.025611224	1.008000E+00
