! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/18may27.balun/5b.m3.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/27/2018 03:55:42 PM	05/27/2018 03:52:12 PM
! INTERNAL TEMP:    	52.3 C	52.5 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	"MK1 TR4:  70.100 200 MHz,Z:(17.267 ohm, -1.812 ohm)"
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-7.230000E-01	  0.020000000	-1.255370E+02	  0.020000000	2.632000E+00	  0.020000000	-2.567400E+01
2	  0.020200402	-7.250000E-01	  0.020200402	-1.270020E+02	  0.020200402	2.604000E+00	  0.020200402	-2.487300E+01
3	  0.020400802	-7.250000E-01	  0.020400802	-1.284590E+02	  0.020400802	2.570000E+00	  0.020400802	-2.408600E+01
4	  0.020601204	-7.270000E-01	  0.020601204	-1.299060E+02	  0.020601204	2.549000E+00	  0.020601204	-2.331500E+01
5	  0.020801604	-7.350000E-01	  0.020801604	-1.313740E+02	  0.020801604	2.547000E+00	  0.020801604	-2.254000E+01
6	  0.021002004	-7.420000E-01	  0.021002004	-1.328900E+02	  0.021002004	2.540000E+00	  0.021002004	-2.175000E+01
7	  0.021202406	-7.480000E-01	  0.021202406	-1.344110E+02	  0.021202406	2.533000E+00	  0.021202406	-2.096600E+01
8	  0.021402806	-7.570000E-01	  0.021402806	-1.359300E+02	  0.021402806	2.535000E+00	  0.021402806	-2.019200E+01
9	  0.021603208	-7.620000E-01	  0.021603208	-1.374430E+02	  0.021603208	2.526000E+00	  0.021603208	-1.942900E+01
10	  0.021803608	-7.680000E-01	  0.021803608	-1.389660E+02	  0.021803608	2.520000E+00	  0.021803608	-1.866900E+01
11	  0.022004008	-7.740000E-01	  0.022004008	-1.405110E+02	  0.022004008	2.513000E+00	  0.022004008	-1.790500E+01
12	  0.022204408	-7.800000E-01	  0.022204408	-1.420860E+02	  0.022204408	2.507000E+00	  0.022204408	-1.713500E+01
13	  0.022404809	-7.830000E-01	  0.022404809	-1.436680E+02	  0.022404809	2.495000E+00	  0.022404809	-1.636800E+01
14	  0.022605211	-7.880000E-01	  0.022605211	-1.452220E+02	  0.022605211	2.488000E+00	  0.022605211	-1.562200E+01
15	  0.022805611	-7.880000E-01	  0.022805611	-1.467890E+02	  0.022805611	2.470000E+00	  0.022805611	-1.487700E+01
16	  0.023006011	-7.920000E-01	  0.023006011	-1.483530E+02	  0.023006011	2.462000E+00	  0.023006011	-1.413800E+01
