! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/18may27.balun/5b.r20.3.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/27/2018 04:03:59 PM	05/27/2018 03:52:12 PM
! INTERNAL TEMP:    	51.8 C	52.5 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	"MK1 TR4:  70.100 200 MHz,Z:(32.268 ohm, 35.132 ohm)"
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-7.266000E+00	  0.020000000	1.546580E+02	  0.020000000	2.061100E+01	  0.020000000	9.408000E+00
2	  0.020200402	-7.269000E+00	  0.020200402	1.543900E+02	  0.020200402	2.063700E+01	  0.020200402	9.508000E+00
3	  0.020400802	-7.270000E+00	  0.020400802	1.541480E+02	  0.020400802	2.065500E+01	  0.020400802	9.599000E+00
4	  0.020601204	-7.270000E+00	  0.020601204	1.539010E+02	  0.020601204	2.067200E+01	  0.020601204	9.693000E+00
5	  0.020801604	-7.267000E+00	  0.020801604	1.536190E+02	  0.020801604	2.068400E+01	  0.020801604	9.800000E+00
6	  0.021002004	-7.265000E+00	  0.021002004	1.533620E+02	  0.021002004	2.069900E+01	  0.021002004	9.898000E+00
7	  0.021202406	-7.265000E+00	  0.021202406	1.531190E+02	  0.021202406	2.071700E+01	  0.021202406	9.990000E+00
8	  0.021402806	-7.267000E+00	  0.021402806	1.528570E+02	  0.021402806	2.074100E+01	  0.021402806	1.008900E+01
9	  0.021603208	-7.273000E+00	  0.021603208	1.526350E+02	  0.021603208	2.077000E+01	  0.021603208	1.017000E+01
10	  0.021803608	-7.276000E+00	  0.021803608	1.523520E+02	  0.021803608	2.080000E+01	  0.021803608	1.027600E+01
11	  0.022004008	-7.278000E+00	  0.022004008	1.521220E+02	  0.022004008	2.082100E+01	  0.022004008	1.036200E+01
12	  0.022204408	-7.276000E+00	  0.022204408	1.518730E+02	  0.022204408	2.083600E+01	  0.022204408	1.045800E+01
13	  0.022404809	-7.274000E+00	  0.022404809	1.515940E+02	  0.022404809	2.085200E+01	  0.022404809	1.056500E+01
14	  0.022605211	-7.283000E+00	  0.022605211	1.513520E+02	  0.022605211	2.089400E+01	  0.022605211	1.065200E+01
15	  0.022805611	-7.282000E+00	  0.022805611	1.510980E+02	  0.022805611	2.091200E+01	  0.022805611	1.074900E+01
16	  0.023006011	-7.280000E+00	  0.023006011	1.508430E+02	  0.023006011	2.092600E+01	  0.023006011	1.084700E+01
17	  0.023206413	-7.279000E+00	  0.023206413	1.505590E+02	  0.023206413	2.094600E+01	  0.023206413	1.095600E+01
