! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/200ohm4_1.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	12/20/2017 04:21:05 PM	12/20/2017 04:05:21 PM
! INTERNAL TEMP:    	41.8 C	43.3 C
! # POINTS:         	501	501
! START FREQ:       	10.000 MHz	10.000 MHz
! STOP FREQ:        	110.000 MHz	110.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	100 Hz	100 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.010000000	-4.530000E+00	  0.010000000	-1.120900E+01	  0.010000000	1.724150E+02	  0.010000000	-6.143700E+01
2	  0.010200000	-4.520000E+00	  0.010200000	-1.136500E+01	  0.010200000	1.720880E+02	  0.010200000	-6.230300E+01
3	  0.010400000	-4.516000E+00	  0.010400000	-1.153500E+01	  0.010400000	1.715620E+02	  0.010400000	-6.309800E+01
4	  0.010600000	-4.518000E+00	  0.010600000	-1.176900E+01	  0.010600000	1.706150E+02	  0.010600000	-6.396600E+01
5	  0.010800000	-4.520000E+00	  0.010800000	-1.201000E+01	  0.010800000	1.696570E+02	  0.010800000	-6.486700E+01
6	  0.011000001	-4.519000E+00	  0.011000001	-1.223000E+01	  0.011000001	1.688240E+02	  0.011000001	-6.572500E+01
7	  0.011200000	-4.522000E+00	  0.011200000	-1.246300E+01	  0.011200000	1.678530E+02	  0.011200000	-6.653300E+01
8	  0.011399999	-4.520000E+00	  0.011399999	-1.268200E+01	  0.011399999	1.670450E+02	  0.011399999	-6.738600E+01
9	  0.011600000	-4.528000E+00	  0.011600000	-1.288200E+01	  0.011600000	1.660640E+02	  0.011600000	-6.789400E+01
10	  0.011800000	-4.524000E+00	  0.011800000	-1.310100E+01	  0.011800000	1.652960E+02	  0.011800000	-6.877800E+01
11	  0.012000000	-4.524000E+00	  0.012000000	-1.335500E+01	  0.012000000	1.642790E+02	  0.012000000	-6.965300E+01
12	  0.012200000	-4.528000E+00	  0.012200000	-1.356700E+01	  0.012200000	1.633300E+02	  0.012200000	-7.025700E+01
13	  0.012400000	-4.532000E+00	  0.012400000	-1.382800E+01	  0.012400000	1.621990E+02	  0.012400000	-7.102100E+01
14	  0.012600001	-4.535000E+00	  0.012600001	-1.403800E+01	  0.012600001	1.612970E+02	  0.012600001	-7.163500E+01
15	  0.012800000	-4.536000E+00	  0.012800000	-1.428500E+01	  0.012800000	1.602830E+02	  0.012800000	-7.239600E+01
16	  0.012999999	-4.539000E+00	  0.012999999	-1.451600E+01	  0.012999999	1.592790E+02	  0.012999999	-7.301900E+01
17	  0.013200000	-4.540000E+00	  0.013200000	-1.474700E+01	  0.013200000	1.583140E+02	  0.013200000	-7.368500E+01
18	  0.013400001	-4.545000E+00	  0.013400001	-1.498800E+01	  0.013400001	1.572420E+02	  0.013400001	-7.427600E+01
19	  0.013600000	-4.540000E+00	  0.013600000	-1.522500E+01	  0.013600000	1.563670E+02	  0.013600000	-7.508800E+01
20	  0.013800000	-4.541000E+00	  0.013800000	-1.545900E+01	  0.013800000	1.553870E+02	  0.013800000	-7.572200E+01
21	  0.014000000	-4.545000E+00	  0.014000000	-1.570200E+01	  0.014000000	1.543200E+02	  0.014000000	-7.628300E+01
22	  0.014200001	-4.548000E+00	  0.014200001	-1.594600E+01	  0.014200001	1.532680E+02	  0.014200001	-7.686100E+01
23	  0.014400000	-4.546000E+00	  0.014400000	-1.618600E+01	  0.014400000	1.523070E+02	  0.014400000	-7.752700E+01
24	  0.014599999	-4.548000E+00	  0.014599999	-1.642600E+01	  0.014599999	1.512790E+02	  0.014599999	-7.807200E+01
