! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/ns.50ohm_1.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	12/21/2017 04:56:27 PM	12/21/2017 04:46:01 PM
! INTERNAL TEMP:    	40.8 C	41.5 C
! # POINTS:         	501	501
! START FREQ:       	10.000 MHz	10.000 MHz
! STOP FREQ:        	110.000 MHz	110.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	100 Hz	100 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	"MK1 TR3:  58.600 MHz,Z:(51.616 ohm, 1.180 ohm)"	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.010000000	-4.608300E+01	  0.010000000	6.730000E+01	  0.010000000	5.018900E+01	  0.010000000	4.590000E-01
2	  0.010200000	-4.555600E+01	  0.010200000	6.982500E+01	  0.010200000	5.017900E+01	  0.010200000	4.960000E-01
3	  0.010400000	-4.502200E+01	  0.010400000	6.762200E+01	  0.010400000	5.021100E+01	  0.010400000	5.200000E-01
4	  0.010600000	-4.503000E+01	  0.010600000	6.696000E+01	  0.010600000	5.021700E+01	  0.010600000	5.170000E-01
5	  0.010800000	-4.472000E+01	  0.010800000	6.830600E+01	  0.010800000	5.021200E+01	  0.010800000	5.410000E-01
6	  0.011000001	-4.439500E+01	  0.011000001	6.966400E+01	  0.011000001	5.020600E+01	  0.011000001	5.670000E-01
7	  0.011200000	-4.444200E+01	  0.011200000	6.511400E+01	  0.011200000	5.024900E+01	  0.011200000	5.460000E-01
8	  0.011399999	-4.432100E+01	  0.011399999	6.671800E+01	  0.011399999	5.023700E+01	  0.011399999	5.610000E-01
9	  0.011600000	-4.392300E+01	  0.011600000	6.720000E+01	  0.011600000	5.024300E+01	  0.011600000	5.890000E-01
10	  0.011800000	-4.375100E+01	  0.011800000	6.731600E+01	  0.011800000	5.024700E+01	  0.011800000	6.020000E-01
11	  0.012000000	-4.381800E+01	  0.012000000	6.696900E+01	  0.012000000	5.024900E+01	  0.012000000	5.950000E-01
12	  0.012200000	-4.354300E+01	  0.012200000	6.789700E+01	  0.012200000	5.024700E+01	  0.012200000	6.190000E-01
13	  0.012400000	-4.338800E+01	  0.012400000	6.708200E+01	  0.012400000	5.026000E+01	  0.012400000	6.260000E-01
14	  0.012600001	-4.324100E+01	  0.012600001	6.759100E+01	  0.012600001	5.025900E+01	  0.012600001	6.390000E-01
15	  0.012800000	-4.351900E+01	  0.012800000	6.781600E+01	  0.012800000	5.024800E+01	  0.012800000	6.200000E-01
16	  0.012999999	-4.317300E+01	  0.012999999	6.837500E+01	  0.012999999	5.025200E+01	  0.012999999	6.480000E-01
17	  0.013200000	-4.323500E+01	  0.013200000	6.730700E+01	  0.013200000	5.026200E+01	  0.013200000	6.390000E-01
18	  0.013400001	-4.314900E+01	  0.013400001	6.843000E+01	  0.013400001	5.025200E+01	  0.013400001	6.500000E-01
19	  0.013600000	-4.316700E+01	  0.013600000	6.920800E+01	  0.013600000	5.024200E+01	  0.013600000	6.520000E-01
20	  0.013800000	-4.320300E+01	  0.013800000	6.828500E+01	  0.013800000	5.025200E+01	  0.013800000	6.450000E-01
