! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/254.ew.sma.r50.11.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	12/20/2017 12:36:53 PM	12/20/2017 12:32:09 PM
! INTERNAL TEMP:    	45.3 C	45.8 C
! # POINTS:         	501	501
! START FREQ:       	10.000 MHz	10.000 MHz
! STOP FREQ:        	110.000 MHz	110.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	100 Hz	100 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	N-Conn(F)	N-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.010000000	-9.533700E+01	  0.010000000	-1.487700E+01	  0.010000000	5.000100E+01	  0.010000000	0.000000E+00
2	  0.010200000	-9.578000E+01	  0.010200000	-1.828600E+01	  0.010200000	5.000100E+01	  0.010200000	0.000000E+00
3	  0.010400000	-9.468900E+01	  0.010400000	-1.955000E+01	  0.010400000	5.000100E+01	  0.010400000	0.000000E+00
4	  0.010600000	-9.461200E+01	  0.010600000	-1.928800E+01	  0.010600000	5.000100E+01	  0.010600000	0.000000E+00
5	  0.010800000	-9.463200E+01	  0.010800000	-1.674200E+01	  0.010800000	5.000100E+01	  0.010800000	0.000000E+00
6	  0.011000001	-9.402000E+01	  0.011000001	-2.156400E+01	  0.011000001	5.000100E+01	  0.011000001	0.000000E+00
7	  0.011200000	-9.388300E+01	  0.011200000	-1.916300E+01	  0.011200000	5.000100E+01	  0.011200000	0.000000E+00
8	  0.011399999	-9.331600E+01	  0.011399999	-2.044000E+01	  0.011399999	5.000200E+01	  0.011399999	0.000000E+00
9	  0.011600000	-9.325300E+01	  0.011600000	-2.137500E+01	  0.011600000	5.000200E+01	  0.011600000	0.000000E+00
10	  0.011800000	-9.314000E+01	  0.011800000	-2.113200E+01	  0.011800000	5.000200E+01	  0.011800000	0.000000E+00
11	  0.012000000	-9.297200E+01	  0.012000000	-2.122000E+01	  0.012000000	5.000200E+01	  0.012000000	0.000000E+00
12	  0.012200000	-9.288200E+01	  0.012200000	-2.308300E+01	  0.012200000	5.000200E+01	  0.012200000	0.000000E+00
13	  0.012400000	-9.247600E+01	  0.012400000	-2.309500E+01	  0.012400000	5.000200E+01	  0.012400000	0.000000E+00
14	  0.012600001	-9.226500E+01	  0.012600001	-2.139300E+01	  0.012600001	5.000200E+01	  0.012600001	0.000000E+00
15	  0.012800000	-9.211900E+01	  0.012800000	-2.099500E+01	  0.012800000	5.000200E+01	  0.012800000	0.000000E+00
16	  0.012999999	-9.178200E+01	  0.012999999	-2.359400E+01	  0.012999999	5.000200E+01	  0.012999999	-1.000000E-03
