! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/254.ns.sma.r200.31.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	12/20/2017 02:11:20 PM	12/20/2017 02:00:00 PM
! INTERNAL TEMP:    	47.3 C	47.0 C
! # POINTS:         	501	501
! START FREQ:       	10.000 MHz	10.000 MHz
! STOP FREQ:        	110.000 MHz	110.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	100 Hz	100 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	N-Conn(F)	N-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.010000000	-4.553000E+00	  0.010000000	-1.069000E+01	  0.010000000	1.736680E+02	  0.010000000	-5.873100E+01
2	  0.010200000	-4.537000E+00	  0.010200000	-1.085900E+01	  0.010200000	1.734970E+02	  0.010200000	-5.981400E+01
3	  0.010400000	-4.541000E+00	  0.010400000	-1.111800E+01	  0.010400000	1.724520E+02	  0.010400000	-6.079500E+01
4	  0.010600000	-4.541000E+00	  0.010600000	-1.128700E+01	  0.010600000	1.718360E+02	  0.010600000	-6.149300E+01
5	  0.010800000	-4.543000E+00	  0.010800000	-1.151900E+01	  0.010800000	1.709080E+02	  0.010800000	-6.236200E+01
6	  0.011000001	-4.542000E+00	  0.011000001	-1.173100E+01	  0.011000001	1.701450E+02	  0.011000001	-6.322800E+01
7	  0.011200000	-4.541000E+00	  0.011200000	-1.196900E+01	  0.011200000	1.692650E+02	  0.011200000	-6.417100E+01
8	  0.011399999	-4.543000E+00	  0.011399999	-1.222200E+01	  0.011399999	1.682520E+02	  0.011399999	-6.508400E+01
9	  0.011600000	-4.543000E+00	  0.011600000	-1.240500E+01	  0.011600000	1.675620E+02	  0.011600000	-6.577400E+01
10	  0.011800000	-4.540000E+00	  0.011800000	-1.262100E+01	  0.011800000	1.667880E+02	  0.011800000	-6.663600E+01
11	  0.012000000	-4.541000E+00	  0.012000000	-1.283700E+01	  0.012000000	1.659410E+02	  0.012000000	-6.740700E+01
12	  0.012200000	-4.544000E+00	  0.012200000	-1.307700E+01	  0.012200000	1.649230E+02	  0.012200000	-6.817300E+01
13	  0.012400000	-4.544000E+00	  0.012400000	-1.328900E+01	  0.012400000	1.640980E+02	  0.012400000	-6.891400E+01
14	  0.012600001	-4.541000E+00	  0.012600001	-1.352500E+01	  0.012600001	1.632080E+02	  0.012600001	-6.977400E+01
15	  0.012800000	-4.545000E+00	  0.012800000	-1.371400E+01	  0.012800000	1.623700E+02	  0.012800000	-7.030200E+01
