! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/255.ew.n.r20.1_1.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	12/17/2017 06:42:06 PM	12/17/2017 06:38:14 PM
! INTERNAL TEMP:    	43.8 C	43.8 C
! # POINTS:         	501	501
! START FREQ:       	10.000 MHz	10.000 MHz
! STOP FREQ:        	107.903 125 MHz	107.903 125 MHz
! SOURCE POWER:     	High	High
! IFBW:             	100 Hz	100 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	N-Conn(F)	N-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.010000000	-7.219000E+00	  0.010000000	1.670090E+02	  0.010000000	1.987400E+01	  0.010000000	4.802000E+00
2	  0.010195807	-7.207000E+00	  0.010195807	1.667960E+02	  0.010195807	1.985200E+01	  0.010195807	4.884000E+00
3	  0.010391613	-7.206000E+00	  0.010391613	1.665570E+02	  0.010391613	1.985900E+01	  0.010391613	4.973000E+00
4	  0.010587418	-7.209000E+00	  0.010587418	1.663060E+02	  0.010587418	1.987500E+01	  0.010587418	5.066000E+00
5	  0.010783225	-7.209000E+00	  0.010783225	1.660490E+02	  0.010783225	1.988400E+01	  0.010783225	5.161000E+00
6	  0.010979031	-7.213000E+00	  0.010979031	1.657710E+02	  0.010979031	1.990500E+01	  0.010979031	5.264000E+00
7	  0.011174837	-7.215000E+00	  0.011174837	1.655020E+02	  0.011174837	1.991800E+01	  0.011174837	5.363000E+00
8	  0.011370643	-7.213000E+00	  0.011370643	1.652670E+02	  0.011370643	1.992100E+01	  0.011370643	5.452000E+00
9	  0.011566450	-7.220000E+00	  0.011566450	1.650190E+02	  0.011566450	1.994800E+01	  0.011566450	5.542000E+00
10	  0.011762256	-7.219000E+00	  0.011762256	1.647860E+02	  0.011762256	1.995600E+01	  0.011762256	5.629000E+00
11	  0.011958062	-7.216000E+00	  0.011958062	1.645210E+02	  0.011958062	1.995900E+01	  0.011958062	5.728000E+00
12	  0.012153869	-7.219000E+00	  0.012153869	1.642580E+02	  0.012153869	1.997700E+01	  0.012153869	5.826000E+00
13	  0.012349674	-7.219000E+00	  0.012349674	1.639690E+02	  0.012349674	1.998900E+01	  0.012349674	5.933000E+00
14	  0.012545481	-7.221000E+00	  0.012545481	1.637100E+02	  0.012545481	2.000300E+01	  0.012545481	6.029000E+00
15	  0.012741288	-7.224000E+00	  0.012741288	1.634690E+02	  0.012741288	2.002100E+01	  0.012741288	6.119000E+00
16	  0.012937094	-7.227000E+00	  0.012937094	1.632520E+02	  0.012937094	2.003800E+01	  0.012937094	6.198000E+00
17	  0.013132900	-7.233000E+00	  0.013132900	1.629880E+02	  0.013132900	2.006500E+01	  0.013132900	6.295000E+00
18	  0.013328707	-7.229000E+00	  0.013328707	1.627260E+02	  0.013328707	2.006600E+01	  0.013328707	6.394000E+00
19	  0.013524513	-7.228000E+00	  0.013524513	1.624950E+02	  0.013524513	2.007500E+01	  0.013524513	6.481000E+00
20	  0.013720319	-7.227000E+00	  0.013720319	1.622760E+02	  0.013720319	2.008200E+01	  0.013720319	6.563000E+00
21	  0.013916126	-7.226000E+00	  0.013916126	1.619800E+02	  0.013916126	2.009200E+01	  0.013916126	6.674000E+00
22	  0.014111931	-7.230000E+00	  0.014111931	1.617680E+02	  0.014111931	2.011200E+01	  0.014111931	6.751000E+00
23	  0.014307737	-7.233000E+00	  0.014307737	1.615150E+02	  0.014307737	2.013300E+01	  0.014307737	6.845000E+00
24	  0.014503544	-7.233000E+00	  0.014503544	1.612660E+02	  0.014503544	2.014500E+01	  0.014503544	6.938000E+00
25	  0.014699350	-7.236000E+00	  0.014699350	1.609950E+02	  0.014699350	2.016500E+01	  0.014699350	7.039000E+00
26	  0.014895156	-7.237000E+00	  0.014895156	1.607620E+02	  0.014895156	2.018100E+01	  0.014895156	7.125000E+00
27	  0.015090963	-7.240000E+00	  0.015090963	1.605070E+02	  0.015090963	2.019900E+01	  0.015090963	7.220000E+00
28	  0.015286769	-7.241000E+00	  0.015286769	1.602530E+02	  0.015286769	2.021600E+01	  0.015286769	7.315000E+00
29	  0.015482575	-7.243000E+00	  0.015482575	1.599880E+02	  0.015482575	2.023300E+01	  0.015482575	7.413000E+00
30	  0.015678382	-7.247000E+00	  0.015678382	1.597390E+02	  0.015678382	2.025800E+01	  0.015678382	7.505000E+00
31	  0.015874187	-7.246000E+00	  0.015874187	1.594900E+02	  0.015874187	2.026700E+01	  0.015874187	7.599000E+00
32	  0.016069993	-7.248000E+00	  0.016069993	1.592500E+02	  0.016069993	2.028700E+01	  0.016069993	7.688000E+00
33	  0.016265800	-7.251000E+00	  0.016265800	1.590200E+02	  0.016265800	2.030600E+01	  0.016265800	7.773000E+00
34	  0.016461605	-7.252000E+00	  0.016461605	1.587620E+02	  0.016461605	2.032300E+01	  0.016461605	7.869000E+00
35	  0.016657412	-7.251000E+00	  0.016657412	1.585170E+02	  0.016657412	2.033500E+01	  0.016657412	7.962000E+00
36	  0.016853219	-7.247000E+00	  0.016853219	1.582670E+02	  0.016853219	2.033800E+01	  0.016853219	8.057000E+00
37	  0.017049024	-7.251000E+00	  0.017049024	1.579890E+02	  0.017049024	2.036400E+01	  0.017049024	8.160000E+00
38	  0.017244833	-7.252000E+00	  0.017244833	1.577540E+02	  0.017244833	2.038000E+01	  0.017244833	8.248000E+00
39	  0.017440638	-7.254000E+00	  0.017440638	1.574940E+02	  0.017440638	2.040100E+01	  0.017440638	8.344000E+00
40	  0.017636444	-7.252000E+00	  0.017636444	1.572310E+02	  0.017636444	2.041100E+01	  0.017636444	8.445000E+00
41	  0.017832249	-7.257000E+00	  0.017832249	1.569840E+02	  0.017832249	2.043800E+01	  0.017832249	8.535000E+00
42	  0.018028056	-7.256000E+00	  0.018028056	1.567320E+02	  0.018028056	2.045200E+01	  0.018028056	8.630000E+00
43	  0.018223861	-7.256000E+00	  0.018223861	1.564790E+02	  0.018223861	2.046700E+01	  0.018223861	8.726000E+00
44	  0.018419670	-7.260000E+00	  0.018419670	1.562360E+02	  0.018419670	2.049200E+01	  0.018419670	8.816000E+00
45	  0.018615475	-7.259000E+00	  0.018615475	1.559880E+02	  0.018615475	2.050500E+01	  0.018615475	8.909000E+00
46	  0.018811282	-7.264000E+00	  0.018811282	1.557330E+02	  0.018811282	2.053400E+01	  0.018811282	9.003000E+00
47	  0.019007087	-7.258000E+00	  0.019007087	1.554890E+02	  0.019007087	2.053600E+01	  0.019007087	9.098000E+00
48	  0.019202894	-7.262000E+00	  0.019202894	1.552360E+02	  0.019202894	2.056200E+01	  0.019202894	9.192000E+00
49	  0.019398699	-7.260000E+00	  0.019398699	1.550010E+02	  0.019398699	2.057300E+01	  0.019398699	9.281000E+00
50	  0.019594505	-7.263000E+00	  0.019594505	1.547720E+02	  0.019594505	2.059500E+01	  0.019594505	9.366000E+00
