! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/255.ew.n.r200.2.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	12/17/2017 06:57:28 PM	12/17/2017 06:38:14 PM
! INTERNAL TEMP:    	42.3 C	43.8 C
! # POINTS:         	501	501
! START FREQ:       	10.000 MHz	10.000 MHz
! STOP FREQ:        	107.903 125 MHz	107.903 125 MHz
! SOURCE POWER:     	High	High
! IFBW:             	100 Hz	100 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	N-Conn(F)	N-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.010000000	-4.517000E+00	  0.010000000	-1.220400E+01	  0.010000000	1.689790E+02	  0.010000000	-6.568100E+01
2	  0.010195807	-4.505000E+00	  0.010195807	-1.235300E+01	  0.010195807	1.687040E+02	  0.010195807	-6.656200E+01
3	  0.010391613	-4.502000E+00	  0.010391613	-1.254500E+01	  0.010391613	1.680220E+02	  0.010391613	-6.735800E+01
4	  0.010587418	-4.509000E+00	  0.010587418	-1.276900E+01	  0.010587418	1.669610E+02	  0.010587418	-6.798400E+01
5	  0.010783225	-4.512000E+00	  0.010783225	-1.298900E+01	  0.010783225	1.660020E+02	  0.010783225	-6.868300E+01
6	  0.010979031	-4.508000E+00	  0.010979031	-1.320600E+01	  0.010979031	1.652380E+02	  0.010979031	-6.955900E+01
7	  0.011174837	-4.513000E+00	  0.011174837	-1.341600E+01	  0.011174837	1.642890E+02	  0.011174837	-7.016200E+01
8	  0.011370643	-4.513000E+00	  0.011370643	-1.365500E+01	  0.011370643	1.633230E+02	  0.011370643	-7.097200E+01
9	  0.011566450	-4.522000E+00	  0.011566450	-1.384500E+01	  0.011566450	1.623630E+02	  0.011566450	-7.136400E+01
10	  0.011762256	-4.520000E+00	  0.011762256	-1.406700E+01	  0.011762256	1.614900E+02	  0.011762256	-7.211700E+01
11	  0.011958062	-4.522000E+00	  0.011958062	-1.433200E+01	  0.011958062	1.603790E+02	  0.011958062	-7.291200E+01
12	  0.012153869	-4.526000E+00	  0.012153869	-1.455500E+01	  0.012153869	1.593770E+02	  0.012153869	-7.348800E+01
13	  0.012349674	-4.532000E+00	  0.012349674	-1.480100E+01	  0.012349674	1.582670E+02	  0.012349674	-7.408200E+01
14	  0.012545481	-4.534000E+00	  0.012545481	-1.506700E+01	  0.012545481	1.571330E+02	  0.012545481	-7.480400E+01
15	  0.012741288	-4.535000E+00	  0.012741288	-1.531100E+01	  0.012741288	1.561120E+02	  0.012741288	-7.547700E+01
16	  0.012937094	-4.542000E+00	  0.012937094	-1.555900E+01	  0.012937094	1.549650E+02	  0.012937094	-7.597700E+01
