! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/255.ew.sma.me.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	12/19/2017 06:16:20 PM	12/19/2017 06:04:41 PM
! INTERNAL TEMP:    	41.0 C	39.8 C
! # POINTS:         	501	501
! START FREQ:       	10.000 MHz	10.000 MHz
! STOP FREQ:        	110.000 MHz	110.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	100 Hz	100 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	N-Conn(F)	N-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.010000000	-7.110000E-01	  0.010000000	-5.851000E+01	  0.010000000	8.520000E+00	  0.010000000	-8.864000E+01
2	  0.010200000	-7.020000E-01	  0.010200000	-5.969300E+01	  0.010200000	8.118000E+00	  0.010200000	-8.656700E+01
3	  0.010400000	-7.160000E-01	  0.010400000	-6.094600E+01	  0.010400000	7.972000E+00	  0.010400000	-8.441600E+01
4	  0.010600000	-7.190000E-01	  0.010600000	-6.220600E+01	  0.010600000	7.719000E+00	  0.010600000	-8.234400E+01
5	  0.010800000	-7.240000E-01	  0.010800000	-6.348900E+01	  0.010800000	7.495000E+00	  0.010800000	-8.031000E+01
6	  0.011000001	-7.340000E-01	  0.011000001	-6.473500E+01	  0.011000001	7.340000E+00	  0.011000001	-7.839600E+01
7	  0.011200000	-7.380000E-01	  0.011200000	-6.597700E+01	  0.011200000	7.133000E+00	  0.011200000	-7.655900E+01
8	  0.011399999	-7.410000E-01	  0.011399999	-6.721300E+01	  0.011399999	6.932000E+00	  0.011399999	-7.479200E+01
9	  0.011600000	-7.460000E-01	  0.011600000	-6.843900E+01	  0.011600000	6.767000E+00	  0.011600000	-7.309100E+01
10	  0.011800000	-7.590000E-01	  0.011800000	-6.969700E+01	  0.011800000	6.663000E+00	  0.011800000	-7.139100E+01
11	  0.012000000	-7.680000E-01	  0.012000000	-7.093000E+01	  0.012000000	6.545000E+00	  0.012000000	-6.978100E+01
12	  0.012200000	-7.710000E-01	  0.012200000	-7.220300E+01	  0.012200000	6.366000E+00	  0.012200000	-6.817400E+01
13	  0.012400000	-7.780000E-01	  0.012400000	-7.347300E+01	  0.012400000	6.234000E+00	  0.012400000	-6.661700E+01
14	  0.012600001	-7.830000E-01	  0.012600001	-7.472500E+01	  0.012600001	6.098000E+00	  0.012600001	-6.512500E+01
15	  0.012800000	-7.910000E-01	  0.012800000	-7.599100E+01	  0.012800000	5.984000E+00	  0.012800000	-6.365800E+01
