! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/256.ns.n.r20.21.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	12/19/2017 04:13:15 PM	12/19/2017 03:58:02 PM
! INTERNAL TEMP:    	46.5 C	47.0 C
! # POINTS:         	501	501
! START FREQ:       	10.000 MHz	10.000 MHz
! STOP FREQ:        	110.000 MHz	110.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	100 Hz	100 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	N-Conn(F)	N-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.010000000	-7.222000E+00	  0.010000000	1.669440E+02	  0.010000000	1.988400E+01	  0.010000000	4.826000E+00
2	  0.010200000	-7.213000E+00	  0.010200000	1.667480E+02	  0.010200000	1.986900E+01	  0.010200000	4.901000E+00
3	  0.010400000	-7.213000E+00	  0.010400000	1.664560E+02	  0.010400000	1.988000E+01	  0.010400000	5.009000E+00
4	  0.010600000	-7.214000E+00	  0.010600000	1.662340E+02	  0.010600000	1.988900E+01	  0.010600000	5.092000E+00
5	  0.010800000	-7.219000E+00	  0.010800000	1.659770E+02	  0.010800000	1.991100E+01	  0.010800000	5.186000E+00
6	  0.011000001	-7.220000E+00	  0.011000001	1.657040E+02	  0.011000001	1.992400E+01	  0.011000001	5.287000E+00
7	  0.011200000	-7.224000E+00	  0.011200000	1.654360E+02	  0.011200000	1.994300E+01	  0.011200000	5.386000E+00
8	  0.011399999	-7.219000E+00	  0.011399999	1.651740E+02	  0.011399999	1.994000E+01	  0.011399999	5.485000E+00
9	  0.011600000	-7.221000E+00	  0.011600000	1.649180E+02	  0.011600000	1.995400E+01	  0.011600000	5.580000E+00
10	  0.011800000	-7.220000E+00	  0.011800000	1.646930E+02	  0.011800000	1.996200E+01	  0.011800000	5.664000E+00
11	  0.012000000	-7.226000E+00	  0.012000000	1.643890E+02	  0.012000000	1.999000E+01	  0.012000000	5.775000E+00
12	  0.012200000	-7.226000E+00	  0.012200000	1.641440E+02	  0.012200000	1.999800E+01	  0.012200000	5.866000E+00
13	  0.012400000	-7.230000E+00	  0.012400000	1.638640E+02	  0.012400000	2.001900E+01	  0.012400000	5.969000E+00
14	  0.012600001	-7.226000E+00	  0.012600001	1.636060E+02	  0.012600001	2.002200E+01	  0.012600001	6.067000E+00
15	  0.012800000	-7.230000E+00	  0.012800000	1.633670E+02	  0.012800000	2.004200E+01	  0.012800000	6.155000E+00
16	  0.012999999	-7.231000E+00	  0.012999999	1.631000E+02	  0.012999999	2.005400E+01	  0.012999999	6.254000E+00
