! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/256.ns.sma.me.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	12/19/2017 03:46:14 PM	12/19/2017 03:30:41 PM
! INTERNAL TEMP:    	47.5 C	48.0 C
! # POINTS:         	501	501
! START FREQ:       	10.000 MHz	10.000 MHz
! STOP FREQ:        	110.000 MHz	110.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	100 Hz	100 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	N-Conn(F)	N-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.010000000	-5.357300E+01	  0.010000000	1.619150E+02	  0.010000000	4.980100E+01	  0.010000000	6.400000E-02
2	  0.010200000	-5.378400E+01	  0.010200000	1.592630E+02	  0.010200000	4.980900E+01	  0.010200000	7.200000E-02
3	  0.010400000	-5.427300E+01	  0.010400000	1.629670E+02	  0.010400000	4.981500E+01	  0.010400000	5.600000E-02
4	  0.010600000	-5.380500E+01	  0.010600000	1.619460E+02	  0.010600000	4.980600E+01	  0.010600000	6.200000E-02
5	  0.010800000	-5.362800E+01	  0.010800000	1.596630E+02	  0.010800000	4.980500E+01	  0.010800000	7.200000E-02
6	  0.011000001	-5.408100E+01	  0.011000001	1.590110E+02	  0.011000001	4.981500E+01	  0.011000001	7.000000E-02
7	  0.011200000	-5.360700E+01	  0.011200000	1.602630E+02	  0.011200000	4.980300E+01	  0.011200000	7.000000E-02
8	  0.011399999	-5.374200E+01	  0.011399999	1.581620E+02	  0.011399999	4.980900E+01	  0.011399999	7.600000E-02
9	  0.011600000	-5.408500E+01	  0.011600000	1.521860E+02	  0.011600000	4.982500E+01	  0.011600000	9.100000E-02
10	  0.011800000	-5.403000E+01	  0.011800000	1.564550E+02	  0.011800000	4.981700E+01	  0.011800000	7.900000E-02
11	  0.012000000	-5.423400E+01	  0.012000000	1.514200E+02	  0.012000000	4.982900E+01	  0.012000000	9.200000E-02
12	  0.012200000	-5.379900E+01	  0.012200000	1.517820E+02	  0.012200000	4.982000E+01	  0.012200000	9.600000E-02
13	  0.012400000	-5.392700E+01	  0.012400000	1.502770E+02	  0.012400000	4.982500E+01	  0.012400000	9.900000E-02
14	  0.012600001	-5.413500E+01	  0.012600001	1.484830E+02	  0.012600001	4.983200E+01	  0.012600001	1.020000E-01
15	  0.012800000	-5.391100E+01	  0.012800000	1.492360E+02	  0.012800000	4.982600E+01	  0.012800000	1.020000E-01
16	  0.012999999	-5.367300E+01	  0.012999999	1.478310E+02	  0.012999999	4.982400E+01	  0.012999999	1.090000E-01
17	  0.013200000	-5.392300E+01	  0.013200000	1.452770E+02	  0.013200000	4.983400E+01	  0.013200000	1.140000E-01
18	  0.013400001	-5.402100E+01	  0.013400001	1.446000E+02	  0.013400001	4.983700E+01	  0.013400001	1.140000E-01
19	  0.013600000	-5.402800E+01	  0.013600000	1.442730E+02	  0.013600000	4.983800E+01	  0.013600000	1.150000E-01
20	  0.013800000	-5.407800E+01	  0.013800000	1.451980E+02	  0.013800000	4.983700E+01	  0.013800000	1.120000E-01
