! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/18may12.lna.rl/255a.lna.rl.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/12/2018 06:05:52 PM	05/12/2018 05:58:24 PM
! INTERNAL TEMP:    	48.0 C	48.5 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	Low	Low
! IFBW:             	10 Hz	10 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  12.184 368 MHz,##.##"	--	--
!MK2	--	--	"MK2 TR3:  12.184 368 MHz,##.##"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-2.031300E+01	  0.020000000	2.592900E+01	  0.020000000	5.926500E+01	  0.020000000	5.046000E+00
2	  0.020200402	-2.036600E+01	  0.020200402	2.335500E+01	  0.020200402	5.946000E+01	  0.020200402	4.561000E+00
3	  0.020400802	-2.025600E+01	  0.020400802	2.127200E+01	  0.020400802	5.978200E+01	  0.020400802	4.251000E+00
4	  0.020601204	-2.029100E+01	  0.020601204	1.817400E+01	  0.020601204	5.999500E+01	  0.020601204	3.653000E+00
5	  0.020801604	-2.018100E+01	  0.020801604	1.588200E+01	  0.020801604	6.030100E+01	  0.020801604	3.263000E+00
6	  0.021002004	-2.019700E+01	  0.021002004	1.346900E+01	  0.021002004	6.043500E+01	  0.021002004	2.778000E+00
7	  0.021202406	-2.014700E+01	  0.021202406	1.100200E+01	  0.021202406	6.063400E+01	  0.021202406	2.297000E+00
8	  0.021402806	-2.009400E+01	  0.021402806	9.076000E+00	  0.021402806	6.079200E+01	  0.021402806	1.916000E+00
9	  0.021603208	-2.004600E+01	  0.021603208	6.469000E+00	  0.021603208	6.095000E+01	  0.021603208	1.379000E+00
10	  0.021803608	-1.989300E+01	  0.021803608	3.190000E+00	  0.021803608	6.124000E+01	  0.021803608	6.970000E-01
11	  0.022004008	-1.991200E+01	  0.022004008	3.170000E-01	  0.022004008	6.123500E+01	  0.022004008	6.900000E-02
12	  0.022204408	-1.981100E+01	  0.022204408	-2.598000E+00	  0.022204408	6.136600E+01	  0.022204408	-5.740000E-01
13	  0.022404809	-1.979600E+01	  0.022404809	-4.953000E+00	  0.022404809	6.134500E+01	  0.022404809	-1.095000E+00
14	  0.022605211	-1.976800E+01	  0.022605211	-7.706000E+00	  0.022605211	6.130400E+01	  0.022605211	-1.706000E+00
15	  0.022805611	-1.975200E+01	  0.022805611	-1.082800E+01	  0.022805611	6.119100E+01	  0.022805611	-2.391000E+00
16	  0.023006011	-1.963100E+01	  0.023006011	-1.314000E+01	  0.023006011	6.123100E+01	  0.023006011	-2.936000E+00
17	  0.023206413	-1.963400E+01	  0.023206413	-1.681000E+01	  0.023206413	6.096600E+01	  0.023206413	-3.718000E+00
18	  0.023406813	-1.962000E+01	  0.023406813	-2.038500E+01	  0.023406813	6.067500E+01	  0.023406813	-4.464000E+00
19	  0.023607215	-1.945600E+01	  0.023607215	-2.290400E+01	  0.023607215	6.063800E+01	  0.023607215	-5.082000E+00
20	  0.023807615	-1.951900E+01	  0.023807615	-2.649000E+01	  0.023807615	6.014800E+01	  0.023807615	-5.734000E+00
21	  0.024008015	-1.952900E+01	  0.024008015	-3.009900E+01	  0.024008015	5.967800E+01	  0.024008015	-6.389000E+00
22	  0.024208417	-1.945000E+01	  0.024208417	-3.332500E+01	  0.024208417	5.931900E+01	  0.024208417	-7.023000E+00
23	  0.024408817	-1.946800E+01	  0.024408817	-3.704300E+01	  0.024408817	5.873900E+01	  0.024408817	-7.609000E+00
24	  0.024609219	-1.942400E+01	  0.024609219	-4.150300E+01	  0.024609219	5.805800E+01	  0.024609219	-8.316000E+00
