F/MHz,dB (252b),deg (252b)
20,-20.40903937,41.11711802
20.200401,-20.41167166,39.46408307
20.400802,-20.35912145,37.06005902
20.601202,-20.2966754,34.70422151
20.801603,-20.1990485,32.42959165
21.002004,-20.06552641,30.20235934
21.202405,-20.01228987,27.37294185
21.402806,-19.90689124,25.85447534
21.603206,-19.81361873,22.33073617
21.803607,-19.6884881,19.93017563
22.004008,-19.67254278,17.95910052
22.204409,-19.68123327,14.88948472
22.40481,-19.45836321,12.41873455
22.60521,-19.4217994,9.238748704
22.805611,-19.27205361,6.31666292
23.006012,-19.16099636,4.103788032
23.206413,-19.17714525,1.38249117
23.406814,-19.13221377,-2.259827521
23.607214,-18.95656834,-4.57996091
23.807615,-18.94181552,-7.87369047
24.008016,-18.78326501,-10.63921824
24.208417,-18.74736332,-13.82741585
24.408818,-18.67721088,-17.99221984
24.609218,-18.62503202,-21.03097909
24.809619,-18.48973976,-24.93889838
25.01002,-18.41824722,-28.94124521
25.210421,-18.39384555,-32.65276271
25.410822,-18.43709041,-36.74502687
25.611222,-18.43088536,-40.78973992
25.811623,-18.39842434,-45.34246049
26.012024,-18.44728095,-50.55763129
26.212425,-18.60205946,-55.20711616
26.412826,-18.68835207,-60.86028247
26.613226,-18.84684127,-65.55937765
26.813627,-19.07502279,-71.65227918
27.014028,-19.29881388,-77.10902823
27.214429,-19.61220008,-83.09682612
27.41483,-20.10367821,-89.96710256
27.61523,-20.4980183,-95.33617912
27.815631,-21.16565283,-102.3683911
28.016032,-21.95937788,-106.5080507
28.216433,-22.67631756,-113.6136123
28.416834,-23.5113549,-118.2811158
28.617234,-24.51399116,-123.2798784
28.817635,-25.47535712,-127.775663
29.018036,-26.86687226,-131.7869768
29.218437,-27.88964999,-133.6596356
29.418838,-29.04410505,-136.2663599
29.619238,-30.64230472,-138.4919954
29.819639,-31.86664327,-140.1654206
30.02004,-33.38754002,-140.4420975
30.220441,-34.71827494,-137.2344196
30.420842,-36.27653022,-133.2773362
30.621242,-37.38344288,-125.7342512
30.821643,-38.66195155,-124.1491658
31.022044,-38.79136138,-116.7365664
31.222445,-40.5074279,-112.4477666
31.422846,-40.19111234,-102.5364618
31.623246,-41.20993304,-94.06409401
31.823647,-39.88219494,-92.81554425
32.024048,-41.78022717,-87.04408499
32.224449,-39.70023454,-82.70852967
32.42485,-41.15036307,-84.93104062
32.625251,-41.27645764,-83.12988372
32.825651,-39.44823921,-82.38781252
33.026052,-39.93268054,-78.51652443
33.226453,-40.21088541,-70.08546635
33.426854,-39.95603339,-78.3031194
33.627255,-39.68826808,-75.98998422
33.827655,-40.04091783,-75.96470541
34.028056,-40.01518929,-80.90254993
34.228457,-41.34871071,-77.15006329
34.428858,-41.48587438,-65.77151383
34.629259,-40.88414006,-71.8936675
34.829659,-40.4163342,-70.67906155
35.03006,-42.32757484,-61.26292725
35.230461,-42.66788331,-62.86709793
35.430862,-41.89438285,-59.86839488
35.631263,-41.0435181,-52.00922283
35.831663,-42.13473817,-65.32326792
36.032064,-43.85157986,-43.70162519
36.232465,-43.04140216,-51.4681629
36.432866,-42.19240968,-51.38126373
36.633267,-42.97081703,-50.87001039
36.833667,-43.12849743,-36.42707813
37.034068,-42.4249453,-34.19490063
37.234469,-43.76363673,-32.90951095
37.43487,-41.74707741,-30.97428091
37.635271,-40.93801851,-36.26129208
37.835671,-41.88340847,-37.96596285
38.036072,-40.57409604,-31.07271827
38.236473,-41.24241906,-27.30768551
38.436874,-40.42566835,-31.2551574
38.637275,-41.61390332,-27.79183826
38.837675,-40.07051545,-28.89977337
39.038076,-39.20115514,-23.77547801
39.238477,-39.94557112,-25.92506909
39.438878,-39.32677201,-22.76465928
39.639279,-38.82140554,-28.29349849
39.839679,-38.9362339,-30.22325637
40.04008,-39.44710869,-29.27777573
40.240481,-38.98324954,-27.9934206
40.440882,-39.81060278,-33.72704815
40.641283,-38.56204329,-31.80379425
40.841683,-38.7812128,-32.61668134
41.042084,-38.32362209,-33.08785632
41.242485,-37.99272728,-29.06703747
41.442886,-37.03612428,-29.20454067
41.643287,-37.9216903,-35.52346335
41.843687,-38.00335545,-32.58115544
42.044088,-37.77483923,-32.28750526
42.244489,-37.52703281,-36.77247028
42.44489,-36.93864846,-32.56999768
42.645291,-37.45120263,-36.05715045
42.845691,-38.43131233,-41.75235194
43.046092,-36.85612282,-37.29336906
43.246493,-36.69647514,-37.39567092
43.446894,-37.13524734,-38.56046832
43.647295,-37.64406925,-43.39995767
43.847695,-38.28955157,-45.56707662
44.048096,-38.77482046,-49.48720833
44.248497,-37.3202169,-40.50945495
44.448898,-38.11327217,-44.88007478
44.649299,-37.5707485,-46.62980522
44.849699,-37.42763637,-47.23016603
45.0501,-37.64797162,-46.90144923
45.250501,-37.68620288,-43.72040416
45.450902,-37.03484463,-42.95364975
45.651303,-37.26115416,-44.80557625
45.851703,-37.70792442,-50.88148864
46.052104,-37.94111127,-48.12948452
46.252505,-38.28931702,-48.88582609
46.452906,-38.17402256,-50.97166028
46.653307,-37.50297759,-52.56773434
46.853707,-38.93948732,-50.99910974
47.054108,-38.76661196,-50.98990629
47.254509,-39.4935963,-55.37692328
47.45491,-38.75514113,-46.40499044
47.655311,-39.03699841,-62.63201212
47.855711,-39.16902866,-53.03653416
48.056112,-39.76959408,-59.87351356
48.256513,-39.70730319,-59.48381877
48.456914,-40.14338396,-62.65611986
48.657315,-41.01789543,-61.83502925
48.857715,-40.31105026,-69.10893936
49.058116,-40.9923254,-59.73584649
49.258517,-41.26912414,-61.84726606
49.458918,-41.87388637,-60.96236065
49.659319,-40.95393168,-67.22097837
49.859719,-40.8528871,-63.50565678
50.06012,-43.27594977,-66.93607814
50.260521,-42.34682596,-64.41499037
50.460922,-41.38175196,-58.35614303
50.661323,-43.69059595,-66.83409808
50.861723,-45.13247973,-52.40007719
51.062124,-44.16188182,-62.8587578
51.262525,-45.34892884,-62.1347822
51.462926,-45.11946004,-56.04837815
51.663327,-43.987249,-55.03014905
51.863727,-45.44990708,-45.5843009
52.064128,-44.94108636,-61.62372338
52.264529,-46.35594136,-42.90067653
52.46493,-46.70121226,-63.32653572
52.665331,-47.4301598,-44.79927437
52.865731,-46.89217823,-37.27480433
53.066132,-46.66256278,-36.90750139
53.266533,-45.71525952,-15.29724596
53.466934,-48.76654976,-15.58978835
53.667335,-45.13443754,-37.53271258
53.867735,-44.77581825,-14.19983612
54.068136,-45.54014357,-13.99843229
54.268537,-43.0243795,-17.18563095
54.468938,-43.03329382,-4.869697599
54.669339,-45.89656699,-23.41201086
54.869739,-44.00022991,-6.58780395
55.07014,-43.68019345,-10.87870273
55.270541,-42.78147243,-9.955212897
55.470942,-44.19562981,2.59482838
55.671343,-41.86529047,8.627329863
55.871743,-41.57265552,2.04027057
56.072144,-42.2777131,1.52457869
56.272545,-41.75718212,5.279298952
56.472946,-42.26049716,2.320034042
56.673347,-40.32278161,-0.186316603
56.873747,-40.57223483,0.654980132
57.074148,-40.19590857,-2.125281749
57.274549,-40.52570387,7.38959545
57.47495,-39.98472963,-0.952111497
57.675351,-40.50871846,4.610967915
57.875752,-39.15452941,-1.789683635
58.076152,-39.15412151,-0.543598775
58.276553,-39.0335273,0.67705845
58.476954,-39.10684398,-1.426968797
58.677355,-38.72177951,0.278757184
58.877756,-38.8898666,0.952418256
59.078156,-38.44233285,1.437327599
59.278557,-38.72359333,-1.874087728
59.478958,-37.61490822,-4.065953084
59.679359,-37.66387973,-1.598007092
59.87976,-38.11084757,-3.464036585
60.08016,-37.11322582,-4.066273127
60.280561,-36.67933254,-6.940087809
60.480962,-36.68738397,-4.851369691
60.681363,-36.58463422,-7.538207804
60.881764,-36.00429875,-12.88406059
61.082164,-36.46024235,-12.13692177
61.282565,-36.76128008,-9.245087717
61.482966,-35.97772002,-8.699625196
61.683367,-35.5684182,-7.897711605
61.883768,-35.99292595,-11.90786514
62.084168,-35.53950732,-13.34219155
62.284569,-35.81941224,-13.89203463
62.48497,-34.72655516,-14.50763906
62.685371,-35.86979933,-22.74394459
62.885772,-34.80330974,-17.8510726
63.086172,-34.38635973,-21.21809181
63.286573,-34.1338747,-23.19773553
63.486974,-34.45636357,-23.8352536
63.687375,-35.50255183,-24.70692481
63.887776,-34.74166054,-26.50004619
64.088176,-34.46821806,-21.9519752
64.288577,-34.2226699,-25.69844877
64.488978,-33.98361746,-24.48779608
64.689379,-34.37520316,-27.49397016
64.88978,-33.56689617,-31.4394274
65.09018,-34.15292104,-31.73270696
65.290581,-33.74843149,-32.46944135
65.490982,-34.64741202,-34.93144203
65.691383,-33.92530823,-34.7142454
65.891784,-33.88870623,-36.6504024
66.092184,-33.34625375,-35.0318549
66.292585,-33.72421073,-39.89941349
66.492986,-33.65947033,-38.69616689
66.693387,-33.84084054,-37.67221229
66.893788,-33.65321816,-38.5208591
67.094188,-33.47518936,-41.78667243
67.294589,-33.64298221,-42.16716477
67.49499,-33.50988574,-47.48610155
67.695391,-33.28703156,-42.75833589
67.895792,-33.18978466,-43.32604914
68.096192,-34.10239479,-46.66691342
68.296593,-33.51605635,-45.26639489
68.496994,-33.60850846,-47.67878485
68.697395,-33.57916494,-49.07306395
68.897796,-33.23073447,-49.81522263
69.098196,-34.10022651,-52.94795874
69.298597,-33.60105742,-55.37400768
69.498998,-33.32782591,-54.77454207
69.699399,-33.50112141,-52.36348621
69.8998,-33.45837204,-55.87774523
70.1002,-33.0790821,-57.11700032
70.300601,-33.96855779,-54.92605938
70.501002,-33.52333732,-57.66792292
70.701403,-33.23284029,-59.13746054
70.901804,-32.52305091,-60.69586737
71.102204,-33.76388682,-60.94951573
71.302605,-33.81391106,-62.7076226
71.503006,-33.49742719,-65.38555616
71.703407,-33.44645653,-66.11554643
71.903808,-33.38366972,-63.94632646
72.104208,-33.43468272,-63.14860134
72.304609,-32.95335125,-68.06966532
72.50501,-33.28260937,-67.92375514
72.705411,-33.42148368,-64.50789073
72.905812,-33.03043034,-67.60626658
73.106212,-33.19473327,-66.813978
73.306613,-33.10892931,-69.21788303
73.507014,-33.4169592,-71.65867058
73.707415,-33.29587759,-68.96597325
73.907816,-33.82611951,-70.65193745
74.108216,-33.6612977,-72.39852291
74.308617,-33.10095262,-69.04007218
74.509018,-33.08863755,-73.42945138
74.709419,-33.41102608,-75.47350701
74.90982,-33.86050569,-71.0442031
75.11022,-32.864963,-74.10554885
75.310621,-33.4975911,-73.19213176
75.511022,-33.45611631,-78.44188092
75.711423,-32.42250333,-76.07759916
75.911824,-32.63195711,-72.72664812
76.112224,-32.82040916,-72.80044736
76.312625,-33.02356778,-75.23894129
76.513026,-33.1195506,-76.25095966
76.713427,-32.66577269,-75.36052684
76.913828,-32.46911312,-77.34924209
77.114228,-32.16621871,-81.96557504
77.314629,-31.7507379,-75.05382522
77.51503,-31.57920959,-76.38111767
77.715431,-31.70967231,-82.83780156
77.915832,-31.26785063,-83.37928951
78.116232,-31.36277771,-83.60310231
78.316633,-31.12438663,-83.88989387
78.517034,-30.88172733,-85.22079545
78.717435,-31.00823814,-88.49563861
78.917836,-30.79743868,-87.49252317
79.118236,-30.56695095,-89.42487805
79.318637,-30.10383756,-89.34162174
79.519038,-29.99039553,-90.17471491
79.719439,-30.01778008,-89.91076168
79.91984,-29.16249657,-92.16456438
80.12024,-29.18974723,-92.56882009
80.320641,-28.64000916,-94.58458356
80.521042,-28.96774982,-97.28821785
80.721443,-28.63814255,-99.30104347
80.921844,-28.23727517,-100.7760551
81.122244,-28.08304564,-102.3600629
81.322645,-27.68566399,-105.4236974
81.523046,-27.84870237,-107.0919499
81.723447,-27.42876739,-111.1284785
81.923848,-27.32593102,-110.7369307
82.124248,-26.87895512,-114.3478581
82.324649,-27.20054401,-114.4269862
82.52505,-26.71253011,-116.4778172
82.725451,-26.34964862,-119.3139929
82.925852,-26.07146928,-121.6905126
83.126253,-25.93572154,-124.8898084
83.326653,-25.9766194,-125.9099424
83.527054,-25.83194297,-128.1293955
83.727455,-25.46687298,-131.63993
83.927856,-25.51239474,-133.4845654
84.128257,-25.13613935,-135.4084101
84.328657,-25.11787936,-137.6244073
84.529058,-25.00545135,-139.5740569
84.729459,-24.7746817,-143.2021164
84.92986,-24.65774766,-145.4219987
85.130261,-24.56734412,-147.9459324
85.330661,-24.36176711,-149.8965743
85.531062,-24.40822779,-152.397046
85.731463,-23.88895286,-154.3632632
85.931864,-24.0755633,-157.4750499
86.132265,-24.09286582,-159.9145411
86.332665,-23.91931776,-162.5467224
86.533066,-23.7866541,-164.8697278
86.733467,-23.59676287,-165.738836
86.933868,-23.4485261,-169.807388
87.134269,-23.72385501,-170.6545233
87.334669,-23.42859858,-172.7843114
87.53507,-23.4478975,-175.0453741
87.735471,-23.34772493,-177.7162564
87.935872,-23.26725722,-179.0183417
88.136273,-23.05613542,179.0643173
88.336673,-23.03726313,177.2610165
88.537074,-22.83650099,174.3980698
88.737475,-22.59015233,173.4161066
88.937876,-22.56030426,171.4297526
89.138277,-22.36090748,169.8430908
89.338677,-22.12875027,168.2172485
89.539078,-22.12000256,165.0560975
89.739479,-21.86486279,163.8065055
89.93988,-21.78974109,161.1744271
90.140281,-21.70485172,159.9152379
90.340681,-21.279875,156.9912134
90.541082,-21.3188702,154.5570132
90.741483,-21.18760123,151.0315153
90.941884,-20.92811688,148.6431475
91.142285,-21.05803989,146.2414941
91.342685,-20.88115539,143.8359372
91.543086,-20.881528,141.5705495
91.743487,-20.78831644,139.3700744
91.943888,-20.649572,136.5823286
92.144289,-20.63102552,134.8770001
92.344689,-20.65989443,131.7128894
92.54509,-20.53470544,130.596029
92.745491,-20.5253602,127.7049579
92.945892,-20.54392317,125.6280061
93.146293,-20.54918793,123.2891611
93.346693,-20.5318035,122.0115449
93.547094,-20.48959593,120.1942657
93.747495,-20.57103195,117.6864369
93.947896,-20.51422024,116.2580861
94.148297,-20.37571272,113.8608351
94.348697,-20.50081681,113.0398646
94.549098,-20.40390041,110.8942938
94.749499,-20.3899763,109.0231732
94.9499,-20.41137924,108.0507115
95.150301,-20.3615574,105.7506154
95.350701,-20.38651753,104.0776764
95.551102,-20.32919648,102.086733
95.751503,-20.23499518,101.1274501
95.951904,-20.33509869,99.13498767
96.152305,-20.38001315,98.23985647
96.352705,-20.31525965,97.10652494
96.553106,-20.31578831,94.15407442
96.753507,-20.28127494,92.94700924
96.953908,-20.17044471,91.06780015
97.154309,-20.20121368,89.56331401
97.354709,-20.18015317,88.53544108
97.55511,-20.22072832,87.53790506
97.755511,-20.22877727,86.03023436
97.955912,-20.2964226,83.72733155
98.156313,-20.27366412,83.57079232
98.356713,-20.15809805,81.22816108
98.557114,-20.05563558,80.27585848
98.757515,-20.16252795,79.29813405
98.957916,-19.9738356,77.52960033
99.158317,-20.09807807,76.70471975
99.358717,-20.06289166,75.8447155
99.559118,-19.99801313,73.90834565
99.759519,-20.04420031,73.49641132
99.95992,-20.07469058,72.18365938
100.160321,-19.87372927,70.37743262
100.360721,-20.1761769,68.85219178
100.561122,-20.04117612,68.50088573
100.761523,-20.05222229,67.31086132
100.961924,-19.96118093,65.72362462
101.162325,-20.08954228,64.68040367
101.362725,-19.91991163,62.78096011
101.563126,-19.86742334,62.05783178
101.763527,-19.96058838,60.51039969
101.963928,-19.71181726,59.57250516
102.164329,-19.74667614,58.94869314
102.364729,-19.8570451,56.98479217
102.56513,-19.84112052,57.36091698
102.765531,-19.64806165,56.94069956
102.965932,-19.82725041,54.76945406
103.166333,-19.79635469,53.38837722
103.366733,-19.76381316,53.25243979
103.567134,-19.8521107,51.85000733
103.767535,-19.76100194,51.52867115
103.967936,-19.92725423,51.16746133
104.168337,-20.01985824,48.80817713
104.368737,-19.79817055,48.76446159
104.569138,-19.85064552,46.86941813
104.769539,-19.6315292,46.0361677
104.96994,-19.68653957,45.36890571
105.170341,-19.76374231,44.73684831
105.370741,-19.56629862,43.35374535
105.571142,-19.77438714,42.87736655
105.771543,-19.62811221,41.40568151
105.971944,-19.59722312,41.5268272
106.172345,-19.6389535,39.95054904
106.372745,-19.61497319,39.04104709
106.573146,-19.5739578,38.02008274
106.773547,-19.76337203,37.68780111
106.973948,-19.77174858,36.05650449
107.174349,-19.49530498,35.581919
107.374749,-19.51543843,34.59857617
107.57515,-19.53746336,34.32624785
107.775551,-19.68053372,32.32732081
107.975952,-19.70215677,31.33904315
108.176353,-19.67961315,31.50556374
108.376754,-19.55751963,30.95911042
108.577154,-19.39264631,29.32611399
108.777555,-19.60238738,28.70903771
108.977956,-19.53085298,27.87611107
109.178357,-19.57870713,26.5315215
109.378758,-19.53062189,25.17632085
109.579158,-19.71337783,25.42203838
109.779559,-19.57303257,24.84046318
109.97996,-19.50208307,25.56617399
110.180361,-19.59947302,23.88031165
110.380762,-19.44433631,22.22947498
110.581162,-19.45270115,20.69101355
110.781563,-19.4401682,21.48548066
110.981964,-19.47304703,19.46501036
111.182365,-19.39874444,19.89638514
111.382766,-19.38053656,19.05707639
111.583166,-19.32933717,18.18565636
111.783567,-19.31180362,17.00069638
111.983968,-19.41464932,16.81804502
112.184369,-19.2988568,15.6356929
112.38477,-19.36691145,16.83265621
112.58517,-19.35664028,13.87532575
112.785571,-19.33073202,13.94636619
112.985972,-19.29156023,13.22923946
113.186373,-19.23660433,12.45080128
113.386774,-19.23648799,11.52007557
113.587174,-19.22872194,10.57564353
113.787575,-19.28702306,10.41875727
113.987976,-19.46274706,10.26492891
114.188377,-19.50445527,9.253329355
114.388778,-19.24418363,8.508605392
114.589178,-19.28047081,8.008037225
114.789579,-19.28281987,6.854439368
114.98998,-19.45146306,6.325508109
115.190381,-19.21694358,6.031247716
115.390782,-19.25606682,6.117355776
115.591182,-19.2977886,4.478912018
115.791583,-19.27896863,4.461980311
115.991984,-19.14468963,3.915986399
116.192385,-19.19981886,3.367916474
116.392786,-19.26551801,2.398051906
116.593186,-19.2330735,0.978346789
116.793587,-19.21112729,0.558627475
116.993988,-19.26054885,0.343962123
117.194389,-19.22784164,-0.597385245
117.39479,-19.20200968,-1.259649012
117.59519,-19.13883892,-1.814478425
117.795591,-19.20011473,-2.309572492
117.995992,-19.27406496,-2.899104277
118.196393,-19.05731784,-3.534203887
118.396794,-19.16152518,-3.247060828
118.597194,-19.18555659,-5.055870271
118.797595,-19.17185009,-5.282425896
118.997996,-19.15313841,-6.027469819
119.198397,-19.16780972,-6.45412339
119.398798,-19.19172592,-7.242948443
119.599198,-19.1955798,-8.170910758
119.799599,-19.06419453,-7.718071233
120,-19.17141753,-8.887914066
