F/MHz,dB (252a),deg (252a),dB (252b),deg (252b),dB (254a),deg (254a),dB (254b),deg (254b),dB (255a),deg (255a),dB (255b),deg (255b),dB (256b),deg (256b)
20,-22.315915317117,62.085961567053,-20.4090393704838,41.117118015649,-19.7415927913391,39.0107439861175,-21.3254208392671,50.8442592594544,-21.2604731691245,45.1168202049126,-22.5016906932012,64.1221805312264,-21.2217271816625,48.1375287760329
20.200401,-22.3042350020781,59.0553025368081,-20.4116716577166,39.4640830693688,-19.6220435672052,37.1426584365093,-21.2848168863801,47.7963768508932,-21.1814944322353,42.1471355784562,-22.5666073858258,61.8136549868358,-21.1854807586315,45.1544225661585
20.400802,-22.243375851777,57.3927983734461,-20.3591214524462,37.0600590181853,-19.6350869829263,34.9336487253495,-21.2525378096178,45.1420356448705,-21.0999068504587,39.4985799100127,-22.7557295491063,57.6800960787004,-21.0325991014534,43.3708160432521
20.601202,-22.3186135382479,53.6622264535951,-20.296675400922,34.7042215108453,-19.4987140983397,33.3183616631081,-21.2609628389724,44.289961662296,-21.0054845142332,37.3113046835473,-22.7305523976625,55.2981779276917,-20.937100229201,40.5216366029159
20.801603,-22.2433219214449,51.8011979759081,-20.1990484997141,32.4295916513338,-19.3531253364349,31.5682817780608,-21.0977603653533,40.168153553582,-20.9071642924359,35.1139256415185,-22.7193351718599,51.7651006982586,-20.921705526481,37.3428830528101
21.002004,-22.2312496266102,49.1175461498366,-20.0655264079838,30.2023593369566,-19.2783482386195,29.4207855679343,-21.0568960393455,38.4463000676685,-20.8927698881,32.2887274302481,-22.7019670278822,48.3061927680946,-20.9126378237368,35.4896885459502
21.202405,-22.3391434815467,45.9255338530725,-20.0122898703005,27.3729418530669,-19.193981606347,27.1783789053819,-20.9654890151367,35.63154953104,-20.8055638247289,29.5890848539057,-22.7723240584431,45.5226754068823,-20.8723488521708,32.4264105426123
21.402806,-22.1392709285303,42.3210440586821,-19.9068912351523,25.8544753400231,-19.100597348233,25.6019382750553,-20.8703112299148,32.6002112213491,-20.6869159671124,27.7943509825668,-22.8306688849514,41.7247178190411,-20.9414150491179,30.0080047060496
21.603206,-22.2177520093695,40.9308306269569,-19.8136187321545,22.3307361703394,-18.9446149683674,22.7988253071975,-20.9018100962643,30.7652545176343,-20.6617970230844,24.2556252867917,-22.9495135879483,39.3730261948057,-20.6659916496806,28.1373750801054
21.803607,-22.2371415881963,36.3588887746353,-19.6884880985785,19.9301756288522,-18.8659909311956,20.8961330601956,-20.8771024064913,28.7159145932715,-20.6099917962876,21.2040741947558,-22.8646488536183,35.086031107523,-20.7129910033291,24.4107074413216
22.004008,-22.1176114817723,33.5011149004957,-19.6725427803093,17.9591005176128,-18.8502614158553,18.7468835891153,-20.766328783758,25.8369706199457,-20.4131612465315,18.5275257853531,-22.7174658704433,32.4506011622105,-20.6776484874419,22.1977635854769
22.204409,-22.1973214464003,30.3581372289122,-19.6812332707112,14.8894847206851,-18.6761328380086,16.7930289746328,-20.7741139993206,22.9645713503023,-20.4483938432797,16.6902314653657,-22.8653834795793,28.5888370153766,-20.5479672508868,19.4439468804119
22.40481,-22.1104160794072,27.6987802420009,-19.4583632138773,12.4187345534404,-18.6072393010916,14.4750624270251,-20.6049239398651,19.7552347657558,-20.3420622123103,13.0302278677559,-22.7801027691043,24.5095600740393,-20.38623774653,16.0295977328013
22.60521,-22.1030837848259,23.2252562870144,-19.4217993979752,9.23874870385976,-18.5242737380749,12.2212538447532,-20.5119642048835,17.9410173714452,-20.1998081503858,10.5914129201992,-22.7710659010384,20.4642978838832,-20.2855213163813,13.5521051965451
22.805611,-22.0451933803129,20.0164111637069,-19.272053607349,6.31666291999864,-18.4240534885556,10.398212890743,-20.4931999451792,15.4815113312171,-20.2038457337061,8.17658629685301,-22.8014084236543,16.3359390994555,-20.2239439627585,10.3131823716361
23.006012,-22.0274925986146,16.2354593600498,-19.1609963581214,4.10378803191107,-18.3434657876898,8.16199836333345,-20.4687463737359,11.7428296977158,-20.1075213100369,4.67117349202568,-22.6236942782046,13.5400977650549,-20.2623995812296,7.40328265628221
23.206413,-21.9447556836146,13.4392873838377,-19.1771452473368,1.38249116980492,-18.3087192430426,5.4904816056944,-20.2852485993525,8.59538554851833,-20.0406617920024,2.19695159284383,-22.667111913679,9.3342776217602,-20.1901181653332,4.39426375693669
23.406814,-21.9454096058121,9.22074940850748,-19.1322137674832,-2.2598275211673,-18.2000680852887,2.88263384389702,-20.2390851405769,6.23051813840609,-19.9262663533983,-1.65958021244631,-22.602154299873,3.55714211184863,-20.0649252776882,1.01752085468517
23.607214,-21.8357486114495,5.53250961509594,-18.9565683415206,-4.57996090954704,-18.0972655360807,0.327977086751806,-20.2220314111049,3.36745328083993,-19.8065206731935,-4.58056293478803,-22.5183837931605,-0.465850893066416,-19.9670142473918,-1.96996740433473
23.807615,-21.7509368716903,1.77550044885695,-18.9418155226406,-7.87369047047468,-18.074834834249,-2.51339002757719,-20.0978852330256,0.424325416017193,-19.684426224053,-7.22112769685817,-22.3536953294252,-4.46987350379529,-19.85724749063,-6.06676133471551
24.008016,-21.6161882592992,-1.73662884744816,-18.7832650109311,-10.6392182370732,-17.9859752279334,-4.74407096288891,-20.0310280669752,-2.79680946061103,-19.6750146941981,-11.0158240070389,-22.23329321847,-10.1547451402577,-19.8684410086198,-9.47572899070773
24.208417,-21.5690804587719,-5.74784196311581,-18.7473633216343,-13.8274158535361,-17.9780068911722,-7.53597910487428,-19.9672862326082,-6.21475494108497,-19.6510194486147,-14.1515392168231,-22.0955268508033,-14.0013954465016,-19.762657664251,-12.4105125777623
24.408818,-21.4186895727616,-9.69478202834231,-18.6772108794889,-17.9922198364006,-17.8409218772415,-10.7146235458135,-19.8243289247828,-9.52118291418645,-19.5162114310387,-17.2656880894939,-21.9075930909913,-19.4941000683142,-19.745896069808,-16.6703815874292
24.609218,-21.5332743875883,-14.0629068116296,-18.625032018605,-21.0309790851404,-17.7674964759909,-13.0561099422989,-19.8405975518564,-13.6411523191755,-19.3736931292037,-21.4803900737665,-21.7829749384637,-24.9853408967013,-19.4703483309119,-20.5976766224078
24.809619,-21.2488806570747,-18.0004926193797,-18.489739763919,-24.9388983768299,-17.7513918723567,-16.8380974443776,-19.728507732718,-17.2553698304701,-19.3322213808898,-25.5846493011115,-21.65766508608,-29.1244568190013,-19.5191953348671,-24.5698864210305
25.01002,-21.0882289147784,-22.7410322203942,-18.4182472245269,-28.9412452073532,-17.7193534928027,-19.7053126109189,-19.6626547545016,-20.5332791927452,-19.2737574801466,-28.682239613294,-21.4795736993218,-35.2957343535083,-19.4664158354884,-29.0345102757087
25.210421,-20.982945316965,-27.5258408395697,-18.3938455478777,-32.6527627050986,-17.7130139881219,-23.1734327934919,-19.6132620493067,-25.2009123081336,-19.1471990462163,-33.128540041845,-21.2938520074463,-40.1921148217899,-19.4096219255149,-32.6949824539976
25.410822,-20.82145976651,-32.0017653734864,-18.4370904052905,-36.7450268742138,-17.7042407724594,-27.0526061140637,-19.607483277546,-29.2111628515632,-18.9995616248976,-37.2192492455144,-21.0559128455314,-46.5911931298475,-19.4107907680459,-37.7290453231299
25.611222,-20.7723205348305,-36.9862355658637,-18.430885361041,-40.7897399151625,-17.6752333088977,-31.1555785067236,-19.4208479806693,-33.231964989594,-19.1643961686929,-41.9721717623847,-20.9730929334533,-51.6017186415399,-19.4428518207276,-42.7969541568823
25.811623,-20.5287950887238,-42.4687541667492,-18.3984243415482,-45.3424604935911,-17.6445115127257,-35.0277905839827,-19.4325079425421,-37.792551029191,-19.0345163672143,-46.6748775123193,-20.7128689280862,-57.5293469731317,-19.361031745989,-48.0833734146801
