! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/18may12.lna.rl/252a.lna.rl.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/12/2018 04:24:43 PM	05/12/2018 04:14:26 PM
! INTERNAL TEMP:    	49.5 C	49.8 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	Low	Low
! IFBW:             	10 Hz	10 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  12.184 368 MHz,##.##"	--	--
!MK2	--	--	"MK2 TR3:  12.184 368 MHz,##.##"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-2.118700E+01	  0.020000000	4.207700E+01	  0.020000000	5.650600E+01	  0.020000000	6.656000E+00
2	  0.020200402	-2.125700E+01	  0.020200402	3.883200E+01	  0.020200402	5.686500E+01	  0.020200402	6.216000E+00
3	  0.020400802	-2.112000E+01	  0.020400802	3.634800E+01	  0.020400802	5.728100E+01	  0.020400802	6.014000E+00
4	  0.020601204	-2.121200E+01	  0.020601204	3.426100E+01	  0.020601204	5.744500E+01	  0.020601204	5.667000E+00
5	  0.020801604	-2.120800E+01	  0.020801604	3.104300E+01	  0.020801604	5.780100E+01	  0.020801604	5.226000E+00
6	  0.021002004	-2.124600E+01	  0.021002004	2.861300E+01	  0.021002004	5.801300E+01	  0.021002004	4.850000E+00
7	  0.021202406	-2.132000E+01	  0.021202406	2.575200E+01	  0.021202406	5.820700E+01	  0.021202406	4.376000E+00
8	  0.021402806	-2.129000E+01	  0.021402806	2.310600E+01	  0.021402806	5.846300E+01	  0.021402806	3.984000E+00
9	  0.021603208	-2.125700E+01	  0.021603208	1.958200E+01	  0.021603208	5.876700E+01	  0.021603208	3.434000E+00
10	  0.021803608	-2.118900E+01	  0.021803608	1.706600E+01	  0.021803608	5.900900E+01	  0.021803608	3.043000E+00
11	  0.022004008	-2.125900E+01	  0.022004008	1.402400E+01	  0.022004008	5.910300E+01	  0.022004008	2.496000E+00
12	  0.022204408	-2.118700E+01	  0.022204408	1.116700E+01	  0.022204408	5.932000E+01	  0.022204408	2.019000E+00
13	  0.022404809	-2.128300E+01	  0.022404809	8.168000E+00	  0.022404809	5.931500E+01	  0.022404809	1.464000E+00
14	  0.022605211	-2.118400E+01	  0.022605211	5.202000E+00	  0.022605211	5.950800E+01	  0.022605211	9.480000E-01
15	  0.022805611	-2.119800E+01	  0.022805611	1.598000E+00	  0.022805611	5.953700E+01	  0.022805611	2.910000E-01
16	  0.023006011	-2.114800E+01	  0.023006011	-9.100000E-01	  0.023006011	5.960100E+01	  0.023006011	-1.670000E-01
17	  0.023206413	-2.128800E+01	  0.023206413	-5.367000E+00	  0.023206413	5.938000E+01	  0.023206413	-9.640000E-01
