! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/18may12.lna.rl/254a.lna.rl..txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/12/2018 05:13:28 PM	05/12/2018 05:07:55 PM
! INTERNAL TEMP:    	51.0 C	51.5 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	Low	Low
! IFBW:             	10 Hz	10 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  12.184 368 MHz,##.##"	--	--
!MK2	--	--	"MK2 TR3:  12.184 368 MHz,##.##"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-1.905900E+01	  0.020000000	1.923800E+01	  0.020000000	6.157000E+01	  0.020000000	4.578000E+00
2	  0.020200402	-1.895400E+01	  0.020200402	1.776800E+01	  0.020200402	6.186700E+01	  0.020200402	4.314000E+00
3	  0.020400802	-1.876900E+01	  0.020400802	1.600500E+01	  0.020400802	6.231200E+01	  0.020400802	4.012000E+00
4	  0.020601204	-1.878400E+01	  0.020601204	1.391900E+01	  0.020601204	6.245800E+01	  0.020601204	3.502000E+00
5	  0.020801604	-1.873400E+01	  0.020801604	1.187400E+01	  0.020801604	6.268400E+01	  0.020801604	3.024000E+00
6	  0.021002004	-1.866600E+01	  0.021002004	9.782000E+00	  0.021002004	6.292500E+01	  0.021002004	2.527000E+00
7	  0.021202406	-1.852300E+01	  0.021202406	7.271000E+00	  0.021202406	6.329000E+01	  0.021202406	1.926000E+00
8	  0.021402806	-1.843600E+01	  0.021402806	5.646000E+00	  0.021402806	6.350500E+01	  0.021402806	1.517000E+00
9	  0.021603208	-1.846400E+01	  0.021603208	4.198000E+00	  0.021603208	6.349700E+01	  0.021603208	1.125000E+00
10	  0.021803608	-1.830500E+01	  0.021803608	1.214000E+00	  0.021803608	6.383100E+01	  0.021803608	3.330000E-01
11	  0.022004008	-1.818200E+01	  0.022004008	-1.017000E+00	  0.022004008	6.405800E+01	  0.022004008	-2.840000E-01
12	  0.022204408	-1.818100E+01	  0.022204408	-3.516000E+00	  0.022204408	6.402300E+01	  0.022204408	-9.830000E-01
13	  0.022404809	-1.809200E+01	  0.022404809	-5.209000E+00	  0.022404809	6.414100E+01	  0.022404809	-1.473000E+00
14	  0.022605211	-1.802500E+01	  0.022605211	-7.389000E+00	  0.022605211	6.417900E+01	  0.022605211	-2.105000E+00
15	  0.022805611	-1.792000E+01	  0.022805611	-1.012300E+01	  0.022805611	6.422000E+01	  0.022805611	-2.915000E+00
16	  0.023006011	-1.797300E+01	  0.023006011	-1.203500E+01	  0.023006011	6.398700E+01	  0.023006011	-3.424000E+00
17	  0.023206413	-1.778900E+01	  0.023206413	-1.444800E+01	  0.023206413	6.411800E+01	  0.023206413	-4.196000E+00
