! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/18may12.lna.rl/255b.lna.rl.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/13/2018 11:54:32 AM	05/13/2018 11:48:03 AM
! INTERNAL TEMP:    	48.3 C	48.0 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	Low	Low
! IFBW:             	10 Hz	10 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  12.184 368 MHz,##.##"	--	--
!MK2	--	--	"MK2 TR3:  20.000 MHz,Z:(55.946 ohm, 6.526 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-2.160000E+01	  0.020000000	4.414000E+01	  0.020000000	5.594500E+01	  0.020000000	6.526000E+00
2	  0.020200402	-2.166700E+01	  0.020200402	4.192400E+01	  0.020200402	5.617500E+01	  0.020200402	6.238000E+00
3	  0.020400802	-2.183200E+01	  0.020400802	3.807800E+01	  0.020400802	5.650500E+01	  0.020400802	5.681000E+00
4	  0.020601204	-2.180500E+01	  0.020601204	3.566500E+01	  0.020601204	5.679100E+01	  0.020601204	5.415000E+00
5	  0.020801604	-2.181700E+01	  0.020801604	3.242600E+01	  0.020801604	5.711600E+01	  0.020801604	5.001000E+00
6	  0.021002004	-2.182200E+01	  0.021002004	2.921200E+01	  0.021002004	5.742000E+01	  0.021002004	4.574000E+00
7	  0.021202406	-2.189600E+01	  0.021202406	2.648300E+01	  0.021202406	5.759200E+01	  0.021202406	4.155000E+00
8	  0.021402806	-2.197900E+01	  0.021402806	2.294300E+01	  0.021402806	5.779100E+01	  0.021402806	3.610000E+00
9	  0.021603208	-2.209400E+01	  0.021603208	2.074300E+01	  0.021603208	5.783300E+01	  0.021603208	3.238000E+00
10	  0.021803608	-2.204000E+01	  0.021803608	1.680200E+01	  0.021803608	5.812200E+01	  0.021803608	2.673000E+00
11	  0.022004008	-2.194400E+01	  0.022004008	1.407300E+01	  0.022004008	5.835800E+01	  0.022004008	2.283000E+00
12	  0.022204408	-2.210100E+01	  0.022204408	1.040800E+01	  0.022204408	5.834200E+01	  0.022204408	1.665000E+00
13	  0.022404809	-2.209900E+01	  0.022404809	6.562000E+00	  0.022404809	5.845100E+01	  0.022404809	1.055000E+00
14	  0.022605211	-2.213800E+01	  0.022605211	2.757000E+00	  0.022605211	5.846800E+01	  0.022605211	4.420000E-01
15	  0.022805611	-2.220700E+01	  0.022805611	-1.274000E+00	  0.022805611	5.840500E+01	  0.022805611	-2.020000E-01
16	  0.023006011	-2.208200E+01	  0.023006011	-4.207000E+00	  0.023006011	5.851000E+01	  0.023006011	-6.790000E-01
17	  0.023206413	-2.218800E+01	  0.023206413	-8.223000E+00	  0.023206413	5.831800E+01	  0.023206413	-1.304000E+00
18	  0.023406813	-2.222500E+01	  0.023406813	-1.373700E+01	  0.023406813	5.808600E+01	  0.023406813	-2.148000E+00
19	  0.023607215	-2.222200E+01	  0.023607215	-1.782400E+01	  0.023607215	5.788600E+01	  0.023607215	-2.760000E+00
20	  0.023807615	-2.212800E+01	  0.023807615	-2.197700E+01	  0.023807615	5.771800E+01	  0.023807615	-3.402000E+00
21	  0.024008015	-2.211500E+01	  0.024008015	-2.765300E+01	  0.024008015	5.729700E+01	  0.024008015	-4.194000E+00
22	  0.024208417	-2.205400E+01	  0.024208417	-3.169300E+01	  0.024208417	5.698800E+01	  0.024208417	-4.756000E+00
23	  0.024408817	-2.199000E+01	  0.024408817	-3.755300E+01	  0.024408817	5.644300E+01	  0.024408817	-5.506000E+00
24	  0.024609219	-2.197100E+01	  0.024609219	-4.319700E+01	  0.024609219	5.581300E+01	  0.024609219	-6.128000E+00
25	  0.024809619	-2.192300E+01	  0.024809619	-4.766000E+01	  0.024809619	5.529200E+01	  0.024809619	-6.592000E+00
26	  0.025010020	-2.185600E+01	  0.025010020	-5.426000E+01	  0.025010020	5.445600E+01	  0.025010020	-7.185000E+00
27	  0.025210422	-2.177800E+01	  0.025210422	-5.971800E+01	  0.025210422	5.372600E+01	  0.025210422	-7.611000E+00
28	  0.025410822	-2.162800E+01	  0.025410822	-6.670700E+01	  0.025410822	5.275200E+01	  0.025410822	-8.089000E+00
29	  0.025611224	-2.162600E+01	  0.025611224	-7.227800E+01	  0.025611224	5.192000E+01	  0.025611224	-8.259000E+00
30	  0.025811624	-2.144100E+01	  0.025811624	-7.903300E+01	  0.025811624	5.091600E+01	  0.025811624	-8.529000E+00
31	  0.026012026	-2.134600E+01	  0.026012026	-8.671400E+01	  0.026012026	4.975600E+01	  0.026012026	-8.570000E+00
32	  0.026212426	-2.128400E+01	  0.026212426	-9.419100E+01	  0.026212426	4.865200E+01	  0.026212426	-8.433000E+00
33	  0.026412826	-2.131300E+01	  0.026412826	-1.017150E+02	  0.026412826	4.761600E+01	  0.026412826	-8.075000E+00
