! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/18may12.lna.rl/256b.lna.rl.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/13/2018 01:19:33 PM	05/13/2018 01:12:19 PM
! INTERNAL TEMP:    	49.5 C	49.5 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	Low	Low
! IFBW:             	10 Hz	10 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  12.585 170 MHz,##.##"	--	--
!MK2	--	--	"MK2 TR3:  360.721 kHz,##.##"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-2.049600E+01	  0.020000000	2.952000E+01	  0.020000000	5.867500E+01	  0.020000000	5.510000E+00
2	  0.020200402	-2.048300E+01	  0.020200402	2.661700E+01	  0.020200402	5.900300E+01	  0.020200402	5.045000E+00
3	  0.020400802	-2.034200E+01	  0.020400802	2.479000E+01	  0.020400802	5.934800E+01	  0.020400802	4.829000E+00
4	  0.020601204	-2.025900E+01	  0.020601204	2.190000E+01	  0.020601204	5.972200E+01	  0.020601204	4.365000E+00
5	  0.020801604	-2.027600E+01	  0.020801604	1.886100E+01	  0.020801604	5.996100E+01	  0.020801604	3.791000E+00
6	  0.021002004	-2.028400E+01	  0.021002004	1.702300E+01	  0.021002004	6.008900E+01	  0.021002004	3.437000E+00
7	  0.021202406	-2.026500E+01	  0.021202406	1.394400E+01	  0.021202406	6.031700E+01	  0.021202406	2.846000E+00
8	  0.021402806	-2.035300E+01	  0.021402806	1.156700E+01	  0.021402806	6.033200E+01	  0.021402806	2.344000E+00
9	  0.021603208	-2.010800E+01	  0.021603208	9.590000E+00	  0.021603208	6.075100E+01	  0.021603208	2.018000E+00
10	  0.021803608	-2.017700E+01	  0.021803608	6.077000E+00	  0.021803608	6.077900E+01	  0.021803608	1.273000E+00
11	  0.022004008	-2.017300E+01	  0.022004008	3.724000E+00	  0.022004008	6.083600E+01	  0.022004008	7.820000E-01
12	  0.022204408	-2.006500E+01	  0.022204408	8.740000E-01	  0.022204408	6.101600E+01	  0.022204408	1.860000E-01
13	  0.022404809	-1.997400E+01	  0.022404809	-2.550000E+00	  0.022404809	6.113100E+01	  0.022404809	-5.510000E-01
14	  0.022605211	-1.990500E+01	  0.022605211	-5.057000E+00	  0.022605211	6.118600E+01	  0.022605211	-1.101000E+00
15	  0.022805611	-1.987200E+01	  0.022805611	-8.393000E+00	  0.022805611	6.112900E+01	  0.022805611	-1.829000E+00
16	  0.023006011	-1.994300E+01	  0.023006011	-1.136600E+01	  0.023006011	6.089400E+01	  0.023006011	-2.440000E+00
17	  0.023206413	-1.991400E+01	  0.023206413	-1.443400E+01	  0.023206413	6.075300E+01	  0.023206413	-3.090000E+00
