! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/18may12.lna.rl/252a.lna.rl.redo.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/13/2018 10:40:56 AM	05/13/2018 10:34:45 AM
! INTERNAL TEMP:    	46.0 C	46.0 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	Low	Low
! IFBW:             	10 Hz	10 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  12.184 368 MHz,##.##"	--	--
!MK2	--	--	"MK2 TR3:  12.184 368 MHz,##.##"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-2.143700E+01	  0.020000000	4.230200E+01	  0.020000000	5.629300E+01	  0.020000000	6.468000E+00
2	  0.020200402	-2.143900E+01	  0.020200402	3.942300E+01	  0.020200402	5.665000E+01	  0.020200402	6.140000E+00
3	  0.020400802	-2.137500E+01	  0.020400802	3.774700E+01	  0.020400802	5.690200E+01	  0.020400802	5.990000E+00
4	  0.020601204	-2.144300E+01	  0.020601204	3.413200E+01	  0.020601204	5.725800E+01	  0.020601204	5.481000E+00
5	  0.020801604	-2.139100E+01	  0.020801604	3.235800E+01	  0.020801604	5.749500E+01	  0.020801604	5.282000E+00
6	  0.021002004	-2.139400E+01	  0.021002004	2.982200E+01	  0.021002004	5.775200E+01	  0.021002004	4.927000E+00
7	  0.021202406	-2.150400E+01	  0.021202406	2.672300E+01	  0.021202406	5.794000E+01	  0.021202406	4.413000E+00
8	  0.021402806	-2.135100E+01	  0.021402806	2.325700E+01	  0.021402806	5.838800E+01	  0.021402806	3.975000E+00
9	  0.021603208	-2.142300E+01	  0.021603208	2.188700E+01	  0.021603208	5.842200E+01	  0.021603208	3.724000E+00
10	  0.021803608	-2.146100E+01	  0.021803608	1.769200E+01	  0.021803608	5.867100E+01	  0.021803608	3.035000E+00
11	  0.022004008	-2.138900E+01	  0.022004008	1.477000E+01	  0.022004008	5.891900E+01	  0.022004008	2.578000E+00
12	  0.022204408	-2.147500E+01	  0.022204408	1.170400E+01	  0.022204408	5.896800E+01	  0.022204408	2.033000E+00
13	  0.022404809	-2.144900E+01	  0.022404809	9.141000E+00	  0.022404809	5.909300E+01	  0.022404809	1.600000E+00
14	  0.022605211	-2.148800E+01	  0.022605211	4.924000E+00	  0.022605211	5.915500E+01	  0.022605211	8.610000E-01
15	  0.022805611	-2.146000E+01	  0.022805611	1.679000E+00	  0.022805611	5.922700E+01	  0.022805611	2.950000E-01
16	  0.023006011	-2.149100E+01	  0.023006011	-2.066000E+00	  0.023006011	5.918800E+01	  0.023006011	-3.620000E-01
17	  0.023206413	-2.145300E+01	  0.023206413	-4.855000E+00	  0.023206413	5.919700E+01	  0.023206413	-8.530000E-01
