! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/18may12.lna.rl/254b.lna.rl.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/13/2018 11:09:57 AM	05/13/2018 11:05:29 AM
! INTERNAL TEMP:    	46.8 C	46.3 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	Low	Low
! IFBW:             	10 Hz	10 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  12.184 368 MHz,##.##"	--	--
!MK2	--	--	"MK2 TR3:  12.184 368 MHz,##.##"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-2.057800E+01	  0.020000000	3.200700E+01	  0.020000000	5.830200E+01	  0.020000000	5.833000E+00
2	  0.020200402	-2.056000E+01	  0.020200402	2.905400E+01	  0.020200402	5.865900E+01	  0.020200402	5.388000E+00
3	  0.020400802	-2.053300E+01	  0.020400802	2.646500E+01	  0.020400802	5.896400E+01	  0.020400802	4.986000E+00
4	  0.020601204	-2.053200E+01	  0.020601204	2.543100E+01	  0.020601204	5.906900E+01	  0.020601204	4.813000E+00
5	  0.020801604	-2.041800E+01	  0.020801604	2.150900E+01	  0.020801604	5.956700E+01	  0.020801604	4.201000E+00
6	  0.021002004	-2.039500E+01	  0.021002004	1.979000E+01	  0.021002004	5.974000E+01	  0.021002004	3.900000E+00
7	  0.021202406	-2.032600E+01	  0.021202406	1.693100E+01	  0.021202406	6.004300E+01	  0.021202406	3.400000E+00
8	  0.021402806	-2.026600E+01	  0.021402806	1.393900E+01	  0.021402806	6.031700E+01	  0.021402806	2.845000E+00
9	  0.021603208	-2.030300E+01	  0.021603208	1.211700E+01	  0.021603208	6.037000E+01	  0.021603208	2.470000E+00
10	  0.021803608	-2.028700E+01	  0.021803608	1.014300E+01	  0.021803608	6.048600E+01	  0.021803608	2.080000E+00
11	  0.022004008	-2.021900E+01	  0.022004008	7.154000E+00	  0.022004008	6.069000E+01	  0.022004008	1.488000E+00
12	  0.022204408	-2.024000E+01	  0.022204408	4.263000E+00	  0.022204408	6.073500E+01	  0.022204408	8.860000E-01
13	  0.022404809	-2.013900E+01	  0.022404809	1.059000E+00	  0.022404809	6.091100E+01	  0.022404809	2.230000E-01
14	  0.022605211	-2.006900E+01	  0.022605211	-8.030000E-01	  0.022605211	6.101100E+01	  0.022605211	-1.710000E-01
15	  0.022805611	-2.006600E+01	  0.022805611	-3.366000E+00	  0.022805611	6.099100E+01	  0.022805611	-7.170000E-01
16	  0.023006011	-2.008600E+01	  0.023006011	-7.135000E+00	  0.023006011	6.087300E+01	  0.023006011	-1.512000E+00
17	  0.023206413	-1.995200E+01	  0.023206413	-1.037000E+01	  0.023206413	6.093100E+01	  0.023206413	-2.228000E+00
18	  0.023406813	-1.994100E+01	  0.023406813	-1.273000E+01	  0.023406813	6.082200E+01	  0.023406813	-2.726000E+00
19	  0.023607215	-1.996800E+01	  0.023607215	-1.569100E+01	  0.023607215	6.059600E+01	  0.023607215	-3.323000E+00
20	  0.023807615	-1.988100E+01	  0.023807615	-1.879600E+01	  0.023807615	6.047000E+01	  0.023807615	-3.991000E+00
21	  0.024008015	-1.985900E+01	  0.024008015	-2.206900E+01	  0.024008015	6.020100E+01	  0.024008015	-4.645000E+00
22	  0.024208417	-1.984700E+01	  0.024208417	-2.561000E+01	  0.024208417	5.984700E+01	  0.024208417	-5.320000E+00
23	  0.024408817	-1.976900E+01	  0.024408817	-2.918700E+01	  0.024408817	5.951600E+01	  0.024408817	-6.024000E+00
24	  0.024609219	-1.984300E+01	  0.024609219	-3.331700E+01	  0.024609219	5.889200E+01	  0.024609219	-6.656000E+00
25	  0.024809619	-1.978500E+01	  0.024809619	-3.715400E+01	  0.024809619	5.840300E+01	  0.024809619	-7.307000E+00
26	  0.025010020	-1.976600E+01	  0.025010020	-4.062400E+01	  0.025010020	5.788700E+01	  0.025010020	-7.825000E+00
27	  0.025210422	-1.980700E+01	  0.025210422	-4.554800E+01	  0.025210422	5.705000E+01	  0.025210422	-8.415000E+00
28	  0.025410822	-1.984900E+01	  0.025410822	-4.975400E+01	  0.025410822	5.630100E+01	  0.025410822	-8.836000E+00
29	  0.025611224	-1.972000E+01	  0.025611224	-5.417400E+01	  0.025611224	5.559400E+01	  0.025611224	-9.410000E+00
30	  0.025811624	-1.980200E+01	  0.025811624	-5.907800E+01	  0.025811624	5.465000E+01	  0.025811624	-9.694000E+00
31	  0.026012026	-1.990600E+01	  0.026012026	-6.396100E+01	  0.026012026	5.370600E+01	  0.026012026	-9.856000E+00
32	  0.026212426	-2.001400E+01	  0.026212426	-6.915700E+01	  0.026212426	5.272100E+01	  0.026212426	-9.937000E+00
33	  0.026412826	-2.007700E+01	  0.026412826	-7.483300E+01	  0.026412826	5.168100E+01	  0.026412826	-9.986000E+00
34	  0.026613226	-2.027700E+01	  0.026613226	-8.098300E+01	  0.026613226	5.059200E+01	  0.026613226	-9.770000E+00
35	  0.026813626	-2.050500E+01	  0.026813626	-8.773400E+01	  0.026813626	4.948300E+01	  0.026813626	-9.413000E+00
36	  0.027014028	-2.076000E+01	  0.027014028	-9.341300E+01	  0.027014028	4.864100E+01	  0.027014028	-8.972000E+00
37	  0.027214428	-2.109500E+01	  0.027214428	-9.980400E+01	  0.027214428	4.780400E+01	  0.027214428	-8.369000E+00
38	  0.027414829	-2.151500E+01	  0.027414829	-1.058110E+02	  0.027414829	4.715600E+01	  0.027414829	-7.675000E+00
39	  0.027615231	-2.209200E+01	  0.027615231	-1.136290E+02	  0.027615231	4.647500E+01	  0.027615231	-6.734000E+00
40	  0.027815631	-2.268300E+01	  0.027815631	-1.199790E+02	  0.027815631	4.609900E+01	  0.027815631	-5.895000E+00
41	  0.028016033	-2.334600E+01	  0.028016033	-1.270470E+02	  0.028016033	4.580200E+01	  0.028016033	-4.996000E+00
42	  0.028216433	-2.408500E+01	  0.028216433	-1.333890E+02	  0.028216433	4.570300E+01	  0.028216433	-4.166000E+00
43	  0.028416833	-2.496600E+01	  0.028416833	-1.390570E+02	  0.028416833	4.578900E+01	  0.028416833	-3.398000E+00
44	  0.028617235	-2.575500E+01	  0.028617235	-1.454420E+02	  0.028617235	4.585200E+01	  0.028617235	-2.688000E+00
45	  0.028817635	-2.673800E+01	  0.028817635	-1.496560E+02	  0.028817635	4.613000E+01	  0.028817635	-2.150000E+00
46	  0.029018037	-2.793200E+01	  0.029018037	-1.555300E+02	  0.029018037	4.645100E+01	  0.029018037	-1.546000E+00
47	  0.029218437	-2.904600E+01	  0.029218437	-1.590620E+02	  0.029218437	4.679400E+01	  0.029218437	-1.181000E+00
48	  0.029418837	-3.017700E+01	  0.029418837	-1.646820E+02	  0.029418837	4.709200E+01	  0.029418837	-7.710000E-01
49	  0.029619239	-3.106000E+01	  0.029619239	-1.659590E+02	  0.029619239	4.735200E+01	  0.029619239	-6.430000E-01
50	  0.029819639	-3.243600E+01	  0.029819639	-1.690660E+02	  0.029819639	4.770600E+01	  0.029819639	-4.320000E-01
51	  0.030020041	-3.401500E+01	  0.030020041	-1.714700E+02	  0.030020041	4.806700E+01	  0.030020041	-2.840000E-01
52	  0.030220442	-3.476600E+01	  0.030220442	-1.730780E+02	  0.030220442	4.821800E+01	  0.030220442	-2.120000E-01
53	  0.030420844	-3.564300E+01	  0.030420844	-1.782180E+02	  0.030420844	4.837600E+01	  0.030420844	-4.900000E-02
54	  0.030621244	-3.724600E+01	  0.030621244	-1.760990E+02	  0.030621244	4.864800E+01	  0.030621244	-9.000000E-02
55	  0.030821644	-3.893200E+01	  0.030821644	-1.778800E+02	  0.030821644	4.888200E+01	  0.030821644	-4.000000E-02
56	  0.031022044	-3.853200E+01	  0.031022044	-1.752790E+02	  0.031022044	4.883300E+01	  0.031022044	-9.500000E-02
57	  0.031222444	-3.958700E+01	  0.031222444	1.772930E+02	  0.031222444	4.896300E+01	  0.031222444	4.800000E-02
58	  0.031422846	-4.002500E+01	  0.031422846	-1.767640E+02	  0.031422846	4.901400E+01	  0.031422846	-5.500000E-02
59	  0.031623244	-4.142600E+01	  0.031623244	-1.745540E+02	  0.031623244	4.916200E+01	  0.031623244	-7.900000E-02
60	  0.031823646	-4.184100E+01	  0.031823646	-1.744220E+02	  0.031823646	4.920100E+01	  0.031823646	-7.700000E-02
61	  0.032024048	-4.360000E+01	  0.032024048	-1.778690E+02	  0.032024048	4.934400E+01	  0.032024048	-2.400000E-02
62	  0.032224450	-4.310400E+01	  0.032224450	-1.753130E+02	  0.032224450	4.930700E+01	  0.032224450	-5.600000E-02
63	  0.032424849	-4.331000E+01	  0.032424849	-1.790530E+02	  0.032424849	4.932100E+01	  0.032424849	-1.100000E-02
64	  0.032625251	-4.409700E+01	  0.032625251	-1.760200E+02	  0.032625251	4.938100E+01	  0.032625251	-4.200000E-02
65	  0.032825653	-4.544300E+01	  0.032825653	1.770880E+02	  0.032825653	4.946900E+01	  0.032825653	2.600000E-02
66	  0.033026051	-4.420900E+01	  0.033026051	1.749150E+02	  0.033026051	4.939000E+01	  0.033026051	5.300000E-02
67	  0.033226453	-4.511100E+01	  0.033226453	-1.775880E+02	  0.033226453	4.944800E+01	  0.033226453	-2.300000E-02
68	  0.033426855	-4.413200E+01	  0.033426855	1.718850E+02	  0.033426855	4.938800E+01	  0.033426855	8.600000E-02
69	  0.033627257	-4.423100E+01	  0.033627257	1.695420E+02	  0.033627257	4.939900E+01	  0.033627257	1.100000E-01
70	  0.033827655	-4.828400E+01	  0.033827655	1.480360E+02	  0.033827655	4.967300E+01	  0.033827655	2.020000E-01
71	  0.034028057	-4.538900E+01	  0.034028057	1.467050E+02	  0.034028057	4.955100E+01	  0.034028057	2.920000E-01
72	  0.034228459	-4.427300E+01	  0.034228459	1.531790E+02	  0.034228459	4.945600E+01	  0.034228459	2.720000E-01
73	  0.034428857	-4.590900E+01	  0.034428857	1.385920E+02	  0.034428857	4.962000E+01	  0.034428857	3.320000E-01
74	  0.034629259	-4.702200E+01	  0.034629259	1.432420E+02	  0.034629259	4.964300E+01	  0.034629259	2.640000E-01
75	  0.034829661	-4.808900E+01	  0.034829661	1.334690E+02	  0.034829661	4.972800E+01	  0.034829661	2.840000E-01
76	  0.035030060	-4.755600E+01	  0.035030060	1.249240E+02	  0.035030060	4.975900E+01	  0.035030060	3.410000E-01
77	  0.035230462	-4.585100E+01	  0.035230462	1.243290E+02	  0.035230462	4.971100E+01	  0.035230462	4.180000E-01
78	  0.035430863	-4.855600E+01	  0.035430863	1.215550E+02	  0.035430863	4.980300E+01	  0.035430863	3.160000E-01
79	  0.035631265	-4.784200E+01	  0.035631265	9.363000E+01	  0.035631265	4.997200E+01	  0.035631265	4.040000E-01
80	  0.035831664	-4.592200E+01	  0.035831664	1.079590E+02	  0.035831664	4.984200E+01	  0.035831664	4.790000E-01
81	  0.036032066	-4.553000E+01	  0.036032066	9.904800E+01	  0.036032066	4.991400E+01	  0.036032066	5.210000E-01
82	  0.036232468	-4.827700E+01	  0.036232468	1.083940E+02	  0.036232468	4.987700E+01	  0.036232468	3.640000E-01
83	  0.036432866	-4.506400E+01	  0.036432866	1.046850E+02	  0.036432866	4.985500E+01	  0.036432866	5.380000E-01
84	  0.036633268	-4.585400E+01	  0.036633268	8.221300E+01	  0.036633268	5.006600E+01	  0.036633268	5.050000E-01
85	  0.036833670	-4.548000E+01	  0.036833670	7.915900E+01	  0.036833670	5.009700E+01	  0.036833670	5.230000E-01
86	  0.037034072	-4.445000E+01	  0.037034072	7.619300E+01	  0.037034072	5.013900E+01	  0.037034072	5.830000E-01
