! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/18may12.lna.rl/255a.lna.rl.redo.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/13/2018 12:25:36 PM	05/13/2018 12:19:54 PM
! INTERNAL TEMP:    	50.0 C	49.5 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	Low	Low
! IFBW:             	10 Hz	10 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  12.384 769 MHz,##.##"	--	--
!MK2	--	--	"MK2 TR3:  20.000 MHz,Z:(58.918 ohm, 5.028 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-2.054700E+01	  0.020000000	2.677000E+01	  0.020000000	5.891800E+01	  0.020000000	5.027000E+00
2	  0.020200402	-2.049700E+01	  0.020200402	2.386200E+01	  0.020200402	5.926100E+01	  0.020200402	4.568000E+00
3	  0.020400802	-2.042800E+01	  0.020400802	2.125800E+01	  0.020400802	5.957700E+01	  0.020400802	4.149000E+00
4	  0.020601204	-2.034300E+01	  0.020601204	1.897300E+01	  0.020601204	5.986900E+01	  0.020601204	3.777000E+00
5	  0.020801604	-2.027900E+01	  0.020801604	1.680300E+01	  0.020801604	6.011200E+01	  0.020801604	3.397000E+00
6	  0.021002004	-2.029100E+01	  0.021002004	1.406100E+01	  0.021002004	6.027600E+01	  0.021002004	2.858000E+00
7	  0.021202406	-2.022700E+01	  0.021202406	1.129400E+01	  0.021202406	6.051200E+01	  0.021202406	2.330000E+00
8	  0.021402806	-2.013700E+01	  0.021402806	9.415000E+00	  0.021402806	6.071900E+01	  0.021402806	1.974000E+00
9	  0.021603208	-2.014100E+01	  0.021603208	5.975000E+00	  0.021603208	6.083200E+01	  0.021603208	1.258000E+00
10	  0.021803608	-2.011400E+01	  0.021803608	3.039000E+00	  0.021803608	6.092800E+01	  0.021803608	6.430000E-01
11	  0.022004008	-1.996300E+01	  0.022004008	1.650000E-01	  0.022004008	6.116200E+01	  0.022004008	3.500000E-02
12	  0.022204408	-2.000200E+01	  0.022204408	-1.755000E+00	  0.022204408	6.110000E+01	  0.022204408	-3.780000E-01
13	  0.022404809	-1.996700E+01	  0.022404809	-5.408000E+00	  0.022404809	6.109000E+01	  0.022404809	-1.167000E+00
14	  0.022605211	-1.985900E+01	  0.022605211	-7.911000E+00	  0.022605211	6.116600E+01	  0.022605211	-1.729000E+00
15	  0.022805611	-1.987900E+01	  0.022805611	-1.043600E+01	  0.022805611	6.103000E+01	  0.022805611	-2.265000E+00
16	  0.023006011	-1.982900E+01	  0.023006011	-1.406100E+01	  0.023006011	6.089400E+01	  0.023006011	-3.049000E+00
17	  0.023206413	-1.979900E+01	  0.023206413	-1.662700E+01	  0.023206413	6.075400E+01	  0.023206413	-3.595000E+00
