# F_MHZ    R_N    B_OPT    G_OPT    T_MIN
3.000000000000000000e+01 1.018500664387637329e+02 -2.100017700202317652e-04 1.817608691961582201e-02 1.961650811346773708e+03
3.028750000000000142e+01 8.781648221039809243e+01 -1.399800358707085825e-04 1.750930004913704707e-02 1.643363125645036462e+03
3.057499999999999929e+01 8.001729979138677606e+01 4.010151416459535809e-06 1.717666158676918117e-02 1.468076168419215719e+03
3.086250000000000071e+01 7.056680639256353516e+01 -2.193552242770643033e-04 1.672498285677685020e-02 1.233651496410775962e+03
3.114999999999999858e+01 6.447186108893725986e+01 -1.628546677835535886e-04 1.635542841723052962e-02 1.113341770320377236e+03
3.143750000000000000e+01 5.641229031339525335e+01 -1.250999700504774881e-04 1.635627004396576420e-02 9.350938885513195373e+02
3.172500000000000142e+01 5.297710139189085510e+01 -3.851698283245855018e-04 1.654096594668679962e-02 8.652676270737700861e+02
3.201250000000000284e+01 4.650983382015276391e+01 -3.381205315401601078e-04 1.611234736010723131e-02 7.253408935956133519e+02
3.229999999999999716e+01 4.481801841624001526e+01 -1.131138464099974147e-04 1.566109562895114105e-02 6.864082969203830089e+02
3.258749999999999858e+01 4.228644806925216670e+01 -3.115132723391545073e-04 1.599231522529597285e-02 6.382259139469535967e+02
3.287500000000000000e+01 4.074796681638436979e+01 -2.051293893792412735e-04 1.542673012430562617e-02 5.927255760034133800e+02
3.316250000000000142e+01 3.927681057372461026e+01 -1.429405875305929639e-05 1.508640434420374481e-02 5.609212973315014779e+02
3.345000000000000284e+01 3.737865644662739584e+01 7.824576813906917745e-05 1.503846025047628557e-02 5.281239414453742711e+02
3.373749999999999716e+01 3.632970641356813246e+01 -1.178516771576812096e-05 1.487638764080578130e-02 4.944568424615032995e+02
3.402499999999999858e+01 3.592060009196405446e+01 -4.688094485676052507e-05 1.479278395310087806e-02 4.840782217956805766e+02
3.431250000000000000e+01 3.526754644989059528e+01 -1.881338467398973040e-06 1.485522215315438627e-02 4.807798438014592648e+02
3.460000000000000142e+01 3.487309100919289762e+01 4.068366897289468819e-05 1.488911652826630828e-02 4.745206601298735904e+02
3.488750000000000284e+01 3.449404323788008497e+01 4.799784499519421920e-05 1.484261792732950204e-02 4.640854227685846354e+02
3.517499999999999716e+01 3.413756522729308074e+01 5.571852908829650123e-05 1.465298818790281878e-02 4.468711442399417137e+02
3.546249999999999858e+01 3.353418641445512804e+01 1.019961455382530703e-04 1.485650259665090116e-02 4.413231537722421081e+02
3.575000000000000000e+01 3.439385026998348138e+01 1.518245812173558485e-04 1.464714492412376272e-02 4.712759036248561983e+02
3.603750000000000142e+01 3.339632289436184465e+01 -2.587411456263177080e-05 1.487296344634507841e-02 4.419192983230712457e+02
3.632500000000000284e+01 3.384332309210937240e+01 1.509033175379504441e-04 1.462186934045276755e-02 4.457433579792939895e+02
3.661249999999999716e+01 3.327291370797914283e+01 6.351376623912235306e-06 1.475261570816213848e-02 4.380635384894127924e+02
3.689999999999999858e+01 3.325776712940013624e+01 -1.041102081691569180e-05 1.489872678727887333e-02 4.372957976768031472e+02
3.718750000000000000e+01 3.297586930075340206e+01 2.282862979736928011e-04 1.466393292910985087e-02 4.412630728789180239e+02
3.747500000000000142e+01 3.228864135460017337e+01 1.588345197634952687e-04 1.464661334838097614e-02 4.128105767206117775e+02
3.776250000000000284e+01 3.340616258045101006e+01 -1.082741774797992732e-05 1.449994237426886594e-02 4.425456659269732995e+02
3.804999999999999716e+01 3.386159059474734789e+01 4.462348392415313556e-04 1.438054166192453964e-02 4.525397866765257504e+02
3.833749999999999858e+01 3.324605204352775445e+01 -1.029883275705926506e-04 1.480916638856529834e-02 4.456808732901074563e+02
3.862500000000000000e+01 3.251050216489669253e+01 -1.135974762369465154e-04 1.495044182928779650e-02 4.177819479123202200e+02
3.891250000000000142e+01 3.346866328289792136e+01 2.782302398988548207e-04 1.432187216846667402e-02 4.278478753180645526e+02
3.920000000000000284e+01 3.345197599393770105e+01 2.233063684335177368e-04 1.450399397581186509e-02 4.400271303445197191e+02
3.948749999999999716e+01 3.282772376030393247e+01 8.767182075619808719e-06 1.484945693802395238e-02 4.381444389682725955e+02
3.977499999999999858e+01 3.312628277161983448e+01 -4.630341807047542866e-05 1.466191718459365460e-02 4.285224182604810039e+02
4.006250000000000000e+01 3.342925805422190422e+01 5.559628650415536207e-05 1.471161189928518569e-02 4.543805776779655048e+02
4.035000000000000142e+01 3.346230792469538073e+01 2.821979399633495959e-04 1.466323572554738275e-02 4.383512238880266523e+02
4.063750000000000284e+01 3.302845615812600499e+01 -8.598562956683510376e-05 1.475323197389386345e-02 4.352614654237766558e+02
4.092499999999999716e+01 3.313054098553854487e+01 -3.486911587362638652e-04 1.505046639419630600e-02 4.393467926427755401e+02
4.121249999999999858e+01 3.365197078994630431e+01 2.559150908445552452e-04 1.456675131533139746e-02 4.446019977690642691e+02
4.150000000000000000e+01 3.357845940470370039e+01 8.154676596349261935e-05 1.470392181481110054e-02 4.327832330462200616e+02
4.178750000000000142e+01 3.244267758148742331e+01 -1.798770193584537768e-04 1.498743484735559975e-02 4.328364322800678679e+02
4.207500000000000284e+01 3.305527912526963519e+01 6.274492986767874066e-05 1.474877067365444085e-02 4.329405155302968069e+02
4.236249999999999716e+01 3.245749201269706674e+01 -1.518292769122481765e-04 1.500182516244850071e-02 4.317703644903050417e+02
4.264999999999999858e+01 3.302513343710368332e+01 7.908573708648632139e-05 1.485072491899492794e-02 4.402724678387185122e+02
4.293750000000000000e+01 3.274580000839048211e+01 -3.190100655568000568e-04 1.518382349422496731e-02 4.539312566638239446e+02
4.322500000000000142e+01 3.307674695404909926e+01 1.128967336858788199e-05 1.509576502060733065e-02 4.497921552105682963e+02
4.351250000000000284e+01 3.226192117281247107e+01 2.990172167356374330e-05 1.493141560018249742e-02 4.299839774987456735e+02
4.379999999999999716e+01 3.311632960379910173e+01 5.931859028893848732e-05 1.491178408227919298e-02 4.497886250461749000e+02
4.408749999999999858e+01 3.298073107926673941e+01 -8.214060146976983289e-05 1.502627381929959316e-02 4.502378597433883556e+02
4.437500000000000000e+01 3.339981471509609179e+01 -9.354800426987041999e-05 1.499190478425575616e-02 4.520869048717996179e+02
4.466250000000000142e+01 3.333440868340903762e+01 -1.992568033841682774e-04 1.502897232776695402e-02 4.477641058611897051e+02
4.495000000000000284e+01 3.329342998553036637e+01 7.831755069388478285e-05 1.498043798957203812e-02 4.469420917120953618e+02
4.523749999999999716e+01 3.328039597154619855e+01 -4.762776299793095979e-05 1.490856205625558893e-02 4.618371892552682993e+02
4.552499999999999858e+01 3.248552214806436211e+01 -1.929821286964299133e-04 1.512119098143908241e-02 4.361752173061048552e+02
4.581250000000000000e+01 3.377424841090554253e+01 3.034131561050415352e-04 1.487999017588897445e-02 4.667415893390764268e+02
4.609999999999999432e+01 3.213602030238632068e+01 1.844859428104833501e-04 1.500909869762580458e-02 4.273495547487712543e+02
4.638750000000000284e+01 3.308983424666870121e+01 3.799419278072302007e-04 1.487296309771469691e-02 4.455784621450749228e+02
4.667499999999999716e+01 3.296520742318289621e+01 4.305775641354772317e-04 1.497342324955413390e-02 4.554850731278183389e+02
4.696249999999999858e+01 3.351257444880008052e+01 2.704790716324549692e-05 1.507624757165564565e-02 4.590917908170884516e+02
