! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/18may12.lna.rl/252a.sw.out.cold.rl.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/12/2018 04:32:02 PM	05/12/2018 04:14:26 PM
! INTERNAL TEMP:    	49.5 C	49.8 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	Low	Low
! IFBW:             	10 Hz	10 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  12.184 368 MHz,##.##"	--	--
!MK2	--	--	"MK2 TR3:  12.184 368 MHz,##.##"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-3.007300E+01	  0.020000000	-4.207000E+01	  0.020000000	5.233500E+01	  0.020000000	-2.201000E+00
2	  0.020200402	-2.992500E+01	  0.020200402	-4.112700E+01	  0.020200402	5.241400E+01	  0.020200402	-2.201000E+00
3	  0.020400802	-3.007000E+01	  0.020400802	-3.959300E+01	  0.020400802	5.243300E+01	  0.020400802	-2.098000E+00
4	  0.020601204	-3.013700E+01	  0.020601204	-4.175000E+01	  0.020601204	5.233100E+01	  0.020601204	-2.171000E+00
5	  0.020801604	-3.033100E+01	  0.020801604	-4.295600E+01	  0.020801604	5.223200E+01	  0.020801604	-2.168000E+00
6	  0.021002004	-3.018700E+01	  0.021002004	-4.071800E+01	  0.021002004	5.235800E+01	  0.021002004	-2.115000E+00
7	  0.021202406	-3.026300E+01	  0.021202406	-4.324900E+01	  0.021202406	5.223800E+01	  0.021202406	-2.198000E+00
8	  0.021402806	-3.015000E+01	  0.021402806	-4.247400E+01	  0.021402806	5.229800E+01	  0.021402806	-2.197000E+00
9	  0.021603208	-2.991600E+01	  0.021603208	-4.294800E+01	  0.021603208	5.234200E+01	  0.021603208	-2.279000E+00
10	  0.021803608	-3.023700E+01	  0.021803608	-4.271800E+01	  0.021803608	5.226600E+01	  0.021803608	-2.184000E+00
11	  0.022004008	-3.035400E+01	  0.022004008	-4.369000E+01	  0.022004008	5.219700E+01	  0.022004008	-2.191000E+00
12	  0.022204408	-3.026500E+01	  0.022204408	-4.303200E+01	  0.022204408	5.224600E+01	  0.022204408	-2.189000E+00
13	  0.022404809	-3.049700E+01	  0.022404809	-4.330600E+01	  0.022404809	5.217600E+01	  0.022404809	-2.139000E+00
14	  0.022605211	-3.045200E+01	  0.022605211	-4.219800E+01	  0.022605211	5.223000E+01	  0.022605211	-2.108000E+00
15	  0.022805611	-3.026100E+01	  0.022805611	-4.483600E+01	  0.022805611	5.217400E+01	  0.022805611	-2.259000E+00
16	  0.023006011	-3.053200E+01	  0.023006011	-4.347400E+01	  0.023006011	5.216100E+01	  0.023006011	-2.136000E+00
17	  0.023206413	-3.038900E+01	  0.023206413	-4.646000E+01	  0.023206413	5.207500E+01	  0.023206413	-2.284000E+00
18	  0.023406813	-3.037900E+01	  0.023406813	-4.481500E+01	  0.023406813	5.214500E+01	  0.023406813	-2.227000E+00
19	  0.023607215	-3.048900E+01	  0.023607215	-4.631900E+01	  0.023607215	5.205800E+01	  0.023607215	-2.252000E+00
20	  0.023807615	-3.033300E+01	  0.023807615	-4.485200E+01	  0.023807615	5.215500E+01	  0.023807615	-2.240000E+00
21	  0.024008015	-3.057600E+01	  0.024008015	-4.373500E+01	  0.024008015	5.214000E+01	  0.024008015	-2.135000E+00
22	  0.024208417	-3.054100E+01	  0.024208417	-4.650700E+01	  0.024208417	5.203800E+01	  0.024208417	-2.245000E+00
23	  0.024408817	-3.094700E+01	  0.024408817	-4.738800E+01	  0.024408817	5.191100E+01	  0.024408817	-2.168000E+00
24	  0.024609219	-3.049800E+01	  0.024609219	-4.558900E+01	  0.024609219	5.208500E+01	  0.024609219	-2.223000E+00
25	  0.024809619	-3.061800E+01	  0.024809619	-4.822500E+01	  0.024809619	5.194900E+01	  0.024809619	-2.283000E+00
26	  0.025010020	-3.053600E+01	  0.025010020	-4.714900E+01	  0.025010020	5.201300E+01	  0.025010020	-2.269000E+00
27	  0.025210422	-3.098600E+01	  0.025210422	-4.746000E+01	  0.025210422	5.189900E+01	  0.025210422	-2.160000E+00
28	  0.025410822	-3.065200E+01	  0.025410822	-4.829500E+01	  0.025410822	5.193900E+01	  0.025410822	-2.276000E+00
29	  0.025611224	-3.085100E+01	  0.025611224	-4.697200E+01	  0.025611224	5.194800E+01	  0.025611224	-2.179000E+00
30	  0.025811624	-3.070300E+01	  0.025811624	-4.755000E+01	  0.025811624	5.195800E+01	  0.025811624	-2.238000E+00
31	  0.026012026	-3.088500E+01	  0.026012026	-4.779100E+01	  0.026012026	5.190800E+01	  0.026012026	-2.197000E+00
32	  0.026212426	-3.097300E+01	  0.026212426	-4.746300E+01	  0.026212426	5.190200E+01	  0.026212426	-2.164000E+00
33	  0.026412826	-3.096300E+01	  0.026412826	-4.971300E+01	  0.026412826	5.181400E+01	  0.026412826	-2.239000E+00
34	  0.026613226	-3.078000E+01	  0.026613226	-4.914300E+01	  0.026613226	5.187600E+01	  0.026613226	-2.270000E+00
35	  0.026813626	-3.147900E+01	  0.026813626	-4.911000E+01	  0.026813626	5.173400E+01	  0.026813626	-2.087000E+00
36	  0.027014028	-3.105100E+01	  0.027014028	-4.897300E+01	  0.027014028	5.182600E+01	  0.027014028	-2.192000E+00
37	  0.027214428	-3.111100E+01	  0.027214428	-4.910900E+01	  0.027214428	5.180800E+01	  0.027214428	-2.181000E+00
38	  0.027414829	-3.137400E+01	  0.027414829	-4.711800E+01	  0.027414829	5.182900E+01	  0.027414829	-2.051000E+00
39	  0.027615231	-3.146900E+01	  0.027615231	-5.046700E+01	  0.027615231	5.168400E+01	  0.027615231	-2.130000E+00
40	  0.027815631	-3.140100E+01	  0.027815631	-5.036500E+01	  0.027815631	5.170100E+01	  0.027815631	-2.144000E+00
41	  0.028016033	-3.141700E+01	  0.028016033	-5.035300E+01	  0.028016033	5.169800E+01	  0.028016033	-2.140000E+00
42	  0.028216433	-3.123300E+01	  0.028216433	-4.947100E+01	  0.028216433	5.176900E+01	  0.028216433	-2.160000E+00
43	  0.028416833	-3.107800E+01	  0.028416833	-5.035500E+01	  0.028416833	5.176500E+01	  0.028416833	-2.228000E+00
44	  0.028617235	-3.159800E+01	  0.028617235	-4.974000E+01	  0.028617235	5.168700E+01	  0.028617235	-2.076000E+00
45	  0.028817635	-3.151100E+01	  0.028817635	-5.225000E+01	  0.028817635	5.160700E+01	  0.028817635	-2.170000E+00
46	  0.029018037	-3.123600E+01	  0.029018037	-5.151700E+01	  0.029018037	5.168700E+01	  0.029018037	-2.221000E+00
47	  0.029218437	-3.186000E+01	  0.029218437	-5.285400E+01	  0.029218437	5.152200E+01	  0.029218437	-2.097000E+00
48	  0.029418837	-3.141600E+01	  0.029418837	-5.272800E+01	  0.029418837	5.160500E+01	  0.029418837	-2.208000E+00
49	  0.029619239	-3.151500E+01	  0.029619239	-5.137000E+01	  0.029619239	5.164000E+01	  0.029619239	-2.144000E+00
50	  0.029819639	-3.177800E+01	  0.029819639	-5.182200E+01	  0.029819639	5.157500E+01	  0.029819639	-2.090000E+00
51	  0.030020041	-3.191100E+01	  0.030020041	-5.422100E+01	  0.030020041	5.146100E+01	  0.030020041	-2.120000E+00
52	  0.030220442	-3.184000E+01	  0.030220442	-5.396900E+01	  0.030220442	5.148300E+01	  0.030220442	-2.131000E+00
53	  0.030420844	-3.172700E+01	  0.030420844	-5.202300E+01	  0.030420844	5.157700E+01	  0.030420844	-2.109000E+00
54	  0.030621244	-3.159600E+01	  0.030621244	-5.485900E+01	  0.030621244	5.148900E+01	  0.030621244	-2.217000E+00
55	  0.030821644	-3.167600E+01	  0.030821644	-5.372800E+01	  0.030821644	5.152000E+01	  0.030821644	-2.167000E+00
56	  0.031022044	-3.194000E+01	  0.031022044	-5.313000E+01	  0.031022044	5.149800E+01	  0.031022044	-2.085000E+00
57	  0.031222444	-3.222900E+01	  0.031222444	-5.735100E+01	  0.031222444	5.129300E+01	  0.031222444	-2.114000E+00
58	  0.031422846	-3.221000E+01	  0.031422846	-5.330100E+01	  0.031422846	5.144600E+01	  0.031422846	-2.023000E+00
59	  0.031623244	-3.222600E+01	  0.031623244	-5.504100E+01	  0.031623244	5.138000E+01	  0.031623244	-2.062000E+00
60	  0.031823646	-3.239400E+01	  0.031823646	-5.308700E+01	  0.031823646	5.142400E+01	  0.031823646	-1.975000E+00
61	  0.032024048	-3.251900E+01	  0.032024048	-5.535400E+01	  0.032024048	5.132300E+01	  0.032024048	-1.999000E+00
62	  0.032224450	-3.207200E+01	  0.032224450	-5.391200E+01	  0.032224450	5.144600E+01	  0.032224450	-2.072000E+00
63	  0.032424849	-3.216300E+01	  0.032424849	-5.677000E+01	  0.032424849	5.132500E+01	  0.032424849	-2.117000E+00
64	  0.032625251	-3.229900E+01	  0.032625251	-5.666000E+01	  0.032625251	5.130800E+01	  0.032625251	-2.081000E+00
65	  0.032825653	-3.223900E+01	  0.032825653	-5.646900E+01	  0.032825653	5.132500E+01	  0.032825653	-2.092000E+00
66	  0.033026051	-3.243600E+01	  0.033026051	-5.748300E+01	  0.033026051	5.125800E+01	  0.033026051	-2.066000E+00
67	  0.033226453	-3.209900E+01	  0.033226453	-5.659600E+01	  0.033226453	5.134100E+01	  0.033226453	-2.130000E+00
68	  0.033426855	-3.252900E+01	  0.033426855	-5.628500E+01	  0.033426855	5.128800E+01	  0.033426855	-2.017000E+00
69	  0.033627257	-3.285500E+01	  0.033627257	-5.462700E+01	  0.033627257	5.129900E+01	  0.033627257	-1.905000E+00
70	  0.033827655	-3.241000E+01	  0.033827655	-5.712000E+01	  0.033827655	5.127500E+01	  0.033827655	-2.064000E+00
71	  0.034028057	-3.204000E+01	  0.034028057	-5.763200E+01	  0.034028057	5.131000E+01	  0.034028057	-2.168000E+00
72	  0.034228459	-3.252400E+01	  0.034228459	-6.064400E+01	  0.034228459	5.112800E+01	  0.034228459	-2.108000E+00
73	  0.034428857	-3.277400E+01	  0.034428857	-5.737900E+01	  0.034428857	5.121500E+01	  0.034428857	-1.983000E+00
74	  0.034629259	-3.283900E+01	  0.034629259	-5.918500E+01	  0.034629259	5.114200E+01	  0.034629259	-2.004000E+00
75	  0.034829661	-3.283600E+01	  0.034829661	-5.986600E+01	  0.034829661	5.111800E+01	  0.034829661	-2.018000E+00
76	  0.035030060	-3.255700E+01	  0.035030060	-6.066600E+01	  0.035030060	5.112300E+01	  0.035030060	-2.100000E+00
77	  0.035230462	-3.263100E+01	  0.035230462	-5.774000E+01	  0.035230462	5.122100E+01	  0.035230462	-2.024000E+00
78	  0.035430863	-3.278100E+01	  0.035430863	-5.707100E+01	  0.035430863	5.122500E+01	  0.035430863	-1.975000E+00
79	  0.035631265	-3.310200E+01	  0.035631265	-6.067500E+01	  0.035631265	5.105600E+01	  0.035631265	-1.970000E+00
80	  0.035831664	-3.302600E+01	  0.035831664	-5.920900E+01	  0.035831664	5.111700E+01	  0.035831664	-1.961000E+00
81	  0.036032066	-3.298100E+01	  0.036032066	-6.244700E+01	  0.036032066	5.100700E+01	  0.036032066	-2.030000E+00
82	  0.036232468	-3.273100E+01	  0.036232468	-6.119600E+01	  0.036232468	5.108200E+01	  0.036232468	-2.068000E+00
83	  0.036432866	-3.312900E+01	  0.036432866	-6.012600E+01	  0.036432866	5.107200E+01	  0.036432866	-1.954000E+00
84	  0.036633268	-3.292400E+01	  0.036633268	-6.151800E+01	  0.036633268	5.104700E+01	  0.036633268	-2.027000E+00
85	  0.036833670	-3.324000E+01	  0.036833670	-6.139300E+01	  0.036833670	5.101500E+01	  0.036833670	-1.951000E+00
86	  0.037034072	-3.250100E+01	  0.037034072	-6.148300E+01	  0.037034072	5.110000E+01	  0.037034072	-2.130000E+00
87	  0.037234470	-3.267400E+01	  0.037234470	-6.409400E+01	  0.037234470	5.098000E+01	  0.037234470	-2.132000E+00
