! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/18may12.lna.rl/256a.swout.hot.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/13/2018 01:44:23 PM	05/13/2018 01:31:14 PM
! INTERNAL TEMP:    	51.5 C	49.8 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	Low	Low
! IFBW:             	10 Hz	10 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  12.585 170 MHz,##.##"	--	--
!MK2	--	--	"MK2 TR3:  360.721 kHz,##.##"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-3.514800E+01	  0.020000000	-4.706600E+01	  0.020000000	5.118800E+01	  0.020000000	-1.310000E+00
2	  0.020200402	-3.505400E+01	  0.020200402	-5.047100E+01	  0.020200402	5.111800E+01	  0.020200402	-1.393000E+00
3	  0.020400802	-3.509300E+01	  0.020400802	-4.975300E+01	  0.020400802	5.113100E+01	  0.020400802	-1.373000E+00
4	  0.020601204	-3.530200E+01	  0.020601204	-5.094400E+01	  0.020601204	5.107500E+01	  0.020601204	-1.362000E+00
5	  0.020801604	-3.469400E+01	  0.020801604	-4.802400E+01	  0.020801604	5.122700E+01	  0.020801604	-1.403000E+00
6	  0.021002004	-3.494700E+01	  0.021002004	-4.797000E+01	  0.021002004	5.119400E+01	  0.021002004	-1.361000E+00
7	  0.021202406	-3.581800E+01	  0.021202406	-4.636900E+01	  0.021202406	5.111500E+01	  0.021202406	-1.197000E+00
8	  0.021402806	-3.582700E+01	  0.021402806	-5.077600E+01	  0.021402806	5.101600E+01	  0.021402806	-1.278000E+00
9	  0.021603208	-3.602100E+01	  0.021603208	-5.162100E+01	  0.021603208	5.097500E+01	  0.021603208	-1.263000E+00
10	  0.021803608	-3.605800E+01	  0.021803608	-4.933300E+01	  0.021803608	5.102100E+01	  0.021803608	-1.218000E+00
11	  0.022004008	-3.525100E+01	  0.022004008	-5.251700E+01	  0.022004008	5.104200E+01	  0.022004008	-1.399000E+00
12	  0.022204408	-3.558000E+01	  0.022204408	-5.225300E+01	  0.022204408	5.101000E+01	  0.022204408	-1.342000E+00
13	  0.022404809	-3.567300E+01	  0.022404809	-4.954600E+01	  0.022404809	5.106300E+01	  0.022404809	-1.279000E+00
14	  0.022605211	-3.539700E+01	  0.022605211	-5.021100E+01	  0.022605211	5.108100E+01	  0.022605211	-1.333000E+00
15	  0.022805611	-3.547600E+01	  0.022805611	-5.377100E+01	  0.022805611	5.098500E+01	  0.022805611	-1.385000E+00
16	  0.023006011	-3.518400E+01	  0.023006011	-5.265000E+01	  0.023006011	5.104700E+01	  0.023006011	-1.413000E+00
