! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/18may12.lna.rl/256a.swout.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/13/2018 01:41:26 PM	05/13/2018 01:31:14 PM
! INTERNAL TEMP:    	51.3 C	49.8 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	Low	Low
! IFBW:             	10 Hz	10 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  12.585 170 MHz,##.##"	--	--
!MK2	--	--	"MK2 TR3:  360.721 kHz,##.##"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-3.225600E+01	  0.020000000	-3.975100E+01	  0.020000000	5.188500E+01	  0.020000000	-1.619000E+00
2	  0.020200402	-3.199400E+01	  0.020200402	-4.380200E+01	  0.020200402	5.181500E+01	  0.020200402	-1.804000E+00
3	  0.020400802	-3.221000E+01	  0.020400802	-4.075100E+01	  0.020400802	5.186500E+01	  0.020400802	-1.661000E+00
4	  0.020601204	-3.210800E+01	  0.020601204	-4.552100E+01	  0.020601204	5.173500E+01	  0.020601204	-1.832000E+00
5	  0.020801604	-3.171500E+01	  0.020801604	-4.199600E+01	  0.020801604	5.193400E+01	  0.020801604	-1.805000E+00
6	  0.021002004	-3.204200E+01	  0.021002004	-4.342600E+01	  0.021002004	5.181700E+01	  0.021002004	-1.781000E+00
7	  0.021202406	-3.241100E+01	  0.021202406	-4.321200E+01	  0.021202406	5.174800E+01	  0.021202406	-1.698000E+00
8	  0.021402806	-3.221300E+01	  0.021402806	-4.413900E+01	  0.021402806	5.175900E+01	  0.021402806	-1.767000E+00
9	  0.021603208	-3.226800E+01	  0.021603208	-4.426000E+01	  0.021603208	5.174400E+01	  0.021603208	-1.759000E+00
10	  0.021803608	-3.265400E+01	  0.021803608	-4.504300E+01	  0.021803608	5.164400E+01	  0.021803608	-1.703000E+00
11	  0.022004008	-3.205500E+01	  0.022004008	-4.427200E+01	  0.022004008	5.178700E+01	  0.022004008	-1.805000E+00
12	  0.022204408	-3.234800E+01	  0.022204408	-4.684100E+01	  0.022204408	5.164500E+01	  0.022204408	-1.819000E+00
13	  0.022404809	-3.241000E+01	  0.022404809	-4.577200E+01	  0.022404809	5.166800E+01	  0.022404809	-1.775000E+00
14	  0.022605211	-3.262000E+01	  0.022605211	-4.760500E+01	  0.022605211	5.157000E+01	  0.022605211	-1.782000E+00
15	  0.022805611	-3.247700E+01	  0.022805611	-4.843300E+01	  0.022805611	5.156900E+01	  0.022805611	-1.835000E+00
16	  0.023006011	-3.246400E+01	  0.023006011	-4.494200E+01	  0.023006011	5.168400E+01	  0.023006011	-1.739000E+00
17	  0.023206413	-3.246300E+01	  0.023206413	-4.579000E+01	  0.023206413	5.165700E+01	  0.023206413	-1.764000E+00
18	  0.023406813	-3.276800E+01	  0.023406813	-4.659100E+01	  0.023406813	5.157600E+01	  0.023406813	-1.723000E+00
19	  0.023607215	-3.288800E+01	  0.023607215	-4.645700E+01	  0.023607215	5.155800E+01	  0.023607215	-1.695000E+00
20	  0.023807615	-3.253500E+01	  0.023807615	-4.709000E+01	  0.023807615	5.160200E+01	  0.023807615	-1.786000E+00
21	  0.024008015	-3.271900E+01	  0.024008015	-4.603400E+01	  0.024008015	5.160200E+01	  0.024008015	-1.718000E+00
22	  0.024208417	-3.275200E+01	  0.024208417	-4.764300E+01	  0.024208417	5.154600E+01	  0.024208417	-1.755000E+00
23	  0.024408817	-3.293900E+01	  0.024408817	-4.732400E+01	  0.024408817	5.152300E+01	  0.024408817	-1.708000E+00
24	  0.024609219	-3.293400E+01	  0.024609219	-5.029900E+01	  0.024609219	5.143000E+01	  0.024609219	-1.786000E+00
25	  0.024809619	-3.264400E+01	  0.024809619	-4.706100E+01	  0.024809619	5.158300E+01	  0.024809619	-1.762000E+00
26	  0.025010020	-3.286200E+01	  0.025010020	-4.959500E+01	  0.025010020	5.146400E+01	  0.025010020	-1.783000E+00
27	  0.025210422	-3.317500E+01	  0.025210422	-4.863300E+01	  0.025210422	5.144200E+01	  0.025210422	-1.694000E+00
28	  0.025410822	-3.322500E+01	  0.025410822	-4.939500E+01	  0.025410822	5.141100E+01	  0.025410822	-1.703000E+00
29	  0.025611224	-3.324100E+01	  0.025611224	-4.853800E+01	  0.025611224	5.143400E+01	  0.025611224	-1.679000E+00
30	  0.025811624	-3.349000E+01	  0.025811624	-5.042900E+01	  0.025811624	5.133800E+01	  0.025811624	-1.675000E+00
31	  0.026012026	-3.323100E+01	  0.026012026	-5.227900E+01	  0.026012026	5.132000E+01	  0.026012026	-1.770000E+00
32	  0.026212426	-3.314200E+01	  0.026212426	-5.128600E+01	  0.026212426	5.136500E+01	  0.026212426	-1.766000E+00
33	  0.026412826	-3.296400E+01	  0.026412826	-5.038200E+01	  0.026412826	5.142200E+01	  0.026412826	-1.781000E+00
34	  0.026613226	-3.351200E+01	  0.026613226	-5.154200E+01	  0.026613226	5.130100E+01	  0.026613226	-1.696000E+00
35	  0.026813626	-3.345500E+01	  0.026813626	-5.132900E+01	  0.026813626	5.131600E+01	  0.026813626	-1.702000E+00
36	  0.027014028	-3.340700E+01	  0.027014028	-5.308000E+01	  0.027014028	5.126900E+01	  0.027014028	-1.751000E+00
37	  0.027214428	-3.375500E+01	  0.027214428	-5.087900E+01	  0.027214428	5.128500E+01	  0.027214428	-1.633000E+00
38	  0.027414829	-3.357600E+01	  0.027414829	-5.285900E+01	  0.027414829	5.125200E+01	  0.027414829	-1.712000E+00
39	  0.027615231	-3.353800E+01	  0.027615231	-5.206000E+01	  0.027615231	5.128100E+01	  0.027615231	-1.702000E+00
40	  0.027815631	-3.351300E+01	  0.027815631	-5.401500E+01	  0.027815631	5.122500E+01	  0.027815631	-1.750000E+00
41	  0.028016033	-3.378500E+01	  0.028016033	-5.204600E+01	  0.028016033	5.124600E+01	  0.028016033	-1.653000E+00
42	  0.028216433	-3.373000E+01	  0.028216433	-5.188600E+01	  0.028216433	5.125900E+01	  0.028216433	-1.660000E+00
43	  0.028416833	-3.352100E+01	  0.028416833	-5.084600E+01	  0.028416833	5.132100E+01	  0.028416833	-1.678000E+00
44	  0.028617235	-3.385400E+01	  0.028617235	-5.123200E+01	  0.028617235	5.126000E+01	  0.028617235	-1.622000E+00
45	  0.028817635	-3.356600E+01	  0.028817635	-5.387700E+01	  0.028817635	5.122200E+01	  0.028817635	-1.736000E+00
46	  0.029018037	-3.409600E+01	  0.029018037	-5.391800E+01	  0.029018037	5.114900E+01	  0.029018037	-1.632000E+00
47	  0.029218437	-3.429600E+01	  0.029218437	-5.478300E+01	  0.029218437	5.109800E+01	  0.029218437	-1.610000E+00
48	  0.029418837	-3.354000E+01	  0.029418837	-5.626100E+01	  0.029418837	5.115000E+01	  0.029418837	-1.790000E+00
49	  0.029619239	-3.385800E+01	  0.029619239	-5.312800E+01	  0.029619239	5.120400E+01	  0.029619239	-1.662000E+00
50	  0.029819639	-3.400300E+01	  0.029819639	-5.568100E+01	  0.029819639	5.110900E+01	  0.029819639	-1.684000E+00
51	  0.030020041	-3.386700E+01	  0.030020041	-5.312500E+01	  0.030020041	5.120300E+01	  0.030020041	-1.660000E+00
52	  0.030220442	-3.414800E+01	  0.030220442	-5.749500E+01	  0.030220442	5.103600E+01	  0.030220442	-1.689000E+00
