! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/18may12.lna.rl/256b.swout.cold_1.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/13/2018 02:03:17 PM	05/13/2018 01:55:30 PM
! INTERNAL TEMP:    	51.3 C	51.5 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	Low	Low
! IFBW:             	10 Hz	10 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  12.585 170 MHz,##.##"	--	--
!MK2	--	--	"MK2 TR3:  360.721 kHz,##.##"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-3.320100E+01	  0.020000000	-3.863300E+01	  0.020000000	5.171800E+01	  0.020000000	-1.413000E+00
2	  0.020200402	-3.391700E+01	  0.020200402	-3.852300E+01	  0.020200402	5.158400E+01	  0.020200402	-1.294000E+00
3	  0.020400802	-3.356900E+01	  0.020400802	-4.018200E+01	  0.020400802	5.160800E+01	  0.020400802	-1.396000E+00
4	  0.020601204	-3.381000E+01	  0.020601204	-3.610700E+01	  0.020601204	5.166000E+01	  0.020601204	-1.242000E+00
5	  0.020801604	-3.422100E+01	  0.020801604	-3.910400E+01	  0.020801604	5.151600E+01	  0.020801604	-1.264000E+00
6	  0.021002004	-3.354900E+01	  0.021002004	-3.748000E+01	  0.021002004	5.167800E+01	  0.021002004	-1.322000E+00
7	  0.021202406	-3.361300E+01	  0.021202406	-3.757500E+01	  0.021202406	5.166300E+01	  0.021202406	-1.314000E+00
8	  0.021402806	-3.409500E+01	  0.021402806	-3.834300E+01	  0.021402806	5.155600E+01	  0.021402806	-1.262000E+00
9	  0.021603208	-3.391300E+01	  0.021603208	-4.201200E+01	  0.021603208	5.150100E+01	  0.021603208	-1.389000E+00
10	  0.021803608	-3.378700E+01	  0.021803608	-3.956500E+01	  0.021803608	5.158300E+01	  0.021803608	-1.344000E+00
11	  0.022004008	-3.444000E+01	  0.022004008	-3.985200E+01	  0.022004008	5.146200E+01	  0.022004008	-1.251000E+00
12	  0.022204408	-3.404400E+01	  0.022204408	-4.120600E+01	  0.022204408	5.149800E+01	  0.022204408	-1.347000E+00
13	  0.022404809	-3.448100E+01	  0.022404809	-4.197500E+01	  0.022404809	5.140600E+01	  0.022404809	-1.298000E+00
14	  0.022605211	-3.442200E+01	  0.022605211	-4.289300E+01	  0.022605211	5.139400E+01	  0.022605211	-1.330000E+00
15	  0.022805611	-3.427600E+01	  0.022805611	-4.177900E+01	  0.022805611	5.144400E+01	  0.022805611	-1.325000E+00
16	  0.023006011	-3.425100E+01	  0.023006011	-4.068000E+01	  0.023006011	5.147500E+01	  0.023006011	-1.301000E+00
17	  0.023206413	-3.468200E+01	  0.023206413	-4.199700E+01	  0.023206413	5.137400E+01	  0.023206413	-1.268000E+00
18	  0.023406813	-3.443100E+01	  0.023406813	-4.490300E+01	  0.023406813	5.134400E+01	  0.023406813	-1.376000E+00
19	  0.023607215	-3.455200E+01	  0.023607215	-4.130700E+01	  0.023607215	5.141000E+01	  0.023607215	-1.271000E+00
20	  0.023807615	-3.478600E+01	  0.023807615	-4.439700E+01	  0.023807615	5.130200E+01	  0.023807615	-1.308000E+00
21	  0.024008015	-3.436000E+01	  0.024008015	-4.272400E+01	  0.024008015	5.140800E+01	  0.024008015	-1.335000E+00
22	  0.024208417	-3.466100E+01	  0.024208417	-4.613000E+01	  0.024208417	5.127900E+01	  0.024208417	-1.367000E+00
23	  0.024408817	-3.485100E+01	  0.024408817	-4.447100E+01	  0.024408817	5.129100E+01	  0.024408817	-1.300000E+00
24	  0.024609219	-3.495800E+01	  0.024609219	-4.308800E+01	  0.024609219	5.130600E+01	  0.024609219	-1.252000E+00
25	  0.024809619	-3.508300E+01	  0.024809619	-4.216400E+01	  0.024809619	5.130800E+01	  0.024809619	-1.213000E+00
26	  0.025010020	-3.505100E+01	  0.025010020	-4.283300E+01	  0.025010020	5.129800E+01	  0.025010020	-1.233000E+00
27	  0.025210422	-3.485900E+01	  0.025210422	-4.411200E+01	  0.025210422	5.129800E+01	  0.025210422	-1.291000E+00
28	  0.025410822	-3.488000E+01	  0.025410822	-4.568400E+01	  0.025410822	5.125800E+01	  0.025410822	-1.322000E+00
29	  0.025611224	-3.530300E+01	  0.025611224	-4.571100E+01	  0.025611224	5.119800E+01	  0.025611224	-1.259000E+00
30	  0.025811624	-3.472900E+01	  0.025811624	-3.802900E+01	  0.025811624	5.145200E+01	  0.025811624	-1.163000E+00
31	  0.026012026	-3.468800E+01	  0.026012026	-4.557400E+01	  0.026012026	5.128900E+01	  0.026012026	-1.350000E+00
32	  0.026212426	-3.486800E+01	  0.026212426	-4.150300E+01	  0.026212426	5.135500E+01	  0.026212426	-1.229000E+00
33	  0.026412826	-3.526700E+01	  0.026412826	-4.753900E+01	  0.026412826	5.116000E+01	  0.026412826	-1.301000E+00
34	  0.026613226	-3.488400E+01	  0.026613226	-4.343500E+01	  0.026613226	5.130900E+01	  0.026613226	-1.271000E+00
35	  0.026813626	-3.530700E+01	  0.026813626	-4.630200E+01	  0.026813626	5.118400E+01	  0.026813626	-1.270000E+00
36	  0.027014028	-3.564400E+01	  0.027014028	-4.387600E+01	  0.027014028	5.119000E+01	  0.027014028	-1.171000E+00
37	  0.027214428	-3.539600E+01	  0.027214428	-4.697400E+01	  0.027214428	5.115600E+01	  0.027214428	-1.271000E+00
38	  0.027414829	-3.570400E+01	  0.027414829	-4.711600E+01	  0.027414829	5.111300E+01	  0.027414829	-1.228000E+00
39	  0.027615231	-3.545600E+01	  0.027615231	-4.662200E+01	  0.027615231	5.115600E+01	  0.027615231	-1.255000E+00
40	  0.027815631	-3.614900E+01	  0.027815631	-4.491900E+01	  0.027815631	5.110200E+01	  0.027815631	-1.124000E+00
41	  0.028016033	-3.592100E+01	  0.028016033	-4.700600E+01	  0.028016033	5.108800E+01	  0.028016033	-1.195000E+00
42	  0.028216433	-3.555000E+01	  0.028216433	-4.403500E+01	  0.028216433	5.120000E+01	  0.028216433	-1.188000E+00
