! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/18may12.lna.rl/256b.swout.hot.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/13/2018 01:59:38 PM	05/13/2018 01:55:30 PM
! INTERNAL TEMP:    	51.3 C	51.5 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	Low	Low
! IFBW:             	10 Hz	10 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  12.585 170 MHz,##.##"	--	--
!MK2	--	--	"MK2 TR3:  360.721 kHz,##.##"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-3.804600E+01	  0.020000000	-4.500500E+01	  0.020000000	5.088500E+01	  0.020000000	-9.010000E-01
2	  0.020200402	-3.832300E+01	  0.020200402	-4.611000E+01	  0.020200402	5.084000E+01	  0.020200402	-8.880000E-01
3	  0.020400802	-3.884100E+01	  0.020400802	-4.109300E+01	  0.020400802	5.086200E+01	  0.020400802	-7.640000E-01
4	  0.020601204	-3.920700E+01	  0.020601204	-4.174900E+01	  0.020601204	5.081800E+01	  0.020601204	-7.410000E-01
5	  0.020801604	-4.030800E+01	  0.020801604	-4.311600E+01	  0.020801604	5.070500E+01	  0.020801604	-6.680000E-01
6	  0.021002004	-3.909500E+01	  0.021002004	-4.092000E+01	  0.021002004	5.084000E+01	  0.021002004	-7.390000E-01
7	  0.021202406	-3.877500E+01	  0.021202406	-4.456800E+01	  0.021202406	5.082000E+01	  0.021202406	-8.210000E-01
8	  0.021402806	-4.006400E+01	  0.021402806	-4.771900E+01	  0.021402806	5.066600E+01	  0.021402806	-7.440000E-01
9	  0.021603208	-4.025800E+01	  0.021603208	-4.476000E+01	  0.021603208	5.068900E+01	  0.021603208	-6.930000E-01
10	  0.021803608	-3.868700E+01	  0.021803608	-4.517000E+01	  0.021803608	5.081900E+01	  0.021803608	-8.380000E-01
11	  0.022004008	-4.023800E+01	  0.022004008	-4.098000E+01	  0.022004008	5.073500E+01	  0.022004008	-6.470000E-01
12	  0.022204408	-4.000700E+01	  0.022204408	-4.331800E+01	  0.022204408	5.072700E+01	  0.022204408	-6.950000E-01
13	  0.022404809	-3.999300E+01	  0.022404809	-5.015800E+01	  0.022404809	5.063900E+01	  0.022404809	-7.780000E-01
14	  0.022605211	-3.937300E+01	  0.022605211	-4.977200E+01	  0.022605211	5.069200E+01	  0.022605211	-8.320000E-01
15	  0.022805611	-3.981600E+01	  0.022805611	-4.792300E+01	  0.022805611	5.068300E+01	  0.022805611	-7.680000E-01
16	  0.023006011	-3.964400E+01	  0.023006011	-4.580600E+01	  0.023006011	5.072500E+01	  0.023006011	-7.570000E-01
